
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 1061.00
2    1 0.009559  966.90
3    1 0.017760  881.00
4    1 0.024760  802.70
5    1 0.030740  731.40
6    1 0.035840  666.50
7    1 0.040160  607.20
8    1 0.043830  553.30
9    1 0.046930  504.10
10   1 0.049560  459.40
11   1 0.051770  418.60
12   1 0.053640  381.40
13   1 0.055210  347.50
14   1 0.056530  316.60
15   1 0.057640  288.50
16   1 0.058570  262.90
17   1 0.059340  239.50
18   2 0.060010  218.20
19   2 0.060690  198.80
20   2 0.061290  181.20
21   2 0.061800  165.10
22   2 0.062230  150.40
23   2 0.062610  137.10
24   2 0.062930  124.90
25   3 0.063430  113.80
26   3 0.064250  103.70
27   3 0.065010   94.47
28   3 0.065720   86.08
29   3 0.066390   78.43
30   3 0.067010   71.46
31   3 0.067600   65.11
32   3 0.068140   59.33
33   3 0.068640   54.06
34   4 0.069670   49.26
35   6 0.071950   44.88
36   5 0.074160   40.89
37   5 0.076130   37.26
38   5 0.077870   33.95
39   5 0.079410   30.93
40   5 0.080760   28.19
41   5 0.081940   25.68
42   5 0.082980   23.40
43   6 0.083970   21.32
44   6 0.084880   19.43
45   6 0.085660   17.70
46   7 0.086420   16.13
47   8 0.087090   14.70
48   9 0.087900   13.39
49   9 0.088580   12.20
50  11 0.089260   11.12
51  12 0.089900   10.13
52  12 0.090480    9.23
53  12 0.091010    8.41
54  12 0.091460    7.66
55  11 0.091850    6.98
56  11 0.092190    6.36
57  13 0.092530    5.80
58  13 0.092840    5.28
59  13 0.093110    4.81
60  13 0.093360    4.38
61  15 0.093710    4.00
62  15 0.094150    3.64
63  16 0.094550    3.32
64  16 0.094910    3.02
65  16 0.095230    2.75
66  16 0.095510    2.51
67  16 0.095770    2.29
68  16 0.095990    2.08
69  17 0.096210    1.90
70  16 0.096380    1.73
71  16 0.096560    1.58
72  16 0.096710    1.44
73  16 0.096840    1.31
74  18 0.096980    1.19
75  18 0.097100    1.09
76  18 0.097230    0.99
77  18 0.097330    0.90
78  18 0.097420    0.82
79  18 0.097500    0.75
80  19 0.097560    0.68
81  19 0.097620    0.62
82  19 0.097670    0.57
83  19 0.097740    0.52
84  21 0.097750    0.47
85  21 0.097770    0.43
86  20 0.097860    0.39
87  21 0.097860    0.36
88  21 0.097870    0.32
89  22 0.097880    0.30
90  23 0.097900    0.27
91  23 0.097920    0.25
92  23 0.097930    0.22
93  25 0.097940    0.20
94  25 0.097950    0.19
95  23 0.097980    0.17
96  23 0.097990    0.15
97  23 0.098000    0.14
98  23 0.098000    0.13
99  24 0.098010    0.12
100 26 0.098010    0.11
