
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.0800
2     1 0.00180  9.1870
3     2 0.00365  8.3710
4     3 0.00626  7.6270
5     3 0.00890  6.9500
6     4 0.01213  6.3320
7     5 0.01574  5.7700
8     6 0.01921  5.2570
9     6 0.02234  4.7900
10    6 0.02496  4.3640
11    6 0.02714  3.9770
12    6 0.02896  3.6230
13    6 0.03047  3.3020
14    6 0.03173  3.0080
15    6 0.03279  2.7410
16    7 0.03369  2.4980
17    8 0.03539  2.2760
18    9 0.03698  2.0730
19    9 0.03846  1.8890
20    9 0.03969  1.7210
21    9 0.04071  1.5690
22    9 0.04157  1.4290
23   10 0.04231  1.3020
24   10 0.04315  1.1870
25   11 0.04454  1.0810
26   12 0.05008  0.9851
27   12 0.05558  0.8976
28   12 0.06083  0.8178
29   12 0.06583  0.7452
30   12 0.07254  0.6790
31   12 0.08027  0.6187
32   12 0.08768  0.5637
33   13 0.09501  0.5136
34   15 0.10540  0.4680
35   16 0.11640  0.4264
36   17 0.12790  0.3885
37   20 0.13910  0.3540
38   22 0.15140  0.3226
39   21 0.16380  0.2939
40   21 0.17510  0.2678
41   24 0.18660  0.2440
42   25 0.19800  0.2223
43   30 0.21030  0.2026
44   31 0.22290  0.1846
45   33 0.23510  0.1682
46   36 0.24670  0.1532
47   39 0.25800  0.1396
48   39 0.26870  0.1272
49   40 0.27860  0.1159
50   45 0.28820  0.1056
51   49 0.29850  0.0962
52   52 0.30860  0.0877
53   51 0.31810  0.0799
54   56 0.32740  0.0728
55   63 0.33770  0.0663
56   65 0.34860  0.0604
57   68 0.35970  0.0551
58   72 0.37100  0.0502
59   74 0.38210  0.0457
60   76 0.39280  0.0417
61   82 0.40360  0.0380
62   84 0.41450  0.0346
63   84 0.42500  0.0315
64   86 0.43540  0.0287
65   88 0.44530  0.0262
66   89 0.45470  0.0238
67   92 0.46370  0.0217
68   93 0.47250  0.0198
69   96 0.48070  0.0180
70   96 0.48850  0.0164
71   96 0.49580  0.0150
72   98 0.50280  0.0136
73   98 0.50910  0.0124
74   98 0.51490  0.0113
75  101 0.52080  0.0103
76  103 0.52660  0.0094
77  103 0.53200  0.0086
78  107 0.53710  0.0078
79  106 0.54220  0.0071
80  107 0.54680  0.0065
81  107 0.55110  0.0059
82  108 0.55520  0.0054
83  109 0.55900  0.0049
84  111 0.56270  0.0045
85  111 0.56610  0.0041
86  111 0.56920  0.0037
87  112 0.57200  0.0034
88  113 0.57460  0.0031
89  113 0.57700  0.0028
90  114 0.57920  0.0026
91  114 0.58140  0.0023
92  115 0.58340  0.0021
93  116 0.58520  0.0019
94  116 0.58680  0.0018
95  115 0.58840  0.0016
96  116 0.58970  0.0015
97  116 0.59090  0.0013
98  116 0.59210  0.0012
99  116 0.59310  0.0011
100 116 0.59400  0.0010
