
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 107.800
2    1 0.003258  98.260
3    2 0.007385  89.530
4    3 0.013510  81.580
5    3 0.019130  74.330
6    3 0.024140  67.730
7    3 0.028590  61.710
8    6 0.033020  56.230
9    6 0.038040  51.230
10   6 0.042450  46.680
11   7 0.046500  42.530
12   7 0.050160  38.760
13   7 0.053400  35.310
14   8 0.056430  32.180
15   8 0.059200  29.320
16   8 0.061640  26.710
17   8 0.063810  24.340
18   9 0.065900  22.180
19   9 0.067960  20.210
20   9 0.069770  18.410
21   9 0.071390  16.780
22  10 0.072900  15.290
23  10 0.074250  13.930
24   9 0.075330  12.690
25   9 0.076300  11.560
26  10 0.077170  10.540
27  10 0.077960   9.600
28  10 0.078660   8.747
29  10 0.079290   7.970
30  10 0.079850   7.262
31  10 0.080360   6.617
32  10 0.080810   6.029
33  11 0.081290   5.494
34  11 0.082120   5.006
35  12 0.083140   4.561
36  13 0.084390   4.156
37  13 0.085970   3.786
38  13 0.087610   3.450
39  12 0.089300   3.144
40  12 0.091020   2.864
41  12 0.092820   2.610
42  13 0.094680   2.378
43  13 0.096610   2.167
44  13 0.098620   1.974
45  14 0.100700   1.799
46  14 0.102800   1.639
47  14 0.105000   1.493
48  14 0.107300   1.361
49  14 0.109500   1.240
50  14 0.111800   1.130
51  14 0.114200   1.029
52  13 0.116500   0.938
53  13 0.118800   0.855
54  13 0.121100   0.779
55  13 0.123400   0.710
56  14 0.125700   0.646
57  14 0.127900   0.589
58  14 0.130100   0.537
59  15 0.132200   0.489
60  15 0.134300   0.446
61  15 0.136200   0.406
62  16 0.138100   0.370
63  16 0.139900   0.337
64  16 0.141600   0.307
65  15 0.143200   0.280
66  14 0.144600   0.255
67  16 0.146000   0.232
68  17 0.147300   0.212
69  17 0.148400   0.193
70  19 0.149500   0.176
71  19 0.150500   0.160
72  19 0.151400   0.146
73  19 0.152200   0.133
74  19 0.153000   0.121
75  19 0.153700   0.110
76  19 0.154200   0.101
77  19 0.154800   0.092
78  19 0.155200   0.084
79  19 0.155700   0.076
80  20 0.156000   0.069
81  20 0.156300   0.063
82  20 0.156600   0.058
83  21 0.156900   0.052
84  21 0.157100   0.048
85  21 0.157200   0.044
86  21 0.157400   0.040
87  21 0.157500   0.036
88  21 0.157600   0.033
89  22 0.157800   0.030
90  22 0.157800   0.027
91  22 0.157900   0.025
92  22 0.158000   0.023
93  23 0.158000   0.021
94  23 0.158100   0.019
95  23 0.158100   0.017
96  24 0.158100   0.016
97  24 0.158200   0.014
98  24 0.158200   0.013
99  24 0.158200   0.012
100 26 0.158200   0.011
