IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_828,Fingerprint_826,Fingerprint_822,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_687,Fingerprint_677,Fingerprint_646,Fingerprint_644,Fingerprint_629,Fingerprint_617,Fingerprint_611,REC_R_HSA_141409,REC_R_HSA_141409_EXP,GO_0030878,GO_0030878_EXP,CLS_average_ploidy,EXP_PIM2,EXP_STK24,EXP_STK19,Predicted IC50,Validation
-0.458178,910691,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,0.7639435182,1
-1.208971,910781,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4.8081334031,1,5.5312781323,2.1709069768,3.3662167461,4.4686151729,2.8090016505,0.6663488684,6
0.656559,924187,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,1.376403002,8
-0.88111,930082,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,0.5088460123,2
0.834827,1240127,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,8.7835949774,0,0,3.6815714119,4.8531678705,4.0832453666,3.2330920337,1.6273550131,10
-0.609028,1240174,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4.2286055327,0,0,1.931980783,4.1827978152,4.5375667895,3.1274264713,1.3431215541,4
1.420533,907000,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0060246273,3.2637734427,4.1083683359,2.7958028108,1.5709146885,10
2.070258,907051,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,8.9210509035,0,0,3.4323658044,4.6672182298,4.4058532707,3.0188421105,1.9431407595,1
0.863852,908130,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.9667921549,4.3899321223,4.2873662655,2.8956258568,1.2566737594,9
1.684674,909735,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,14.449119202,1.9784991522,3.5829747542,4.7257785129,2.841098384,0.2585896521,4
1.907075,910691,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,0.7639435182,7
0.428094,910781,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4.8081334031,1,5.5312781323,2.1709069768,3.3662167461,4.4686151729,2.8090016505,0.6663488684,2
3.098141,924187,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,1.376403002,5
1.211991,930082,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,0.5088460123,5
3.31409,1240127,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,8.7835949774,0,0,3.6815714119,4.8531678705,4.0832453666,3.2330920337,1.6273550131,9
0.85319,1240174,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4.2286055327,0,0,1.931980783,4.1827978152,4.5375667895,3.1274264713,1.3431215541,4
0.091934,907000,159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2.0060246273,3.2637734427,4.1083683359,2.7958028108,-0.274867559,2
0.676326,907051,159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,2,8.9210509035,0,0,3.4323658044,4.6672182298,4.4058532707,3.0188421105,1.5477810994,1
