
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.1200
2    1 0.005863  9.2230
3    1 0.010740  8.4030
4    1 0.014790  7.6570
5    1 0.018150  6.9770
6    1 0.020950  6.3570
7    1 0.023270  5.7920
8    2 0.025860  5.2770
9    2 0.029090  4.8090
10   2 0.031770  4.3810
11   2 0.034000  3.9920
12   3 0.037350  3.6380
13   3 0.041880  3.3140
14   3 0.045640  3.0200
15   3 0.048760  2.7520
16   3 0.051360  2.5070
17   3 0.053520  2.2840
18   3 0.055310  2.0820
19   3 0.056800  1.8970
20   3 0.058040  1.7280
21   3 0.059070  1.5750
22   4 0.059950  1.4350
23   4 0.060810  1.3070
24   4 0.061510  1.1910
25   5 0.062110  1.0850
26   8 0.063000  0.9889
27   8 0.064740  0.9011
28   8 0.066220  0.8210
29   8 0.067450  0.7481
30   8 0.068480  0.6816
31   7 0.069260  0.6211
32   8 0.070340  0.5659
33   9 0.071540  0.5156
34   9 0.072820  0.4698
35  10 0.073940  0.4281
36  10 0.075060  0.3900
37  12 0.076420  0.3554
38  11 0.077740  0.3238
39  11 0.078440  0.2951
40  13 0.082320  0.2688
41  13 0.090250  0.2450
42  14 0.097730  0.2232
43  14 0.104300  0.2034
44  14 0.110000  0.1853
45  15 0.115000  0.1688
46  15 0.119600  0.1538
47  15 0.123500  0.1402
48  16 0.126900  0.1277
49  15 0.129800  0.1164
50  17 0.132600  0.1060
51  19 0.135500  0.0966
52  20 0.138100  0.0880
53  21 0.140300  0.0802
54  24 0.142300  0.0731
55  27 0.144300  0.0666
56  29 0.146000  0.0607
57  33 0.147400  0.0553
58  33 0.148900  0.0504
59  33 0.150100  0.0459
60  34 0.151200  0.0418
61  34 0.152100  0.0381
62  35 0.152900  0.0347
63  34 0.153500  0.0316
64  38 0.154100  0.0288
65  39 0.154800  0.0263
66  39 0.155500  0.0239
67  38 0.156100  0.0218
68  41 0.156900  0.0199
69  42 0.157500  0.0181
70  42 0.158000  0.0165
71  42 0.158500  0.0150
72  42 0.158900  0.0137
73  43 0.159300  0.0125
74  45 0.159500  0.0114
75  45 0.159800  0.0104
76  48 0.160100  0.0094
77  51 0.160400  0.0086
78  52 0.160700  0.0078
79  52 0.161000  0.0071
80  53 0.161200  0.0065
81  54 0.161400  0.0059
82  54 0.161600  0.0054
83  55 0.161800  0.0049
84  56 0.161900  0.0045
85  58 0.162100  0.0041
86  60 0.162200  0.0037
87  60 0.162300  0.0034
88  60 0.162400  0.0031
89  60 0.162500  0.0028
90  61 0.162600  0.0026
91  62 0.162700  0.0023
92  63 0.162700  0.0021
93  64 0.162800  0.0019
94  66 0.162800  0.0018
95  69 0.162800  0.0016
96  68 0.162900  0.0015
97  69 0.162900  0.0013
98  69 0.162900  0.0012
99  71 0.162900  0.0011
100 70 0.162900  0.0010
