
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.9000
2    1 0.005858  9.9320
3    1 0.010730  9.0500
4    1 0.014780  8.2460
5    1 0.018140  7.5130
6    1 0.020940  6.8460
7    1 0.023260  6.2380
8    2 0.025860  5.6830
9    2 0.029080  5.1790
10   2 0.031770  4.7180
11   2 0.033990  4.2990
12   3 0.037340  3.9170
13   3 0.041860  3.5690
14   3 0.045620  3.2520
15   3 0.048750  2.9630
16   3 0.051340  2.7000
17   3 0.053500  2.4600
18   3 0.055300  2.2420
19   3 0.056790  2.0430
20   3 0.058030  1.8610
21   3 0.059060  1.6960
22   4 0.059940  1.5450
23   4 0.060800  1.4080
24   4 0.061510  1.2830
25   5 0.062110  1.1690
26   8 0.063000  1.0650
27   8 0.064740  0.9704
28   8 0.066220  0.8842
29   8 0.067450  0.8056
30   8 0.068470  0.7340
31   7 0.069260  0.6688
32   8 0.070340  0.6094
33   9 0.071530  0.5553
34   9 0.072810  0.5059
35  10 0.073940  0.4610
36  10 0.075060  0.4200
37  12 0.076410  0.3827
38  11 0.077730  0.3487
39  11 0.078430  0.3178
40  13 0.082170  0.2895
41  13 0.089800  0.2638
42  14 0.097100  0.2404
43  14 0.103600  0.2190
44  14 0.109200  0.1996
45  15 0.114100  0.1818
46  15 0.118800  0.1657
47  15 0.122700  0.1510
48  16 0.126200  0.1375
49  15 0.129200  0.1253
50  17 0.132000  0.1142
51  19 0.135000  0.1040
52  20 0.137600  0.0948
53  21 0.139800  0.0864
54  24 0.141900  0.0787
55  27 0.144000  0.0717
56  29 0.145700  0.0654
57  33 0.147200  0.0595
58  33 0.148600  0.0542
59  33 0.150000  0.0494
60  34 0.151000  0.0450
61  34 0.152000  0.0410
62  35 0.152700  0.0374
63  35 0.153400  0.0341
64  38 0.154000  0.0310
65  39 0.154700  0.0283
66  39 0.155400  0.0258
67  38 0.156100  0.0235
68  41 0.156800  0.0214
69  42 0.157400  0.0195
70  42 0.158000  0.0178
71  42 0.158500  0.0162
72  42 0.158900  0.0148
73  43 0.159200  0.0134
74  45 0.159500  0.0122
75  45 0.159800  0.0112
76  47 0.160100  0.0102
77  48 0.160500  0.0093
78  51 0.160700  0.0084
79  52 0.160900  0.0077
80  51 0.161200  0.0070
81  51 0.161400  0.0064
82  52 0.161600  0.0058
83  53 0.161800  0.0053
84  55 0.161900  0.0048
85  55 0.162000  0.0044
86  57 0.162100  0.0040
87  57 0.162300  0.0037
88  56 0.162400  0.0033
89  58 0.162600  0.0030
90  59 0.162700  0.0028
91  59 0.162700  0.0025
92  60 0.162800  0.0023
93  61 0.162800  0.0021
94  61 0.162800  0.0019
95  62 0.162900  0.0017
96  62 0.162900  0.0016
97  65 0.162900  0.0014
98  69 0.162900  0.0013
99  69 0.162900  0.0012
100 68 0.163000  0.0011
