
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.2800
2    1 0.006495  9.3650
3    1 0.011900  8.5330
4    1 0.016410  7.7750
5    1 0.020150  7.0840
6    1 0.023270  6.4550
7    1 0.025870  5.8810
8    1 0.028030  5.3590
9    1 0.029820  4.8830
10   2 0.031330  4.4490
11   2 0.033190  4.0540
12   2 0.034720  3.6940
13   2 0.036000  3.3660
14   3 0.037620  3.0670
15   3 0.040380  2.7940
16   3 0.042670  2.5460
17   3 0.044570  2.3200
18   3 0.046150  2.1140
19   3 0.047460  1.9260
20   3 0.048560  1.7550
21   3 0.049460  1.5990
22   3 0.050220  1.4570
23   3 0.050840  1.3270
24   4 0.051720  1.2100
25   4 0.052950  1.1020
26   4 0.053980  1.0040
27   5 0.054890  0.9150
28   5 0.055850  0.8337
29   6 0.057030  0.7596
30   6 0.058430  0.6921
31   7 0.060000  0.6306
32   8 0.061740  0.5746
33  10 0.063950  0.5236
34  10 0.066190  0.4771
35  12 0.068170  0.4347
36  12 0.070590  0.3961
37  12 0.072590  0.3609
38  13 0.074280  0.3288
39  12 0.075950  0.2996
40  12 0.077360  0.2730
41  14 0.078620  0.2487
42  14 0.080040  0.2266
43  15 0.081180  0.2065
44  14 0.081980  0.1882
45  14 0.082680  0.1714
46  14 0.083290  0.1562
47  13 0.083770  0.1423
48  15 0.084170  0.1297
49  15 0.084670  0.1182
50  17 0.085380  0.1077
51  18 0.086280  0.0981
52  18 0.087030  0.0894
53  18 0.087630  0.0814
54  18 0.088170  0.0742
55  18 0.088610  0.0676
56  19 0.088970  0.0616
57  21 0.089290  0.0561
58  21 0.089570  0.0512
59  21 0.089800  0.0466
60  24 0.090000  0.0425
61  24 0.090180  0.0387
62  24 0.090330  0.0353
63  24 0.090450  0.0321
64  24 0.090570  0.0293
65  24 0.090660  0.0267
66  24 0.090740  0.0243
67  24 0.090810  0.0221
68  24 0.090860  0.0202
69  24 0.090910  0.0184
70  24 0.090950  0.0168
71  24 0.090990  0.0153
72  24 0.091010  0.0139
73  24 0.091040  0.0127
74  24 0.091060  0.0116
75  25 0.091070  0.0105
76  25 0.091090  0.0096
77  27 0.091100  0.0087
78  28 0.091110  0.0080
79  28 0.091120  0.0073
80  28 0.091130  0.0066
81  30 0.091140  0.0060
82  30 0.091150  0.0055
83  32 0.091150  0.0050
84  33 0.091160  0.0046
85  33 0.091160  0.0041
86  34 0.091160  0.0038
87  36 0.091170  0.0034
88  38 0.091170  0.0031
89  39 0.091170  0.0029
90  39 0.091170  0.0026
91  39 0.091180  0.0024
92  39 0.091180  0.0022
93  40 0.091180  0.0020
94  42 0.091180  0.0018
95  42 0.091180  0.0016
96  43 0.091180  0.0015
97  44 0.091190  0.0014
98  44 0.091190  0.0012
99  44 0.091190  0.0011
100 45 0.091190  0.0010
