
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.84560
2    2 0.01308 0.77050
3    3 0.02470 0.70210
4    4 0.03457 0.63970
5    6 0.04285 0.58290
6    7 0.04987 0.53110
7    8 0.05581 0.48390
8    8 0.06085 0.44090
9    9 0.06507 0.40170
10   9 0.06863 0.36610
11   9 0.07159 0.33350
12  10 0.07409 0.30390
13   9 0.07620 0.27690
14  10 0.07792 0.25230
15   9 0.07938 0.22990
16   9 0.08056 0.20950
17   9 0.08159 0.19090
18   9 0.08241 0.17390
19   9 0.08314 0.15850
20   9 0.08371 0.14440
21   8 0.08421 0.13160
22   8 0.08458 0.11990
23   8 0.08490 0.10920
24   8 0.08517 0.09951
25   8 0.08540 0.09067
26   8 0.08558 0.08262
27   8 0.08574 0.07528
28   8 0.08586 0.06859
29   8 0.08597 0.06250
30   8 0.08606 0.05695
31   7 0.08613 0.05189
32   7 0.08619 0.04728
33   7 0.08624 0.04308
34   7 0.08628 0.03925
35   7 0.08632 0.03576
36   7 0.08635 0.03259
37   7 0.08637 0.02969
38   7 0.08639 0.02705
39   7 0.08641 0.02465
40   7 0.08642 0.02246
41   7 0.08643 0.02047
42   9 0.08647 0.01865
43  10 0.08722 0.01699
44  10 0.08795 0.01548
45   9 0.08853 0.01411
46  10 0.08896 0.01285
47  11 0.08938 0.01171
48  12 0.08989 0.01067
49  14 0.09035 0.00972
50  14 0.09099 0.00886
51  15 0.09144 0.00807
52  15 0.09185 0.00736
53  16 0.09216 0.00670
54  17 0.09264 0.00611
55  17 0.09306 0.00556
56  20 0.09361 0.00507
57  21 0.09416 0.00462
58  21 0.09463 0.00421
59  21 0.09525 0.00384
60  19 0.09544 0.00349
61  20 0.09589 0.00318
62  20 0.09605 0.00290
63  21 0.09639 0.00264
64  20 0.09652 0.00241
65  22 0.09668 0.00219
66  22 0.09682 0.00200
67  23 0.09694 0.00182
68  24 0.09705 0.00166
69  26 0.09714 0.00151
70  27 0.09722 0.00138
71  27 0.09729 0.00126
72  28 0.09735 0.00114
73  28 0.09741 0.00104
74  29 0.09745 0.00095
75  31 0.09749 0.00087
76  30 0.09752 0.00079
77  30 0.09755 0.00072
78  31 0.09758 0.00065
79  34 0.09760 0.00060
80  34 0.09762 0.00054
81  36 0.09764 0.00050
82  36 0.09766 0.00045
83  36 0.09768 0.00041
84  37 0.09770 0.00037
85  37 0.09771 0.00034
86  37 0.09773 0.00031
87  37 0.09774 0.00028
88  36 0.09775 0.00026
89  37 0.09776 0.00024
90  40 0.09777 0.00021
91  42 0.09778 0.00020
92  42 0.09779 0.00018
93  42 0.09780 0.00016
94  44 0.09780 0.00015
95  43 0.09781 0.00013
96  45 0.09781 0.00012
97  45 0.09782 0.00011
98  45 0.09782 0.00010
99  46 0.09783 0.00009
100 47 0.09783 0.00008
