
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.97570
2    3 0.01283 0.88900
3    3 0.02434 0.81010
4    5 0.03417 0.73810
5    7 0.04262 0.67250
6    8 0.04973 0.61280
7    8 0.05572 0.55830
8    9 0.06075 0.50870
9    9 0.06497 0.46350
10   9 0.06850 0.42240
11  10 0.07150 0.38480
12  12 0.07398 0.35070
13  12 0.07607 0.31950
14  12 0.07781 0.29110
15  11 0.07927 0.26530
16  11 0.08048 0.24170
17  10 0.08149 0.22020
18  10 0.08234 0.20070
19   9 0.08304 0.18280
20   9 0.08364 0.16660
21   9 0.08413 0.15180
22   8 0.08455 0.13830
23   8 0.08486 0.12600
24   8 0.08514 0.11480
25   8 0.08537 0.10460
26   8 0.08556 0.09533
27   8 0.08572 0.08686
28   8 0.08585 0.07914
29   8 0.08596 0.07211
30   8 0.08605 0.06571
31   8 0.08612 0.05987
32   8 0.08618 0.05455
33   8 0.08624 0.04970
34   8 0.08628 0.04529
35   8 0.08632 0.04127
36   7 0.08634 0.03760
37   7 0.08637 0.03426
38   7 0.08639 0.03122
39   7 0.08641 0.02844
40   7 0.08642 0.02592
41   7 0.08643 0.02361
42   8 0.08644 0.02152
43   9 0.08719 0.01960
44  11 0.08785 0.01786
45   9 0.08843 0.01628
46  10 0.08888 0.01483
47  11 0.08931 0.01351
48  13 0.08978 0.01231
49  13 0.09033 0.01122
50  13 0.09089 0.01022
51  13 0.09139 0.00931
52  14 0.09175 0.00849
53  16 0.09213 0.00773
54  17 0.09253 0.00705
55  17 0.09298 0.00642
56  20 0.09360 0.00585
57  20 0.09412 0.00533
58  21 0.09454 0.00486
59  22 0.09494 0.00442
60  22 0.09531 0.00403
61  24 0.09564 0.00367
62  24 0.09592 0.00335
63  23 0.09617 0.00305
64  25 0.09638 0.00278
65  25 0.09656 0.00253
66  25 0.09672 0.00231
67  24 0.09686 0.00210
68  24 0.09697 0.00192
69  25 0.09707 0.00174
70  27 0.09716 0.00159
71  28 0.09724 0.00145
72  30 0.09730 0.00132
73  30 0.09736 0.00120
74  31 0.09742 0.00110
75  32 0.09746 0.00100
76  34 0.09750 0.00091
77  34 0.09754 0.00083
78  34 0.09757 0.00076
79  34 0.09759 0.00069
80  35 0.09762 0.00063
81  36 0.09764 0.00057
82  39 0.09766 0.00052
83  39 0.09768 0.00047
84  40 0.09770 0.00043
85  40 0.09772 0.00039
86  40 0.09773 0.00036
87  41 0.09775 0.00033
88  40 0.09776 0.00030
89  40 0.09777 0.00027
90  41 0.09778 0.00025
91  42 0.09778 0.00023
92  43 0.09779 0.00021
93  45 0.09780 0.00019
94  44 0.09781 0.00017
95  46 0.09781 0.00016
96  46 0.09782 0.00014
97  46 0.09782 0.00013
98  48 0.09783 0.00012
99  48 0.09783 0.00011
100 48 0.09783 0.00010
