
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 105.800
2    1 0.01279  96.420
3    1 0.02347  87.850
4    1 0.03237  80.050
5    1 0.03979  72.940
6    1 0.04597  66.460
7    1 0.05112  60.550
8    1 0.05541  55.170
9    1 0.05898  50.270
10   1 0.06195  45.810
11   1 0.06442  41.740
12   1 0.06648  38.030
13   1 0.06819  34.650
14   1 0.06961  31.570
15   1 0.07080  28.770
16   1 0.07178  26.210
17   1 0.07260  23.880
18   1 0.07328  21.760
19   1 0.07385  19.830
20   1 0.07432  18.070
21   1 0.07471  16.460
22   1 0.07503  15.000
23   1 0.07530  13.670
24   1 0.07552  12.450
25   1 0.07571  11.350
26   1 0.07586  10.340
27   1 0.07599   9.420
28   1 0.07610   8.583
29   1 0.07619   7.821
30   1 0.07626   7.126
31   1 0.07632   6.493
32   1 0.07637   5.916
33   1 0.07641   5.390
34   1 0.07645   4.912
35   1 0.07648   4.475
36   1 0.07650   4.078
37   1 0.07652   3.715
38   1 0.07654   3.385
39   1 0.07655   3.085
40   1 0.07656   2.811
41   1 0.07657   2.561
42   2 0.07681   2.333
43   2 0.07712   2.126
44   2 0.07737   1.937
45   2 0.07759   1.765
46   2 0.07777   1.608
47   2 0.07792   1.465
48   3 0.07844   1.335
49   3 0.07894   1.217
50   4 0.07936   1.109
51   4 0.07974   1.010
52   5 0.08014   0.920
53   5 0.08072   0.839
54   5 0.08121   0.764
55   6 0.08167   0.696
56   7 0.08277   0.634
57   7 0.08320   0.578
58   6 0.08343   0.527
59   6 0.08376   0.480
60   7 0.08396   0.437
61   8 0.08465   0.398
62   9 0.08569   0.363
63   9 0.08656   0.331
64   9 0.08734   0.301
65   9 0.08798   0.275
66   9 0.08852   0.250
67   9 0.08897   0.228
68   9 0.08936   0.208
69   9 0.08969   0.189
70   9 0.08996   0.172
71  10 0.09019   0.157
72  11 0.09039   0.143
73  12 0.09085   0.130
74  12 0.09145   0.119
75  12 0.09197   0.108
76  13 0.09244   0.099
77  13 0.09287   0.090
78  16 0.09324   0.082
79  16 0.09360   0.075
80  17 0.09398   0.068
81  18 0.09439   0.062
82  18 0.09485   0.056
83  18 0.09525   0.051
84  18 0.09559   0.047
85  18 0.09589   0.043
86  17 0.09615   0.039
87  18 0.09636   0.035
88  18 0.09657   0.032
89  17 0.09673   0.029
90  17 0.09686   0.027
91  17 0.09697   0.024
92  17 0.09707   0.022
93  17 0.09715   0.020
94  17 0.09723   0.018
95  17 0.09729   0.017
96  17 0.09735   0.015
97  18 0.09740   0.014
98  18 0.09745   0.013
99  19 0.09749   0.012
100 19 0.09753   0.011
