
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.63420
2    1 0.01381 0.57790
3    2 0.02543 0.52650
4    2 0.03535 0.47980
5    2 0.04357 0.43710
6    4 0.05046 0.39830
7    3 0.05626 0.36290
8    4 0.06123 0.33070
9    4 0.06533 0.30130
10   5 0.06875 0.27450
11   5 0.07171 0.25010
12   5 0.07417 0.22790
13   5 0.07621 0.20770
14   6 0.07792 0.18920
15   9 0.07942 0.17240
16   9 0.08072 0.15710
17   9 0.08169 0.14310
18   8 0.08260 0.13040
19   8 0.08326 0.11880
20   8 0.08381 0.10830
21   7 0.08427 0.09866
22   7 0.08465 0.08990
23   7 0.08496 0.08191
24   7 0.08522 0.07464
25   7 0.08543 0.06801
26   7 0.08561 0.06196
27   7 0.08576 0.05646
28   7 0.08588 0.05144
29   7 0.08599 0.04687
30   7 0.08607 0.04271
31   7 0.08614 0.03892
32   7 0.08620 0.03546
33   7 0.08625 0.03231
34   7 0.08629 0.02944
35   7 0.08632 0.02682
36   7 0.08635 0.02444
37   7 0.08637 0.02227
38   7 0.08639 0.02029
39   7 0.08641 0.01849
40   7 0.08642 0.01685
41   7 0.08643 0.01535
42   8 0.08657 0.01399
43   9 0.08740 0.01274
44   9 0.08809 0.01161
45   9 0.08862 0.01058
46  10 0.08907 0.00964
47  11 0.08949 0.00878
48  12 0.08993 0.00800
49  13 0.09056 0.00729
50  13 0.09114 0.00664
51  13 0.09162 0.00605
52  12 0.09201 0.00552
53  14 0.09229 0.00503
54  15 0.09267 0.00458
55  16 0.09314 0.00417
56  17 0.09372 0.00380
57  18 0.09433 0.00346
58  17 0.09495 0.00316
59  18 0.09526 0.00288
60  18 0.09568 0.00262
61  18 0.09593 0.00239
62  18 0.09620 0.00218
63  19 0.09642 0.00198
64  19 0.09660 0.00181
65  19 0.09676 0.00165
66  20 0.09689 0.00150
67  19 0.09700 0.00137
68  19 0.09710 0.00124
69  21 0.09717 0.00113
70  22 0.09724 0.00103
71  22 0.09730 0.00094
72  23 0.09735 0.00086
73  27 0.09740 0.00078
74  27 0.09744 0.00071
75  28 0.09747 0.00065
76  29 0.09750 0.00059
77  29 0.09753 0.00054
78  27 0.09755 0.00049
79  28 0.09757 0.00045
80  28 0.09759 0.00041
81  32 0.09761 0.00037
82  32 0.09763 0.00034
83  33 0.09764 0.00031
84  33 0.09766 0.00028
85  33 0.09767 0.00026
86  34 0.09769 0.00023
87  34 0.09770 0.00021
88  35 0.09771 0.00019
89  40 0.09772 0.00018
90  45 0.09773 0.00016
91  45 0.09773 0.00015
92  47 0.09774 0.00013
93  47 0.09775 0.00012
94  47 0.09775 0.00011
95  47 0.09776 0.00010
96  44 0.09777 0.00009
97  46 0.09777 0.00008
98  47 0.09777 0.00008
99  49 0.09778 0.00007
100 50 0.09778 0.00006
