
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 3.4430
2     1 0.00398 3.1370
3     1 0.00729 2.8580
4     1 0.01003 2.6040
5     1 0.01231 2.3730
6     1 0.01420 2.1620
7     2 0.01614 1.9700
8     2 0.01929 1.7950
9     3 0.02282 1.6360
10    3 0.02620 1.4900
11    4 0.02916 1.3580
12    4 0.03219 1.2370
13    4 0.03472 1.1270
14    5 0.03744 1.0270
15    6 0.03993 0.9359
16    8 0.04372 0.8528
17   10 0.04775 0.7770
18   12 0.05134 0.7080
19   12 0.05542 0.6451
20   12 0.05880 0.5878
21   13 0.06167 0.5356
22   13 0.06434 0.4880
23   13 0.06655 0.4446
24   15 0.06869 0.4051
25   15 0.07089 0.3692
26   16 0.07306 0.3364
27   16 0.07538 0.3065
28   16 0.07731 0.2792
29   16 0.07890 0.2544
30   18 0.08048 0.2318
31   19 0.08209 0.2112
32   21 0.08366 0.1925
33   22 0.08501 0.1754
34   22 0.08614 0.1598
35   25 0.09622 0.1456
36   27 0.10650 0.1327
37   28 0.11510 0.1209
38   30 0.12250 0.1101
39   32 0.12970 0.1004
40   34 0.13610 0.0914
41   36 0.14720 0.0833
42   35 0.15800 0.0759
43   39 0.16790 0.0692
44   39 0.17610 0.0630
45   42 0.18390 0.0574
46   45 0.19260 0.0523
47   48 0.20150 0.0477
48   50 0.21070 0.0434
49   52 0.21910 0.0396
50   53 0.22840 0.0361
51   55 0.23780 0.0329
52   56 0.24600 0.0299
53   59 0.25360 0.0273
54   63 0.26320 0.0249
55   65 0.27320 0.0226
56   67 0.28300 0.0206
57   73 0.29390 0.0188
58   76 0.30500 0.0171
59   80 0.31640 0.0156
60   85 0.32900 0.0142
61   87 0.34100 0.0130
62   89 0.35110 0.0118
63   91 0.36060 0.0108
64   96 0.36980 0.0098
65   97 0.38070 0.0089
66   97 0.39060 0.0081
67  101 0.39960 0.0074
68  104 0.40750 0.0068
69  105 0.41420 0.0062
70  104 0.42010 0.0056
71  106 0.42510 0.0051
72  108 0.43000 0.0047
73  112 0.43510 0.0042
74  115 0.43950 0.0039
75  118 0.44400 0.0035
76  118 0.44760 0.0032
77  120 0.45050 0.0029
78  125 0.45310 0.0027
79  127 0.45530 0.0024
80  128 0.45720 0.0022
81  132 0.45890 0.0020
82  134 0.46060 0.0018
83  134 0.46200 0.0017
84  136 0.46320 0.0015
85  139 0.46420 0.0014
86  141 0.46500 0.0013
87  142 0.46580 0.0012
88  143 0.46640 0.0011
89  144 0.46690 0.0010
90  143 0.46730 0.0009
91  144 0.46760 0.0008
92  143 0.46800 0.0007
93  143 0.46820 0.0007
94  142 0.46840 0.0006
95  146 0.46860 0.0005
96  146 0.46870 0.0005
97  146 0.46890 0.0005
98  146 0.46900 0.0004
99  146 0.46910 0.0004
100 146 0.46910 0.0003
