
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.2800
2    2 0.007872  9.3650
3    2 0.014510  8.5330
4    2 0.020030  7.7750
5    2 0.024620  7.0840
6    2 0.028440  6.4550
7    2 0.031610  5.8810
8    2 0.034250  5.3590
9    2 0.036440  4.8830
10   2 0.038260  4.4490
11   4 0.040400  4.0540
12   4 0.042700  3.6940
13   6 0.046140  3.3660
14   6 0.049500  3.0670
15   6 0.052310  2.7940
16   6 0.054640  2.5460
17   6 0.056580  2.3200
18   6 0.058190  2.1140
19   6 0.059540  1.9260
20   6 0.060650  1.7550
21   6 0.061580  1.5990
22   7 0.062670  1.4570
23   8 0.064510  1.3270
24   8 0.066580  1.2100
25   8 0.068300  1.1020
26   9 0.070050  1.0040
27   9 0.071560  0.9150
28   9 0.072820  0.8337
29  10 0.074000  0.7596
30   9 0.075160  0.6921
31   8 0.076000  0.6306
32   8 0.076620  0.5746
33   9 0.077160  0.5236
34   9 0.077630  0.4771
35   9 0.078020  0.4347
36   9 0.078340  0.3961
37  10 0.081150  0.3609
38  12 0.087800  0.3288
39  12 0.094290  0.2996
40  13 0.100200  0.2730
41  15 0.107500  0.2487
42  17 0.115900  0.2266
43  17 0.126100  0.2065
44  17 0.135000  0.1882
45  18 0.143400  0.1714
46  20 0.151200  0.1562
47  20 0.158100  0.1423
48  20 0.163900  0.1297
49  21 0.169700  0.1182
50  23 0.177300  0.1077
51  24 0.185900  0.0981
52  25 0.193300  0.0894
53  26 0.200800  0.0814
54  27 0.207900  0.0742
55  30 0.215200  0.0676
56  30 0.222000  0.0616
57  31 0.228300  0.0561
58  32 0.234900  0.0512
59  33 0.240800  0.0466
60  36 0.246500  0.0425
61  38 0.252700  0.0387
62  39 0.259000  0.0353
63  40 0.265300  0.0321
64  42 0.271000  0.0293
65  43 0.276100  0.0267
66  44 0.280800  0.0243
67  44 0.284900  0.0221
68  44 0.288600  0.0202
69  44 0.291800  0.0184
70  44 0.294600  0.0168
71  44 0.297000  0.0153
72  46 0.299200  0.0139
73  46 0.301000  0.0127
74  47 0.302500  0.0116
75  48 0.303900  0.0105
76  49 0.305000  0.0096
77  48 0.306000  0.0087
78  47 0.306900  0.0080
79  47 0.307600  0.0073
80  47 0.308200  0.0066
81  46 0.308700  0.0060
82  46 0.309200  0.0055
83  46 0.309500  0.0050
84  47 0.309900  0.0046
85  49 0.310100  0.0041
86  49 0.310400  0.0038
87  49 0.310700  0.0034
88  49 0.310900  0.0031
89  49 0.311000  0.0029
90  49 0.311200  0.0026
91  49 0.311300  0.0024
92  49 0.311400  0.0022
93  49 0.311500  0.0020
94  50 0.311600  0.0018
95  50 0.311600  0.0016
96  50 0.311700  0.0015
97  50 0.311700  0.0014
98  50 0.311800  0.0012
99  50 0.311800  0.0011
100 51 0.311800  0.0010
