
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.2100
2     1 0.00210  9.3030
3     1 0.00384  8.4760
4     1 0.00529  7.7230
5     1 0.00650  7.0370
6     1 0.00750  6.4120
7     1 0.00834  5.8420
8     1 0.00904  5.3230
9     2 0.00987  4.8500
10    4 0.01226  4.4200
11    4 0.01570  4.0270
12    5 0.01881  3.6690
13    5 0.02163  3.3430
14    5 0.02398  3.0460
15    5 0.02594  2.7760
16    5 0.02756  2.5290
17    8 0.02987  2.3040
18    8 0.03292  2.1000
19   10 0.03580  1.9130
20   14 0.03942  1.7430
21   15 0.04282  1.5880
22   15 0.04583  1.4470
23   18 0.04859  1.3190
24   18 0.05167  1.2010
25   18 0.05424  1.0950
26   18 0.05638  0.9975
27   19 0.05820  0.9089
28   22 0.06034  0.8281
29   22 0.06248  0.7546
30   23 0.06434  0.6875
31   24 0.06594  0.6265
32   24 0.06732  0.5708
33   26 0.06858  0.5201
34   27 0.07002  0.4739
35   29 0.07722  0.4318
36   31 0.08618  0.3934
37   34 0.09637  0.3585
38   35 0.10560  0.3266
39   36 0.11410  0.2976
40   39 0.12310  0.2712
41   41 0.13190  0.2471
42   44 0.14040  0.2251
43   45 0.14790  0.2051
44   47 0.15460  0.1869
45   51 0.16490  0.1703
46   52 0.17440  0.1552
47   55 0.18300  0.1414
48   59 0.19150  0.1288
49   59 0.20060  0.1174
50   60 0.20890  0.1070
51   63 0.21760  0.0975
52   69 0.22770  0.0888
53   72 0.23790  0.0809
54   74 0.24770  0.0737
55   78 0.25710  0.0672
56   82 0.26660  0.0612
57   86 0.27550  0.0558
58   93 0.28540  0.0508
59   95 0.29580  0.0463
60   99 0.30530  0.0422
61  103 0.31440  0.0384
62  113 0.32470  0.0350
63  117 0.33520  0.0319
64  122 0.34520  0.0291
65  123 0.35480  0.0265
66  125 0.36370  0.0241
67  132 0.37260  0.0220
68  136 0.38100  0.0200
69  138 0.38900  0.0183
70  140 0.39640  0.0166
71  143 0.40360  0.0152
72  147 0.41060  0.0138
73  151 0.41740  0.0126
74  153 0.42380  0.0115
75  154 0.42960  0.0104
76  158 0.43500  0.0095
77  162 0.44020  0.0087
78  164 0.44510  0.0079
79  170 0.44960  0.0072
80  169 0.45390  0.0066
81  171 0.45770  0.0060
82  177 0.46120  0.0054
83  179 0.46430  0.0050
84  182 0.46730  0.0045
85  188 0.47010  0.0041
86  193 0.47280  0.0038
87  198 0.47530  0.0034
88  200 0.47760  0.0031
89  202 0.47980  0.0028
90  203 0.48170  0.0026
91  206 0.48340  0.0024
92  209 0.48490  0.0021
93  210 0.48620  0.0020
94  214 0.48730  0.0018
95  214 0.48830  0.0016
96  214 0.48920  0.0015
97  214 0.49000  0.0014
98  219 0.49070  0.0012
99  220 0.49120  0.0011
100 223 0.49170  0.0010
