
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 4.0840
2     1 0.00211 3.7210
3     1 0.00387 3.3900
4     1 0.00533 3.0890
5     1 0.00654 2.8150
6     1 0.00754 2.5650
7     1 0.00837 2.3370
8     1 0.00907 2.1290
9     2 0.00989 1.9400
10    4 0.01229 1.7680
11    4 0.01578 1.6110
12    5 0.01891 1.4680
13    5 0.02174 1.3370
14    5 0.02410 1.2180
15    5 0.02605 1.1100
16    5 0.02767 1.0120
17    8 0.02996 0.9217
18    8 0.03303 0.8398
19   10 0.03592 0.7652
20   13 0.03952 0.6973
21   14 0.04292 0.6353
22   15 0.04594 0.5789
23   17 0.04871 0.5274
24   18 0.05181 0.4806
25   18 0.05438 0.4379
26   18 0.05653 0.3990
27   19 0.05833 0.3636
28   22 0.06044 0.3313
29   22 0.06261 0.3018
30   23 0.06448 0.2750
31   24 0.06608 0.2506
32   24 0.06746 0.2283
33   25 0.06871 0.2080
34   27 0.07035 0.1896
35   29 0.08114 0.1727
36   31 0.09402 0.1574
37   34 0.10640 0.1434
38   34 0.11740 0.1307
39   35 0.12650 0.1190
40   39 0.13520 0.1085
41   40 0.14380 0.0988
42   43 0.15190 0.0900
43   43 0.15880 0.0820
44   47 0.16990 0.0748
45   50 0.18170 0.0681
46   53 0.19150 0.0621
47   55 0.19990 0.0566
48   58 0.20840 0.0515
49   60 0.21770 0.0470
50   63 0.22670 0.0428
51   65 0.23710 0.0390
52   69 0.24790 0.0355
53   71 0.25900 0.0324
54   71 0.26820 0.0295
55   75 0.27710 0.0269
56   83 0.28910 0.0245
57   84 0.30210 0.0223
58   89 0.31360 0.0203
59   91 0.32320 0.0185
60   96 0.33180 0.0169
61  101 0.34080 0.0154
62  109 0.35090 0.0140
63  114 0.36200 0.0128
64  118 0.37270 0.0116
65  123 0.38460 0.0106
66  124 0.39470 0.0097
67  130 0.40360 0.0088
68  133 0.41160 0.0080
69  137 0.41920 0.0073
70  141 0.42700 0.0067
71  139 0.43380 0.0061
72  145 0.43980 0.0055
73  149 0.44510 0.0050
74  150 0.44970 0.0046
75  156 0.45390 0.0042
76  159 0.45870 0.0038
77  161 0.46280 0.0035
78  165 0.46630 0.0032
79  170 0.46930 0.0029
80  175 0.47220 0.0026
81  177 0.47490 0.0024
82  182 0.47740 0.0022
83  184 0.47980 0.0020
84  186 0.48190 0.0018
85  189 0.48360 0.0016
86  195 0.48520 0.0015
87  199 0.48660 0.0014
88  202 0.48780 0.0012
89  202 0.48880 0.0011
90  202 0.48970 0.0010
91  206 0.49050 0.0009
92  207 0.49110 0.0009
93  209 0.49160 0.0008
94  212 0.49210 0.0007
95  213 0.49250 0.0007
96  215 0.49280 0.0006
97  214 0.49310 0.0005
98  219 0.49340 0.0005
99  219 0.49360 0.0004
100 224 0.49370 0.0004
