
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 102.100
2     1 0.00186  93.030
3     1 0.00346  84.760
4     1 0.00484  77.230
5     1 0.00601  70.370
6     1 0.00701  64.120
7     1 0.00786  58.420
8     1 0.00859  53.230
9     2 0.00947  48.500
10    4 0.01181  44.200
11    4 0.01476  40.270
12    5 0.01759  36.690
13    5 0.02022  33.430
14    5 0.02248  30.460
15    5 0.02444  27.760
16    5 0.02611  25.290
17    8 0.02857  23.040
18    9 0.03137  21.000
19   14 0.03453  19.130
20   15 0.03819  17.430
21   16 0.04147  15.880
22   16 0.04433  14.470
23   18 0.04704  13.190
24   19 0.04986  12.010
25   20 0.05241  10.950
26   20 0.05462   9.975
27   21 0.05655   9.089
28   23 0.05874   8.281
29   23 0.06076   7.546
30   24 0.06255   6.875
31   25 0.06414   6.265
32   25 0.06557   5.708
33   26 0.06688   5.201
34   28 0.06810   4.739
35   31 0.07028   4.318
36   33 0.07293   3.934
37   35 0.07592   3.585
38   36 0.07891   3.266
39   40 0.08244   2.976
40   42 0.08658   2.712
41   45 0.09101   2.471
42   46 0.09556   2.251
43   48 0.10010   2.051
44   52 0.10490   1.869
45   56 0.11000   1.703
46   56 0.11520   1.552
47   56 0.12040   1.414
48   58 0.12560   1.288
49   61 0.13110   1.174
50   63 0.13690   1.070
51   64 0.14270   0.975
52   66 0.14880   0.888
53   73 0.15510   0.809
54   79 0.16210   0.737
55   83 0.16940   0.672
56   86 0.17680   0.612
57   90 0.18420   0.558
58   94 0.19180   0.508
59  104 0.19940   0.463
60  110 0.20710   0.422
61  114 0.21480   0.384
62  121 0.22260   0.350
63  124 0.23050   0.319
64  128 0.23850   0.291
65  131 0.24650   0.265
66  136 0.25440   0.241
67  136 0.26220   0.220
68  137 0.26980   0.200
69  137 0.27730   0.183
70  139 0.28470   0.166
71  147 0.29200   0.152
72  148 0.29920   0.138
73  153 0.30640   0.126
74  160 0.31350   0.115
75  164 0.32050   0.104
76  171 0.32750   0.095
77  174 0.33430   0.087
78  176 0.34110   0.079
79  178 0.34770   0.072
80  185 0.35410   0.066
81  188 0.36040   0.060
82  190 0.36660   0.054
83  195 0.37270   0.050
84  197 0.37860   0.045
85  197 0.38440   0.041
86  201 0.38990   0.038
87  207 0.39530   0.034
88  210 0.40070   0.031
89  210 0.40590   0.028
90  214 0.41100   0.026
91  220 0.41600   0.024
92  222 0.42070   0.021
93  223 0.42540   0.020
94  224 0.42970   0.018
95  225 0.43400   0.016
96  228 0.43810   0.015
97  228 0.44210   0.014
98  234 0.44590   0.012
99  235 0.44950   0.011
100 235 0.45300   0.010
