IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,PKA_153_CHA,MOT_2D_linker_CSV,MUT_ALPK1,MUT_MAP3K6,MUT_MAP3K6_EXP,PWY_R_HSA_2454202_CSV,GO_0001764,GO_0007257_CSV,GO_0014068_CSV,GO_0016477_CSV,SFAM_Alpha_Unclassified_EXP,EXP_FAM198B,EXP_MINK1,EXP_LIMK2,EXP_ANKK1,EXP_WNK4,EXP_ROCK1,PKA_151_POL_X_Fingerprint_611,PKA_153_CSV_X_Fingerprint_656,PKA_153_EXP_X_Fingerprint_656,PKA_153_POL_X_Fingerprint_576,PKA_153_POL_X_Fingerprint_611,PKA_73_ASA_X_Fingerprint_644,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_APAF1,EXP_AKT1_X_EXP_CXCR4,EXP_AKT1_X_EXP_NF2,EXP_CDK4_X_EXP_CDC25B,EXP_CDK4_X_EXP_CDKN3,EXP_CDK4_X_EXP_RPA1,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_HEXIM1,EXP_CDK9_X_EXP_LARP7,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_POLR2B,EXP_CDK9_X_EXP_TAF11,EXP_CDK9_X_EXP_TCEA1,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_CBX6,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_MARK2_X_EXP_SLC3A2,EXP_MINK1_X_EXP_CHRNE,EXP_NEK7_X_EXP_TOP2B,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_ACTG1,EXP_PRKCA_X_EXP_CALM1,EXP_PRKCA_X_EXP_GNAO1,EXP_PRKCA_X_EXP_GNGT2,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_PLCB2,EXP_PRKCA_X_EXP_PLCD4,EXP_PRKCA_X_EXP_PPP1R14A,EXP_PRKCA_X_EXP_RACK1,EXP_PRKCA_X_EXP_YWHAG,EXP_STK24_X_EXP_MOB4,EXP_STK24_X_EXP_PPP2R1A,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_FBN1,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_SMAD6,EXP_TRIB3_X_EXP_TGS1,PWY_R_HSA_5683057_X_PWY_R_HSA_8953854,GO_0000187_EXP_X_GO_0001525_EXP,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0002250_CSV_X_GO_0007169_CSV,GO_0006897_EXP_X_GO_0070372_EXP,GO_0006897_X_GO_0045944,GO_0007030_EXP_X_GO_0048013_EXP,GO_0007030_X_GO_0070372,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_0051966_EXP,GO_0035556_EXP_X_GO_1901215_EXP,Predicted IC50,Validation
5.00254,1240205,230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.1014070348,4.6169444304,6.9906613985,3.092756175,2.9805667334,3.238511208,0,0,0,0,0,-4.5,12.976744445,13.094925571,12.002153743,19.439484468,71.423928051,63.155867522,69.660957349,42.679401152,18.100404061,40.285633285,43.111260205,30.716620388,56.784513011,40.472602578,60.653355416,49.616963263,26.207693644,19.841549037,17.24800824,40.553504528,17.380347468,57.989611189,20.437943532,43.604172907,35.5868688,10.895347745,10.845192709,22.863376154,10.270932994,10.644945748,10.469973484,44.74280937,19.853869887,46.645934309,33.033394272,23.806128202,18.802343986,39.020008254,30.754065208,67.228395695,0,0,0,0,0,0,0,0,0,0,0,0,4.8444706853,10
-0.397794412,1299052,1014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3227604755,4.3487873567,4.4863549679,2.9095289979,2.8262283579,3.2438316238,0,0,0,0,0,0,15.053541356,15.214893876,23.33720712,16.884329853,56.070558798,89.840650529,74.150931752,40.491013174,15.606845151,44.3258392,39.894988823,29.207472883,52.127052754,39.488732288,44.613065567,44.422350159,20.672224277,15.645722128,15.020058312,30.150991426,16.387058662,71.409248829,21.644605271,43.975140078,36.95009165,11.3799436,11.039842091,17.471679442,11.205960905,10.79715573,10.834783592,46.090254563,16.586786593,32.798808679,28.894346825,19.50658492,13.020463975,24.204702803,16.37518937,30.132449571,0,0,0,0,0,0,0,0,1,0,0,0,-0.125256007,5
-3.922764,753570,283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4813485963,4.564644506,7.1925447241,2.9214130235,3.0551749294,2.9685354773,0,0,0,0,0,0,13.010648815,15.153144326,13.019648719,21.137660416,55.35857517,70.171965922,65.748907744,34.911580894,18.651842114,45.716932244,47.503227823,37.559784463,62.613389266,46.279004986,58.383988059,44.212169063,23.597799898,20.10708928,21.755476441,43.720359013,16.097764371,56.993275391,22.443051368,50.24866196,40.189623712,13.379021763,12.599823902,18.041031529,11.568839461,11.422550537,12.407043797,50.152125046,19.341055629,40.413389693,31.458874863,21.988368867,16.645601207,36.224964043,22.440007878,43.496235333,1,0,0,0,0,0,0,0,0,0,0,36.076686585,-2.968884123,7
-0.270062,1240206,155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.620949,0,2.8947474449,5.1068900394,6.6837832746,3.0781623859,3.1153688901,2.9989479288,0,0,0,0,0,0,13.554708266,14.70483276,13.49578824,17.433820622,66.565220703,73.333942498,62.350079207,36.037657208,46.227849434,40.921468048,44.59912941,39.193855571,60.255949812,44.882987598,63.733858459,61.168846358,34.055933699,22.558571843,23.930031673,36.056753574,19.032308639,61.594253609,21.578653013,41.88611576,32.223273664,12.013517465,10.866095505,16.457652473,10.665629549,10.307686499,10.60173549,44.923546527,17.975768781,42.902538268,34.664577668,22.268363372,13.992747558,22.826274656,22.015522969,64.482180786,0,0,0,0,0,0,0,0,0,0,0,0,-0.404001878,9
-0.920699,909708,1242,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9462495437,4.6151803371,4.556794575,3.1076521278,3.0789350163,3.0313971062,0,0,0,0,0,0,14.575612714,15.801300795,13.593811206,20.62977015,62.172489417,69.27341079,62.682763839,33.932144636,42.245463644,40.300980059,41.772920517,31.033363555,57.65956506,39.596005223,57.734477632,56.473319461,22.102138901,22.494352031,20.005651737,37.305083912,18.001529846,63.150266052,21.992730764,43.313684497,34.835459838,11.480905662,10.964166669,18.574838914,10.733317616,10.952966578,10.958072293,47.723964502,17.617671602,54.642840403,37.934820277,28.016832727,15.189103837,42.716838637,17.589851166,65.644717676,0,0,0,0,0,0,0,0,0,0,0,0,0.0390653818,4
0.910733,909700,235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8044006211,4.1959469686,4.275684889,3.1094241999,3.0877516724,3.1243831296,0,0,0,0,0,0,13.043139351,14.815342773,12.969983138,17.634120796,42.077497623,60.846258403,54.852802058,34.636933733,15.79714885,42.52049514,39.218690927,29.937788332,55.603623938,33.001981575,46.233189017,40.370627391,24.468774904,16.58203367,17.929229677,31.41755304,15.282618794,64.086593814,25.114222039,41.620965812,35.655248693,11.88727258,11.261475577,16.067517845,11.725989345,11.626987834,11.146728011,47.116738817,16.192679362,40.914197921,34.611735524,17.176803793,10.682490611,16.822968467,14.882259255,41.482953097,0,0,0,0,0,0,1,0,0,0,0,0,0.6285713797,5
3.653882,1298529,1052,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.790234,0,0.790234,0,0,0,6.0708519753,4.425016348,4.536027023,3.1011128975,3.0004625011,3.3388147689,0,0,0,0,0,0,14.413336055,17.399618275,13.653981916,24.293466568,57.958677159,78.875428736,71.135288257,32.812869695,15.022358781,34.742191373,38.974031943,22.0583546,53.142144166,33.624344686,41.454866607,40.951805032,22.342474315,20.679250019,20.333082153,21.195450898,18.316814022,85.436835941,26.954861307,55.809562263,47.314017837,14.273414021,12.747103495,20.458670032,15.311842784,15.014472752,14.531434317,54.723037603,20.225470252,30.765863968,26.645297696,16.908568405,37.152983536,35.560723162,23.77630722,28.998626009,0,10.00390193,0,0,0.6244697748,10.00390193,0,0,1,0,35.876805542,35.876805542,2.7431453414,4
-0.414396,1298529,153,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.790234,0,0.790234,0,0,0,6.0708519753,4.425016348,4.536027023,3.1011128975,3.0004625011,3.3388147689,0,0,0,0,0,0,14.413336055,17.399618275,13.653981916,24.293466568,57.958677159,78.875428736,71.135288257,32.812869695,15.022358781,34.742191373,38.974031943,22.0583546,53.142144166,33.624344686,41.454866607,40.951805032,22.342474315,20.679250019,20.333082153,21.195450898,18.316814022,85.436835941,26.954861307,55.809562263,47.314017837,14.273414021,12.747103495,20.458670032,15.311842784,15.014472752,14.531434317,54.723037603,20.225470252,30.765863968,26.645297696,16.908568405,37.152983536,35.560723162,23.77630722,28.998626009,0,10.00390193,0,0,0.6244697748,10.00390193,0,0,1,0,35.876805542,35.876805542,0.9473255566,7
5.032231,1240122,288,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.454153,0,3.4132316145,4.9729566191,4.910404237,2.8824289665,2.7794214117,2.9067911358,0,0,0,0,0,0,13.743778349,15.899116928,13.9053656,21.240106231,61.83331404,79.070724571,69.414593137,39.049068251,37.573049269,36.509434159,42.860600126,31.184890856,57.021811967,43.580061265,45.391450456,50.753760652,21.623027981,21.427529142,23.441607659,38.119737436,17.439126189,59.506425793,23.107345792,48.996065964,37.597070072,13.05774099,12.473778793,18.896324601,12.022680202,11.884500673,12.742459733,51.173190765,19.119522813,40.095067084,33.169145156,24.893299838,16.022949263,32.118276271,17.03006963,44.117111604,0,0,0,0,0,0,0,0,0,0,0,0,4.2791251097,10
4.20507,753562,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4199955616,4.6200733985,4.8995748951,3.1072828469,2.9953939612,3.3105704759,0,0,0,0,0,0,14.535954708,17.484562004,14.094482887,26.51536081,53.854314451,88.022905315,67.902495087,36.86880815,46.2386489,34.976025874,43.004528414,28.47583851,53.494994669,38.710010418,50.049710736,47.812266834,23.563131834,19.179870551,24.603679926,41.018356041,16.94896961,67.60710462,20.717459241,46.844322684,40.266309529,11.693848627,11.69225787,18.015693467,11.119380402,12.82982159,11.036691758,50.021197642,19.386667201,46.424693606,33.548108744,34.129462104,16.853111246,40.052412826,19.711436376,39.980090482,0,0,0,0,0,0,0,0,0,0,0,0,3.6222461652,4
