
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.4000
2    1 0.00237  9.4770
3    1 0.00435  8.6350
4    1 0.00599  7.8680
5    1 0.00736  7.1690
6    1 0.00849  6.5320
7    3 0.01120  5.9520
8    3 0.01468  5.4230
9    3 0.01758  4.9420
10   4 0.02071  4.5030
11   4 0.02330  4.1030
12   5 0.02560  3.7380
13   5 0.02767  3.4060
14   5 0.02940  3.1030
15   5 0.03083  2.8280
16   5 0.03203  2.5770
17   8 0.03340  2.3480
18   9 0.03532  2.1390
19   9 0.03727  1.9490
20   9 0.03888  1.7760
21   9 0.04022  1.6180
22   9 0.04134  1.4740
23  10 0.04238  1.3430
24  10 0.04329  1.2240
25  10 0.04403  1.1150
26  10 0.04465  1.0160
27   9 0.04516  0.9260
28   9 0.04558  0.8437
29   9 0.04593  0.7687
30   9 0.04623  0.7004
31   9 0.04647  0.6382
32  10 0.04668  0.5815
33  10 0.04718  0.5299
34  10 0.04760  0.4828
35  11 0.04796  0.4399
36  12 0.05046  0.4008
37  12 0.05569  0.3652
38  12 0.06279  0.3328
39  12 0.07002  0.3032
40  12 0.07653  0.2763
41  12 0.08237  0.2517
42  16 0.09160  0.2294
43  18 0.10290  0.2090
44  19 0.11490  0.1904
45  19 0.12550  0.1735
46  22 0.13490  0.1581
47  24 0.14330  0.1440
48  28 0.15250  0.1313
49  29 0.16230  0.1196
50  29 0.17180  0.1090
51  35 0.18200  0.0993
52  37 0.19310  0.0905
53  38 0.20300  0.0824
54  38 0.21170  0.0751
55  39 0.21930  0.0684
56  42 0.22670  0.0624
57  44 0.23390  0.0568
58  47 0.24120  0.0518
59  46 0.24880  0.0472
60  49 0.25640  0.0430
61  49 0.26350  0.0392
62  49 0.26990  0.0357
63  52 0.27580  0.0325
64  54 0.28180  0.0296
65  57 0.28760  0.0270
66  57 0.29280  0.0246
67  58 0.29740  0.0224
68  59 0.30140  0.0204
69  58 0.30500  0.0186
70  59 0.30820  0.0170
71  58 0.31100  0.0154
72  58 0.31340  0.0141
73  59 0.31570  0.0128
74  62 0.31810  0.0117
75  63 0.32060  0.0106
76  63 0.32270  0.0097
77  62 0.32470  0.0088
78  61 0.32640  0.0081
79  60 0.32800  0.0073
80  61 0.32930  0.0067
81  63 0.33050  0.0061
82  62 0.33150  0.0056
83  62 0.33240  0.0051
84  62 0.33320  0.0046
85  62 0.33390  0.0042
86  62 0.33450  0.0038
87  64 0.33500  0.0035
88  64 0.33540  0.0032
89  65 0.33570  0.0029
90  65 0.33610  0.0026
91  65 0.33630  0.0024
92  65 0.33650  0.0022
93  66 0.33670  0.0020
94  67 0.33690  0.0018
95  67 0.33700  0.0017
96  68 0.33710  0.0015
97  68 0.33720  0.0014
98  68 0.33730  0.0013
99  68 0.33740  0.0011
100 68 0.33750  0.0010
