IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_779,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_617,Fingerprint_611,Fingerprint_576,DOM_FAT,MUT_MAST2,MUT_MAST2_EXP,SFAM_MAST_EXP,FAM_PKL_EXP,EXP_HASPIN,EXP_FER,EXP_MAP3K1,EXP_MAST4,EXP_MAP3K12,EXP_TRPM6,EXP_BLK_X_EXP_CBL,EXP_BLK_X_EXP_DAPP1,EXP_GRK7_X_EXP_CCR8,EXP_LRRK2_X_EXP_RAB29,EXP_LRRK2_X_EXP_TFDP1,EXP_LRRK2_X_EXP_TUBB4B,EXP_MAP3K12_X_EXP_MAPK8IP1,EXP_MAP3K1_X_EXP_NRK,EXP_MAP3K1_X_EXP_SP1,EXP_MAPK14_X_EXP_ACTA1,EXP_MAPK14_X_EXP_DLG1,EXP_MAPK14_X_EXP_ESR1,EXP_RAF1_X_EXP_GP1BA,EXP_RAF1_X_EXP_REM1,EXP_RAF1_X_EXP_SCNN1G,Predicted IC50,Validation
0.140044,949171,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,0.3977018032,4
3.883038,949172,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3.622236098,0,3.790597483,6.600216818,9.173115341,3.622236098,5.32484941,3.023198615,13.92919115,11.14942211,8.325121443,22.63245768,20.99030738,36.4609921,17.46278424,27.59606802,47.64768437,17.02994137,22.41767904,14.91529162,19.61857775,20.3898618,16.69647269,2.1406589456,9
3.463092,949174,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,0.9224975212,2
0.652029,949175,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3.395127119,0,4.241507125,5.474776172,7.991639517,3.395127119,4.578580491,2.87463566,13.64873125,9.734418172,9.24630425,18.6096963,21.99899328,37.42602218,15.27674859,22.96524253,43.14624506,17.18179554,23.14254713,15.36603804,22.89308373,24.64485639,21.08983601,1.683383602,1
1.044807,949176,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,2.2814546473,4
1.325069,949177,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,0.9589869269,7
3.142381,949178,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,1.1703053236,5
2.836213,1240181,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.803164529,5.452023695,10.14976215,3.639959394,4.22271828,3.298390245,12.60612647,8.806781431,8.71135883,11.28338318,18.82980332,33.6831064,15.58556503,27.87370347,54.3166827,16.16218411,25.52450108,15.75097221,19.9942305,20.69933924,18.27948039,0.4638840223,6
1.771621,688086,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904,1.7189549168,2
2.818311,688087,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,5.51001936,5.51001936,0,3.295034677,6.535234437,8.143506582,3.79364486,5.629877771,2.925889033,14.67485222,8.742792046,8.591722075,12.44273112,18.66086071,30.89867933,19.71279963,22.71258434,43.23339092,14.79039806,24.86971436,14.87101839,18.77199332,18.33272899,16.57418463,2.8015227898,1
