
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.4500
2    1 0.006097  9.5250
3    1 0.011160  8.6790
4    1 0.015370  7.9080
5    1 0.018860  7.2050
6    1 0.021770  6.5650
7    1 0.024180  5.9820
8    1 0.026180  5.4500
9    1 0.027840  4.9660
10   1 0.029220  4.5250
11   1 0.030370  4.1230
12   1 0.031320  3.7570
13   1 0.032110  3.4230
14   2 0.034160  3.1190
15   3 0.036650  2.8420
16   3 0.039860  2.5890
17   3 0.042530  2.3590
18   3 0.044750  2.1500
19   3 0.046600  1.9590
20   4 0.048260  1.7850
21   4 0.049670  1.6260
22   4 0.050830  1.4820
23   4 0.051810  1.3500
24   4 0.052610  1.2300
25   4 0.053290  1.1210
26   4 0.053840  1.0210
27   4 0.054300  0.9306
28   4 0.054690  0.8479
29   4 0.055010  0.7726
30   4 0.055280  0.7040
31   4 0.055500  0.6414
32   4 0.055680  0.5844
33   4 0.055830  0.5325
34   4 0.055960  0.4852
35   4 0.056060  0.4421
36   4 0.056150  0.4028
37   4 0.056220  0.3670
38   4 0.056280  0.3344
39   4 0.056330  0.3047
40   5 0.057560  0.2777
41   5 0.067710  0.2530
42   5 0.076440  0.2305
43   5 0.083940  0.2100
44   5 0.090350  0.1914
45   6 0.095840  0.1744
46   6 0.100600  0.1589
47   6 0.104700  0.1448
48   6 0.108100  0.1319
49   6 0.111000  0.1202
50   7 0.113500  0.1095
51   7 0.115600  0.0998
52   7 0.117300  0.0909
53   7 0.118800  0.0828
54   7 0.120100  0.0755
55   8 0.121100  0.0688
56   9 0.122100  0.0627
57   9 0.122900  0.0571
58   9 0.123500  0.0520
59   9 0.124100  0.0474
60   9 0.124600  0.0432
61  11 0.125000  0.0394
62  11 0.125400  0.0359
63  11 0.125900  0.0327
64  11 0.126200  0.0298
65  11 0.126500  0.0271
66  11 0.126700  0.0247
67  11 0.127000  0.0225
68   9 0.127100  0.0205
69   9 0.127300  0.0187
70   9 0.127400  0.0170
71   9 0.127500  0.0155
72   9 0.127600  0.0141
73   9 0.127600  0.0129
74  10 0.127700  0.0117
75  10 0.127700  0.0107
76  11 0.127800  0.0097
77  11 0.127800  0.0089
78  11 0.127800  0.0081
79  12 0.127900  0.0074
80  12 0.127900  0.0067
81  12 0.127900  0.0061
82  13 0.127900  0.0056
83  13 0.127900  0.0051
84  13 0.127900  0.0046
85  14 0.127900  0.0042
86  16 0.127900  0.0038
87  16 0.128000  0.0035
88  18 0.128000  0.0032
89  19 0.128000  0.0029
90  19 0.128000  0.0026
91  20 0.128000  0.0024
92  20 0.128000  0.0022
93  20 0.128000  0.0020
94  19 0.128000  0.0018
95  20 0.128000  0.0017
96  20 0.128000  0.0015
97  20 0.128000  0.0014
98  20 0.128000  0.0013
99  20 0.128000  0.0011
100 21 0.128000  0.0010
