
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 8.3630
2    1 0.006109 7.6200
3    1 0.011180 6.9430
4    1 0.015390 6.3260
5    1 0.018890 5.7640
6    1 0.021790 5.2520
7    1 0.024200 4.7850
8    1 0.026200 4.3600
9    1 0.027860 3.9730
10   1 0.029240 3.6200
11   1 0.030380 3.2980
12   1 0.031330 3.0050
13   1 0.032120 2.7380
14   2 0.034170 2.4950
15   3 0.036650 2.2740
16   3 0.039870 2.0720
17   3 0.042550 1.8870
18   3 0.044770 1.7200
19   3 0.046610 1.5670
20   4 0.048260 1.4280
21   4 0.049670 1.3010
22   4 0.050840 1.1850
23   4 0.051820 1.0800
24   4 0.052620 0.9841
25   4 0.053290 0.8967
26   4 0.053850 0.8171
27   4 0.054310 0.7445
28   4 0.054700 0.6783
29   4 0.055020 0.6181
30   4 0.055280 0.5632
31   4 0.055500 0.5131
32   4 0.055680 0.4675
33   4 0.055840 0.4260
34   4 0.055960 0.3882
35   4 0.056070 0.3537
36   4 0.056150 0.3223
37   4 0.056230 0.2936
38   4 0.056280 0.2675
39   4 0.056330 0.2438
40   5 0.057760 0.2221
41   5 0.069290 0.2024
42   5 0.078870 0.1844
43   5 0.086820 0.1680
44   5 0.093430 0.1531
45   6 0.098920 0.1395
46   6 0.103600 0.1271
47   6 0.107500 0.1158
48   6 0.110700 0.1055
49   6 0.113300 0.0962
50   7 0.115500 0.0876
51   7 0.117400 0.0798
52   7 0.118900 0.0727
53   7 0.120200 0.0663
54   7 0.121300 0.0604
55   8 0.122200 0.0550
56   9 0.123000 0.0501
57   9 0.123600 0.0457
58   9 0.124200 0.0416
59   9 0.124600 0.0379
60   9 0.125000 0.0346
61  11 0.125400 0.0315
62  11 0.125800 0.0287
63  11 0.126100 0.0261
64  11 0.126400 0.0238
65  11 0.126700 0.0217
66  11 0.126900 0.0198
67  11 0.127100 0.0180
68   9 0.127300 0.0164
69   9 0.127400 0.0150
70   9 0.127500 0.0136
71   9 0.127500 0.0124
72   9 0.127600 0.0113
73   9 0.127700 0.0103
74  10 0.127700 0.0094
75  10 0.127800 0.0086
76  11 0.127800 0.0078
77  11 0.127800 0.0071
78  11 0.127900 0.0065
79  12 0.127900 0.0059
80  12 0.127900 0.0054
81  12 0.127900 0.0049
82  13 0.127900 0.0045
83  13 0.127900 0.0041
84  13 0.127900 0.0037
85  14 0.127900 0.0034
86  16 0.128000 0.0031
87  16 0.128000 0.0028
88  17 0.128000 0.0026
89  19 0.128000 0.0023
90  19 0.128000 0.0021
91  20 0.128000 0.0019
92  20 0.128000 0.0018
93  20 0.128000 0.0016
94  19 0.128000 0.0015
95  20 0.128000 0.0013
96  20 0.128000 0.0012
97  20 0.128000 0.0011
98  20 0.128000 0.0010
99  20 0.128000 0.0009
100 20 0.128000 0.0008
