IC50,Cancer,Drug,From_Sanger,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_797,Fingerprint_791,Fingerprint_776,Fingerprint_714,Fingerprint_710,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_673,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_588,PWY_R_HSA_2682334,GO_0030336_EXP,EXP_IRAK3,EXP_BRD4,PKA_137_POL_X_Fingerprint_576,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
3.8777175721,930297,1032,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,4.8521131365,5.3820524088,0,19.154756444,12.104093275,2.7815767049,3
3.888909,687505,1042,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,3.3782014768,3.0252558276,5.6090773638,0,9.7083996281,14.675089467,2.9691499455,6
3.932033,724839,185,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,3.9570779615,5.4131136837,-1.4,15.868346125,12.638631606,3.6830515855,9
3.523474,907068,226,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,3.6321368395,5.6125055083,0,13.820833047,12.999983849,2.1692497851,7
1.796172,687505,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,3.3782014768,3.0252558276,5.6090773638,0,9.7083996281,14.675089467,3.2849748698,1
3.150963,906843,260,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2.9478359226,5.5199455439,0,12.839859693,13.417610905,3.4029309887,2
2.029619,930297,155,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,2,0,4.8521131365,5.3820524088,0,19.154756444,12.104093275,2.3447236417,6
3.637411,906824,281,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,6.3018233858,2.9956604313,5.9173867453,0,11.497666944,14.487923201,3.2562457985,10
5.92998,724839,176,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,3.9570779615,5.4131136837,0,15.868346125,12.638631606,5.9385664353,2
2.049564,1298134,277,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,4.4140067546,3.2231998158,5.2675923994,0,11.504159524,13.234659277,2.3256935086,2
