
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 109.300
2     1 0.00151  99.560
3     1 0.00278  90.710
4     1 0.00385  82.650
5     1 0.00475  75.310
6     1 0.00551  68.620
7     2 0.00629  62.520
8     2 0.00840  56.970
9     2 0.01021  51.910
10    2 0.01176  47.300
11    2 0.01308  43.100
12    2 0.01420  39.270
13    2 0.01516  35.780
14    2 0.01597  32.600
15    2 0.01665  29.700
16    3 0.01735  27.070
17    3 0.01834  24.660
18    3 0.01919  22.470
19    4 0.02018  20.470
20    5 0.02107  18.650
21    6 0.02346  17.000
22    7 0.02606  15.490
23    7 0.02834  14.110
24    7 0.03032  12.860
25    7 0.03204  11.720
26    7 0.03353  10.680
27    8 0.03486   9.727
28    8 0.03606   8.863
29    8 0.03708   8.075
30    8 0.03796   7.358
31    9 0.03896   6.704
32    9 0.03989   6.109
33    9 0.04068   5.566
34    9 0.04135   5.072
35    9 0.04193   4.621
36    9 0.04242   4.210
37   11 0.04352   3.836
38   11 0.04507   3.496
39   11 0.04661   3.185
40   13 0.04879   2.902
41   15 0.05129   2.644
42   16 0.05486   2.409
43   16 0.05856   2.195
44   16 0.06230   2.000
45   18 0.06672   1.823
46   18 0.07127   1.661
47   19 0.07592   1.513
48   19 0.08073   1.379
49   21 0.08560   1.256
50   23 0.09108   1.145
51   25 0.09698   1.043
52   27 0.10330   0.950
53   32 0.11020   0.866
54   35 0.11740   0.789
55   37 0.12490   0.719
56   38 0.13260   0.655
57   41 0.14040   0.597
58   43 0.14840   0.544
59   45 0.15640   0.496
60   47 0.16460   0.452
61   48 0.17280   0.411
62   52 0.18110   0.375
63   57 0.18950   0.342
64   59 0.19800   0.311
65   63 0.20640   0.284
66   66 0.21480   0.258
67   68 0.22320   0.235
68   75 0.23160   0.214
69   76 0.24000   0.195
70   77 0.24810   0.178
71   77 0.25610   0.162
72   77 0.26390   0.148
73   79 0.27160   0.135
74   82 0.27920   0.123
75   87 0.28680   0.112
76   88 0.29430   0.102
77   88 0.30170   0.093
78   91 0.30890   0.085
79   91 0.31600   0.077
80   91 0.32290   0.070
81   94 0.32970   0.064
82   96 0.33630   0.058
83   96 0.34280   0.053
84   97 0.34900   0.048
85   98 0.35510   0.044
86   97 0.36110   0.040
87   99 0.36670   0.037
88  100 0.37220   0.033
89  103 0.37760   0.030
90  103 0.38290   0.028
91  104 0.38800   0.025
92  104 0.39290   0.023
93  104 0.39760   0.021
94  105 0.40210   0.019
95  104 0.40650   0.017
96  105 0.41070   0.016
97  107 0.41460   0.014
98  106 0.41840   0.013
99  107 0.42200   0.012
100 105 0.42530   0.011
