
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 10.0400
2     1 0.00197  9.1440
3     1 0.00402  8.3320
4     1 0.00614  7.5920
5     1 0.00833  6.9170
6     2 0.01089  6.3030
7     4 0.01506  5.7430
8     9 0.02146  5.2330
9     9 0.02927  4.7680
10   10 0.03735  4.3440
11   16 0.04674  3.9580
12   24 0.05820  3.6070
13   27 0.07090  3.2860
14   35 0.08436  2.9940
15   43 0.09968  2.7280
16   50 0.11540  2.4860
17   55 0.13230  2.2650
18   62 0.14950  2.0640
19   65 0.16640  1.8810
20   73 0.18350  1.7130
21   75 0.20080  1.5610
22   78 0.21740  1.4230
23   81 0.23380  1.2960
24   83 0.24930  1.1810
25   84 0.26420  1.0760
26   85 0.27830  0.9805
27   86 0.29160  0.8934
28   89 0.30420  0.8140
29   89 0.31650  0.7417
30   89 0.32780  0.6758
31   91 0.33840  0.6158
32   92 0.34850  0.5611
33   92 0.35790  0.5112
34   93 0.36660  0.4658
35   93 0.37460  0.4244
36   98 0.38220  0.3867
37  100 0.38960  0.3524
38  102 0.39640  0.3211
39  102 0.40270  0.2926
40  102 0.40860  0.2666
41  102 0.41400  0.2429
42  106 0.41910  0.2213
43  107 0.42390  0.2016
44  107 0.42820  0.1837
45  107 0.43210  0.1674
46  107 0.43570  0.1525
47  107 0.43890  0.1390
48  108 0.44190  0.1266
49  108 0.44450  0.1154
50  109 0.44700  0.1051
51  109 0.44920  0.0958
52  109 0.45110  0.0873
53  109 0.45290  0.0795
54  109 0.45450  0.0725
55  109 0.45580  0.0660
56  109 0.45700  0.0602
57  109 0.45810  0.0548
58  107 0.45910  0.0500
59  107 0.45990  0.0455
60  108 0.46060  0.0415
61  108 0.46120  0.0378
62  108 0.46170  0.0344
63  108 0.46220  0.0314
64  108 0.46260  0.0286
65  108 0.46290  0.0260
66  108 0.46320  0.0237
67  106 0.46350  0.0216
68  106 0.46370  0.0197
69  106 0.46390  0.0180
70  106 0.46400  0.0164
71  107 0.46420  0.0149
72  109 0.46430  0.0136
73  109 0.46440  0.0124
74  109 0.46450  0.0113
75  111 0.46450  0.0103
76  111 0.46460  0.0094
77  111 0.46470  0.0085
78  111 0.46480  0.0078
79  111 0.46480  0.0071
80  111 0.46490  0.0065
81  111 0.46490  0.0059
82  111 0.46500  0.0054
83  112 0.46500  0.0049
84  112 0.46500  0.0044
85  112 0.46500  0.0041
86  113 0.46510  0.0037
87  113 0.46510  0.0034
88  113 0.46510  0.0031
89  112 0.46510  0.0028
90  113 0.46510  0.0025
91  114 0.46510  0.0023
92  114 0.46510  0.0021
93  114 0.46520  0.0019
94  113 0.46520  0.0018
95  113 0.46520  0.0016
96  114 0.46520  0.0015
97  114 0.46520  0.0013
98  114 0.46520  0.0012
99  114 0.46520  0.0011
100 114 0.46520  0.0010
