
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.4800
2    1 0.001308  9.5450
3    1 0.002394  8.6970
4    1 0.003297  7.9240
5    2 0.004328  7.2200
6    2 0.005189  6.5790
7    2 0.005904  5.9950
8    2 0.006498  5.4620
9    2 0.006991  4.9770
10   2 0.007400  4.5350
11   2 0.007740  4.1320
12   3 0.008237  3.7650
13   3 0.009183  3.4300
14   4 0.010570  3.1260
15   4 0.011740  2.8480
16   5 0.012800  2.5950
17   5 0.013810  2.3640
18   5 0.014640  2.1540
19   6 0.015430  1.9630
20   6 0.016440  1.7890
21   7 0.017520  1.6300
22   7 0.018580  1.4850
23   8 0.019520  1.3530
24   8 0.020490  1.2330
25   8 0.021270  1.1230
26   8 0.021930  1.0230
27   9 0.022730  0.9326
28   9 0.023450  0.8497
29   9 0.024020  0.7742
30  11 0.024660  0.7054
31  11 0.025340  0.6428
32  12 0.025900  0.5857
33  12 0.026460  0.5336
34  12 0.026920  0.4862
35  12 0.027280  0.4430
36  12 0.027580  0.4037
37  10 0.027790  0.3678
38  10 0.027960  0.3351
39  11 0.033100  0.3054
40  11 0.038410  0.2782
41  13 0.043050  0.2535
42  14 0.047160  0.2310
43  18 0.057920  0.2105
44  20 0.068270  0.1918
45  21 0.077370  0.1747
46  23 0.086900  0.1592
47  24 0.095860  0.1451
48  26 0.103800  0.1322
49  26 0.110900  0.1204
50  27 0.118600  0.1097
51  27 0.125800  0.1000
52  26 0.132000  0.0911
53  27 0.137200  0.0830
54  28 0.141700  0.0756
55  29 0.147000  0.0689
56  29 0.151700  0.0628
57  31 0.155900  0.0572
58  33 0.161200  0.0521
59  33 0.165900  0.0475
60  34 0.170900  0.0433
61  36 0.176300  0.0394
62  39 0.181000  0.0359
63  43 0.185300  0.0327
64  43 0.190100  0.0298
65  44 0.195200  0.0272
66  47 0.200100  0.0248
67  48 0.205000  0.0226
68  51 0.209300  0.0206
69  53 0.213200  0.0187
70  53 0.216600  0.0171
71  53 0.219500  0.0156
72  55 0.222000  0.0142
73  55 0.224300  0.0129
74  54 0.226200  0.0118
75  55 0.227900  0.0107
76  56 0.229300  0.0098
77  56 0.230600  0.0089
78  56 0.231700  0.0081
79  58 0.232600  0.0074
80  58 0.233400  0.0067
81  59 0.234100  0.0061
82  59 0.234700  0.0056
83  61 0.235100  0.0051
84  60 0.235600  0.0046
85  62 0.235900  0.0042
86  62 0.236200  0.0039
87  65 0.236500  0.0035
88  66 0.236700  0.0032
89  67 0.236900  0.0029
90  69 0.237100  0.0027
91  69 0.237200  0.0024
92  69 0.237300  0.0022
93  68 0.237500  0.0020
94  69 0.237600  0.0018
95  71 0.237700  0.0017
96  71 0.237800  0.0015
97  71 0.237800  0.0014
98  73 0.237900  0.0013
99  73 0.238000  0.0012
100 75 0.238000  0.0010
