IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,PKA_153_CHA,MOT_2D_linker_CSV,MUT_ALPK1,MUT_MAP3K6,MUT_MAP3K6_EXP,PWY_R_HSA_2454202_CSV,GO_0001764,GO_0007257_CSV,GO_0014068_CSV,GO_0016477_CSV,SFAM_Alpha_Unclassified_EXP,EXP_FAM198B,EXP_MINK1,EXP_LIMK2,EXP_ANKK1,EXP_WNK4,EXP_ROCK1,PKA_151_POL_X_Fingerprint_611,PKA_153_CSV_X_Fingerprint_656,PKA_153_EXP_X_Fingerprint_656,PKA_153_POL_X_Fingerprint_576,PKA_153_POL_X_Fingerprint_611,PKA_73_ASA_X_Fingerprint_644,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_APAF1,EXP_AKT1_X_EXP_CXCR4,EXP_AKT1_X_EXP_NF2,EXP_CDK4_X_EXP_CDC25B,EXP_CDK4_X_EXP_CDKN3,EXP_CDK4_X_EXP_RPA1,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_HEXIM1,EXP_CDK9_X_EXP_LARP7,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_POLR2B,EXP_CDK9_X_EXP_TAF11,EXP_CDK9_X_EXP_TCEA1,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_CBX6,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_MARK2_X_EXP_SLC3A2,EXP_MINK1_X_EXP_CHRNE,EXP_NEK7_X_EXP_TOP2B,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_ACTG1,EXP_PRKCA_X_EXP_CALM1,EXP_PRKCA_X_EXP_GNAO1,EXP_PRKCA_X_EXP_GNGT2,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_PLCB2,EXP_PRKCA_X_EXP_PLCD4,EXP_PRKCA_X_EXP_PPP1R14A,EXP_PRKCA_X_EXP_RACK1,EXP_PRKCA_X_EXP_YWHAG,EXP_STK24_X_EXP_MOB4,EXP_STK24_X_EXP_PPP2R1A,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_FBN1,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_SMAD6,EXP_TRIB3_X_EXP_TGS1,PWY_R_HSA_5683057_X_PWY_R_HSA_8953854,GO_0000187_EXP_X_GO_0001525_EXP,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0002250_CSV_X_GO_0007169_CSV,GO_0006897_EXP_X_GO_0070372_EXP,GO_0006897_X_GO_0045944,GO_0007030_EXP_X_GO_0048013_EXP,GO_0007030_X_GO_0070372,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_0051966_EXP,GO_0035556_EXP_X_GO_1901215_EXP
5.00254,1240205,230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.10140703479822,4.61694443040622,6.99066139845514,3.09275617496961,2.98056673336339,3.23851120797595,0,0,0,0,0,-4.5,12.9767444452476,13.094925571462,12.0021537425312,19.4394844676575,71.4239280510057,63.15586752246,69.6609573486308,42.6794011524686,18.1004040607729,40.2856332853141,43.111260205427,30.7166203879417,56.7845130108804,40.4726025778526,60.6533554159396,49.6169632629334,26.2076936440227,19.8415490370636,17.2480082399689,40.5535045275068,17.3803474678004,57.9896111889329,20.4379435322627,43.6041729065221,35.5868688004507,10.8953477452333,10.8451927091445,22.8633761538677,10.2709329942505,10.6449457478918,10.4699734836741,44.7428093698785,19.8538698873965,46.6459343092104,33.0333942720733,23.806128202064,18.8023439860166,39.0200082539677,30.7540652082969,67.2283956945502,0,0,0,0,0,0,0,0,0,0,0,0
-0.397794412163649,1299052,1014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32276047545153,4.34878735673955,4.48635496792368,2.90952899785265,2.82622835785399,3.2438316238458,0,0,0,0,0,0,15.053541356102,15.2148938757126,23.3372071201143,16.8843298531475,56.0705587979362,89.8406505290619,74.1509317522137,40.4910131744469,15.6068451505162,44.3258392003423,39.894988822654,29.2074728832915,52.1270527537331,39.4887322875171,44.6130655666552,44.4223501593244,20.6722242772259,15.6457221279029,15.020058311677,30.1509914259336,16.3870586622432,71.4092488287961,21.6446052711723,43.9751400777779,36.9500916502246,11.3799436001612,11.0398420911812,17.4716794422788,11.2059609052046,10.7971557304855,10.834783592057,46.0902545634159,16.586786593101,32.7988086792421,28.8943468246342,19.5065849201369,13.0204639748826,24.2047028032239,16.3751893703103,30.1324495708839,0,0,0,0,0,0,0,0,1,0,0,0
-3.922764,753570,283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.48134859628654,4.56464450595276,7.19254472405704,2.92141302345483,3.05517492943743,2.9685354773188,0,0,0,0,0,0,13.0106488150465,15.1531443255213,13.0196487188554,21.1376604155007,55.3585751703926,70.1719659219356,65.7489077444476,34.9115808940765,18.6518421143531,45.7169322437718,47.5032278234542,37.5597844634697,62.613389266119,46.2790049859427,58.3839880592478,44.2121690628737,23.5977998976132,20.1070892798994,21.7554764405422,43.7203590127553,16.097764370985,56.9932753907679,22.4430513677891,50.2486619595395,40.1896237121265,13.3790217627337,12.5998239017111,18.0410315285998,11.5688394607579,11.4225505365269,12.4070437965128,50.1521250463485,19.3410556287103,40.4133896931587,31.4588748632213,21.9883688671309,16.6456012066343,36.2249640432914,22.4400078783273,43.4962353330225,1,0,0,0,0,0,0,0,0,0,0,36.0766865845103
-0.270062,1240206,155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.620949,0,2.89474744489888,5.10689003938207,6.68378327458957,3.07816238589451,3.11536889011941,2.99894792883822,0,0,0,0,0,0,13.5547082661555,14.7048327597849,13.495788240388,17.4338206217847,66.5652207030649,73.3339424977136,62.3500792069416,36.0376572083233,46.2278494344707,40.9214680479546,44.5991294104639,39.1938555713605,60.2559498118427,44.8829875978267,63.7338584589598,61.1688463581442,34.0559336992905,22.5585718433152,23.9300316725969,36.0567535735032,19.0323086393321,61.5942536088617,21.5786530128193,41.8861157599573,32.2232736640851,12.0135174650506,10.8660955046123,16.4576524727396,10.6656295490163,10.3076864988301,10.601735489514,44.9235465274648,17.975768781219,42.9025382677445,34.664577668445,22.2683633718842,13.9927475578009,22.8262746562492,22.0155229689251,64.4821807862144,0,0,0,0,0,0,0,0,0,0,0,0
-0.920699,909708,1242,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94624954366948,4.61518033705866,4.55679457501968,3.10765212781444,3.07893501633809,3.03139710620215,0,0,0,0,0,0,14.5756127139068,15.8013007948674,13.5938112062851,20.629770150247,62.1724894172399,69.2734107899885,62.6827638391018,33.9321446356401,42.2454636435635,40.3009800589666,41.7729205168476,31.033363555385,57.6595650603808,39.5960052232858,57.7344776315807,56.4733194610458,22.1021389014062,22.4943520311902,20.0056517367472,37.3050839116588,18.0015298464871,63.1502660520583,21.9927307640442,43.3136844968681,34.8354598380827,11.4809056615351,10.9641666686857,18.5748389139626,10.7333176160633,10.952966578274,10.9580722926948,47.7239645018306,17.6176716016775,54.6428404034582,37.9348202766908,28.0168327270331,15.1891038368439,42.7168386371558,17.589851165908,65.6447176758506,0,0,0,0,0,0,0,0,0,0,0,0
0.910733,909700,235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.80440062110496,4.19594696861867,4.27568488896384,3.10942419989359,3.08775167235425,3.12438312964428,0,0,0,0,0,0,13.0431393505056,14.8153427733843,12.9699831384659,17.6341207960922,42.0774976225729,60.8462584027513,54.8528020580819,34.6369337326466,15.7971488503807,42.5204951402276,39.2186909266263,29.9377883323943,55.6036239380297,33.0019815750933,46.2331890166988,40.3706273910403,24.468774903531,16.5820336696997,17.929229677376,31.4175530398796,15.2826187938658,64.086593813817,25.1142220388522,41.6209658115099,35.6552486931785,11.8872725795514,11.2614755773208,16.0675178448448,11.7259893449696,11.6269878342705,11.1467280110956,47.1167388173621,16.1926793619764,40.9141979211972,34.6117355242559,17.176803793206,10.6824906108423,16.822968467406,14.8822592550641,41.482953096555,0,0,0,0,0,0,1,0,0,0,0,0
3.653882,1298529,1052,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.790234,0,0.790234,0,0,0,6.07085197525185,4.42501634795563,4.53602702300179,3.10111289746096,3.00046250114253,3.33881476891185,0,0,0,0,0,0,14.4133360546165,17.3996182752437,13.6539819157288,24.2934665682784,57.9586771587972,78.8754287359913,71.1352882572225,32.812869695326,15.0223587810241,34.7421913730997,38.9740319433512,22.0583545996678,53.1421441655343,33.6243446856735,41.4548666070102,40.9518050318446,22.3424743152843,20.6792500185452,20.333082152633,21.195450897703,18.3168140222492,85.4368359409301,26.9548613065572,55.8095622626703,47.314017837401,14.2734140205001,12.7471034948196,20.4586700316468,15.3118427838169,15.0144727517404,14.5314343165106,54.723037602521,20.2254702524916,30.7658639684928,26.6452976958687,16.9085684045094,37.1529835361392,35.5607231623239,23.7763072201813,28.9986260091974,0,10.0039019299905,0,0,0.624469774756,10.0039019299905,0,0,1,0,35.876805541557,35.876805541557
-0.414396,1298529,153,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.790234,0,0.790234,0,0,0,6.07085197525185,4.42501634795563,4.53602702300179,3.10111289746096,3.00046250114253,3.33881476891185,0,0,0,0,0,0,14.4133360546165,17.3996182752437,13.6539819157288,24.2934665682784,57.9586771587972,78.8754287359913,71.1352882572225,32.812869695326,15.0223587810241,34.7421913730997,38.9740319433512,22.0583545996678,53.1421441655343,33.6243446856735,41.4548666070102,40.9518050318446,22.3424743152843,20.6792500185452,20.333082152633,21.195450897703,18.3168140222492,85.4368359409301,26.9548613065572,55.8095622626703,47.314017837401,14.2734140205001,12.7471034948196,20.4586700316468,15.3118427838169,15.0144727517404,14.5314343165106,54.723037602521,20.2254702524916,30.7658639684928,26.6452976958687,16.9085684045094,37.1529835361392,35.5607231623239,23.7763072201813,28.9986260091974,0,10.0039019299905,0,0,0.624469774756,10.0039019299905,0,0,1,0,35.876805541557,35.876805541557
5.032231,1240122,288,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.454153,0,3.41323161448554,4.97295661910562,4.91040423698898,2.88242896649866,2.77942141169052,2.90679113575834,0,0,0,0,0,0,13.7437783491361,15.8991169281693,13.9053656002959,21.2401062312348,61.8333140399069,79.0707245706865,69.4145931371685,39.0490682507626,37.5730492693916,36.5094341594603,42.8606001256688,31.1848908563955,57.0218119669535,43.5800612653888,45.3914504559918,50.7537606522069,21.623027981436,21.427529142464,23.4416076585712,38.1197374361619,17.4391261894713,59.5064257927219,23.1073457922451,48.9960659643606,37.5970700716171,13.057740990127,12.4737787928568,18.8963246009244,12.0226802019864,11.8845006733695,12.7424597325914,51.1731907645044,19.1195228130561,40.095067084009,33.1691451563028,24.893299837899,16.0229492633202,32.1182762713056,17.0300696303768,44.1171116044678,0,0,0,0,0,0,0,0,0,0,0,0
4.20507,753562,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41999556163211,4.62007339845743,4.89957489509865,3.10728284693818,2.99539396118281,3.31057047592578,0,0,0,0,0,0,14.5359547075927,17.4845620040152,14.0944828873505,26.5153608095442,53.8543144506941,88.0229053148313,67.9024950869757,36.8688081496793,46.2386488999721,34.9760258739652,43.0045284138538,28.4758385103442,53.4949946686698,38.7100104184103,50.0497107364589,47.8122668339462,23.5631318340433,19.1798705512439,24.6036799255261,41.0183560409102,16.9489696099717,67.607104619695,20.7174592409945,46.8443226838213,40.2663095286808,11.6938486272159,11.6922578702708,18.0156934672471,11.1193804018086,12.8298215900396,11.0366917578288,50.0211976417867,19.3866672009847,46.4246936062834,33.5481087435754,34.1294621041578,16.8531112464294,40.0524128258532,19.711436376385,39.9800904815601,0,0,0,0,0,0,0,0,0,0,0,0
