
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.4800
2    1 0.00619  9.5530
3    2 0.01298  8.7040
4    2 0.01967  7.9310
5    2 0.02524  7.2260
6    2 0.02989  6.5840
7    2 0.03377  5.9990
8    2 0.03700  5.4660
9    2 0.03968  4.9810
10   2 0.04192  4.5380
11   2 0.04379  4.1350
12   2 0.04534  3.7680
13   2 0.04663  3.4330
14   2 0.04770  3.1280
15   2 0.04860  2.8500
16   2 0.04934  2.5970
17   2 0.04996  2.3660
18   3 0.05047  2.1560
19   3 0.05094  1.9650
20   3 0.05134  1.7900
21   3 0.05168  1.6310
22   5 0.05282  1.4860
23   5 0.05395  1.3540
24   5 0.05489  1.2340
25   5 0.05568  1.1240
26   5 0.05634  1.0240
27   5 0.05689  0.9333
28   5 0.05735  0.8504
29   5 0.05773  0.7748
30   5 0.05805  0.7060
31   5 0.05832  0.6433
32   5 0.05854  0.5861
33   6 0.06241  0.5341
34   6 0.06877  0.4866
35   6 0.07477  0.4434
36   7 0.08056  0.4040
37   7 0.08705  0.3681
38   8 0.09526  0.3354
39   8 0.10280  0.3056
40   8 0.10950  0.2785
41   8 0.11550  0.2537
42   9 0.12230  0.2312
43  12 0.13190  0.2106
44  12 0.14120  0.1919
45  13 0.14990  0.1749
46  14 0.15860  0.1593
47  15 0.16700  0.1452
48  16 0.17600  0.1323
49  18 0.18560  0.1205
50  19 0.19510  0.1098
51  22 0.20480  0.1001
52  22 0.21420  0.0912
53  24 0.22280  0.0831
54  27 0.23250  0.0757
55  28 0.24270  0.0690
56  29 0.25260  0.0628
57  29 0.26140  0.0573
58  30 0.26970  0.0522
59  30 0.27710  0.0475
60  30 0.28360  0.0433
61  29 0.28930  0.0395
62  30 0.29440  0.0360
63  31 0.29890  0.0328
64  31 0.30290  0.0299
65  31 0.30630  0.0272
66  31 0.30930  0.0248
67  31 0.31190  0.0226
68  31 0.31410  0.0206
69  31 0.31600  0.0188
70  31 0.31770  0.0171
71  31 0.31910  0.0156
72  31 0.32030  0.0142
73  32 0.32140  0.0129
74  32 0.32240  0.0118
75  32 0.32320  0.0107
76  32 0.32390  0.0098
77  32 0.32450  0.0089
78  32 0.32500  0.0081
79  32 0.32540  0.0074
80  32 0.32580  0.0067
81  32 0.32610  0.0061
82  31 0.32630  0.0056
83  32 0.32650  0.0051
84  32 0.32670  0.0046
85  32 0.32690  0.0042
86  32 0.32700  0.0039
87  32 0.32710  0.0035
88  32 0.32720  0.0032
89  32 0.32730  0.0029
90  33 0.32730  0.0027
91  33 0.32740  0.0024
92  33 0.32750  0.0022
93  33 0.32750  0.0020
94  33 0.32750  0.0018
95  33 0.32760  0.0017
96  33 0.32760  0.0015
97  33 0.32760  0.0014
98  33 0.32760  0.0013
99  33 0.32760  0.0012
100 33 0.32760  0.0010
