
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 104.800
2    1 0.00455  95.530
3    2 0.01054  87.040
4    2 0.01628  79.310
5    2 0.02134  72.260
6    2 0.02578  65.840
7    3 0.02973  59.990
8    3 0.03324  54.660
9    3 0.03625  49.810
10   3 0.03884  45.380
11   3 0.04105  41.350
12   3 0.04294  37.680
13   3 0.04455  34.330
14   3 0.04593  31.280
15   3 0.04709  28.500
16   3 0.04808  25.970
17   3 0.04891  23.660
18   3 0.04962  21.560
19   3 0.05022  19.650
20   4 0.05087  17.900
21   5 0.05164  16.310
22   5 0.05271  14.860
23   5 0.05365  13.540
24   5 0.05446  12.340
25   5 0.05517  11.240
26   5 0.05579  10.240
27   5 0.05633   9.333
28   5 0.05680   8.504
29   5 0.05720   7.748
30   5 0.05755   7.060
31   5 0.05785   6.433
32   5 0.05812   5.861
33   6 0.05879   5.341
34   6 0.05983   4.866
35   6 0.06090   4.434
36   7 0.06221   4.040
37   7 0.06384   3.681
38   9 0.06610   3.354
39   9 0.06873   3.056
40   9 0.07145   2.785
41  10 0.07436   2.537
42  11 0.07755   2.312
43  11 0.08089   2.106
44  11 0.08429   1.919
45  12 0.08779   1.749
46  13 0.09156   1.593
47  15 0.09579   1.452
48  16 0.10050   1.323
49  16 0.10550   1.205
50  17 0.11060   1.098
51  19 0.11610   1.001
52  20 0.12180   0.912
53  21 0.12770   0.831
54  24 0.13400   0.757
55  26 0.14070   0.690
56  27 0.14760   0.628
57  28 0.15470   0.573
58  29 0.16190   0.522
59  30 0.16930   0.475
60  30 0.17670   0.433
61  30 0.18410   0.395
62  30 0.19150   0.360
63  30 0.19890   0.328
64  31 0.20620   0.299
65  31 0.21340   0.272
66  31 0.22040   0.248
67  31 0.22730   0.226
68  31 0.23410   0.206
69  31 0.24060   0.188
70  31 0.24690   0.171
71  31 0.25300   0.156
72  31 0.25890   0.142
73  31 0.26440   0.129
74  31 0.26970   0.118
75  31 0.27470   0.107
76  32 0.27950   0.098
77  32 0.28390   0.089
78  32 0.28810   0.081
79  32 0.29190   0.074
80  32 0.29550   0.067
81  32 0.29890   0.061
82  32 0.30190   0.056
83  32 0.30470   0.051
84  32 0.30730   0.046
85  32 0.30960   0.042
86  32 0.31170   0.039
87  32 0.31360   0.035
88  32 0.31530   0.032
89  32 0.31690   0.029
90  32 0.31820   0.027
91  32 0.31940   0.024
92  32 0.32050   0.022
93  32 0.32150   0.020
94  33 0.32230   0.018
95  33 0.32310   0.017
96  33 0.32370   0.015
97  33 0.32430   0.014
98  33 0.32480   0.013
99  33 0.32520   0.012
100 33 0.32550   0.010
