
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 4.1940
2    1 0.00635 3.8210
3    2 0.01318 3.4820
4    2 0.01994 3.1720
5    2 0.02555 2.8910
6    2 0.03021 2.6340
7    2 0.03408 2.4000
8    2 0.03729 2.1870
9    2 0.03996 1.9920
10   2 0.04217 1.8150
11   2 0.04401 1.6540
12   2 0.04553 1.5070
13   2 0.04680 1.3730
14   2 0.04785 1.2510
15   2 0.04872 1.1400
16   2 0.04945 1.0390
17   2 0.05005 0.9465
18   2 0.05055 0.8624
19   3 0.05097 0.7858
20   3 0.05135 0.7160
21   3 0.05169 0.6524
22   5 0.05277 0.5944
23   5 0.05393 0.5416
24   5 0.05491 0.4935
25   5 0.05571 0.4497
26   5 0.05637 0.4097
27   5 0.05693 0.3733
28   5 0.05739 0.3402
29   5 0.05777 0.3099
30   5 0.05809 0.2824
31   5 0.05835 0.2573
32   5 0.05857 0.2345
33   6 0.06578 0.2136
34   6 0.07663 0.1947
35   6 0.08563 0.1774
36   6 0.09311 0.1616
37   7 0.10060 0.1472
38   8 0.11010 0.1342
39   8 0.11810 0.1222
40   8 0.12470 0.1114
41   9 0.13740 0.1015
42   9 0.14810 0.0925
43  10 0.15690 0.0843
44  12 0.16530 0.0768
45  12 0.17370 0.0700
46  13 0.18130 0.0637
47  15 0.18890 0.0581
48  18 0.19840 0.0529
49  18 0.20850 0.0482
50  21 0.21780 0.0439
51  22 0.22710 0.0400
52  22 0.23570 0.0365
53  24 0.24390 0.0332
54  25 0.25310 0.0303
55  29 0.26400 0.0276
56  29 0.27370 0.0251
57  30 0.28190 0.0229
58  29 0.28940 0.0209
59  29 0.29560 0.0190
60  29 0.30080 0.0173
61  30 0.30510 0.0158
62  30 0.30890 0.0144
63  30 0.31200 0.0131
64  31 0.31450 0.0119
65  31 0.31660 0.0109
66  31 0.31840 0.0099
67  31 0.31990 0.0090
68  31 0.32110 0.0082
69  31 0.32210 0.0075
70  31 0.32290 0.0068
71  31 0.32360 0.0062
72  31 0.32420 0.0057
73  32 0.32480 0.0052
74  32 0.32530 0.0047
75  32 0.32570 0.0043
76  32 0.32600 0.0039
77  32 0.32630 0.0036
78  32 0.32660 0.0032
79  31 0.32670 0.0030
80  31 0.32690 0.0027
81  32 0.32700 0.0025
82  32 0.32710 0.0022
83  32 0.32720 0.0020
84  32 0.32730 0.0019
85  32 0.32740 0.0017
86  32 0.32740 0.0015
87  32 0.32740 0.0014
88  32 0.32750 0.0013
89  32 0.32750 0.0012
90  32 0.32760 0.0011
91  32 0.32760 0.0010
92  32 0.32760 0.0009
93  33 0.32760 0.0008
94  33 0.32760 0.0007
95  33 0.32760 0.0007
96  33 0.32770 0.0006
97  33 0.32770 0.0006
98  33 0.32770 0.0005
99  33 0.32770 0.0005
100 33 0.32770 0.0004
