IC50,Cancer,Drug,From_Sanger,Fingerprint_826,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_797,Fingerprint_791,Fingerprint_776,Fingerprint_714,Fingerprint_710,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_673,Fingerprint_667,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_363,GO_0030336_EXP,EXP_IRAK3,EXP_BRD4,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
1.693955,946357,35,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3.1976712244,5.6306040107,0,67.297735617,38.60177464,11.851593745,14.469112177,1.7985749944,8
2.860252,946357,37,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3.1976712244,5.6306040107,0,67.297735617,38.60177464,11.851593745,14.469112177,2.7521019156,4
3.300648,946357,91,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.1976712244,5.6306040107,0,67.297735617,38.60177464,11.851593745,14.469112177,3.258365934,10
1.331337,687505,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,3.3782014768,3.0252558276,5.6090773638,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.8319346146,8
5.25011,687506,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3.4793992429,5.4320796759,0,59.117976019,34.530745112,13.83750445,11.895041789,3.9967006012,5
5.971971,724839,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3.9570779615,5.4131136837,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,5.9270819856,2
1.721694,906824,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,6.3018233858,2.9956604313,5.9173867453,0,67.4144993,40.018278184,11.497666944,14.487923201,1.4963508905,6
3.243609,906843,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2.9478359226,5.5199455439,0,67.36996948,33.681930667,12.839859693,13.417610905,3.7177547788,1
3.062111,907068,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3.6321368395,5.6125055083,0,66.465517602,35.487811896,13.820833047,12.999983849,3.1583410704,10
5.385972,930297,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,4.8521131365,5.3820524088,0,47.802494887,34.755374895,19.154756444,12.104093275,5.1741472026,4
6.232046,930298,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,4.2284266226,5.0044916562,0,53.548462103,32.261758846,18.211828114,11.407227195,5.9419826943,7
3.211405,1240212,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3.1566702035,5.687384494,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.9763484141,7
2.981017,1298134,152,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4.4140067546,3.2231998158,5.2675923994,0,61.640784461,36.02603409,11.504159524,13.234659277,3.9812259033,4
0.169591,687505,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.3782014768,3.0252558276,5.6090773638,0,65.371679042,34.58928315,9.7083996281,14.675089467,-0.206640739,8
-0.407902,687506,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3.4793992429,5.4320796759,0,59.117976019,34.530745112,13.83750445,11.895041789,-0.206309498,10
2.453796,724839,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3.9570779615,5.4131136837,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,1.6880926335,2
-0.056989,906824,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,6.3018233858,2.9956604313,5.9173867453,0,67.4144993,40.018278184,11.497666944,14.487923201,-0.207457546,6
-1.152498,906843,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2.9478359226,5.5199455439,0,67.36996948,33.681930667,12.839859693,13.417610905,-0.205137824,3
0.636741,907068,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3.6321368395,5.6125055083,0,66.465517602,35.487811896,13.820833047,12.999983849,-0.20457141,1
1.702869,930297,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4.8521131365,5.3820524088,0,47.802494887,34.755374895,19.154756444,12.104093275,1.3010877235,5
1.373537,930298,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4.2284266226,5.0044916562,0,53.548462103,32.261758846,18.211828114,11.407227195,1.650725568,2
-0.958794,1240212,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3.1566702035,5.687384494,0.3,53.078990442,35.290054041,11.791803995,13.040814464,-0.205632017,8
-0.504954,1298134,153,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4.4140067546,3.2231998158,5.2675923994,0,61.640784461,36.02603409,11.504159524,13.234659277,-0.206366704,9
0.847503,687505,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3.3782014768,3.0252558276,5.6090773638,0,65.371679042,34.58928315,9.7083996281,14.675089467,0.3388456277,10
2.028872,687506,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,3.4793992429,5.4320796759,0,59.117976019,34.530745112,13.83750445,11.895041789,1.5732038967,7
2.465655,724839,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,3.9570779615,5.4131136837,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,2.1379735245,1
-0.861802,906824,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,6.3018233858,2.9956604313,5.9173867453,0,67.4144993,40.018278184,11.497666944,14.487923201,0.1971896323,6
-0.466301,906843,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,2.9478359226,5.5199455439,0,67.36996948,33.681930667,12.839859693,13.417610905,0.4714441119,4
1.934443,907068,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,3.6321368395,5.6125055083,0,66.465517602,35.487811896,13.820833047,12.999983849,0.7610894723,1
2.029619,930297,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,4.8521131365,5.3820524088,0,47.802494887,34.755374895,19.154756444,12.104093275,2.3940383674,10
2.197377,930298,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,4.2284266226,5.0044916562,0,53.548462103,32.261758846,18.211828114,11.407227195,2.7318367386,2
1.789628,1240212,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,3.1566702035,5.687384494,0.3,53.078990442,35.290054041,11.791803995,13.040814464,0.8607441022,8
0.269824,1298134,155,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,4.4140067546,3.2231998158,5.2675923994,0,61.640784461,36.02603409,11.504159524,13.234659277,0.9924948676,8
-1.373129,687505,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.3782014768,3.0252558276,5.6090773638,0,65.371679042,34.58928315,9.7083996281,14.675089467,-0.620630303,10
-0.899222,687506,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.4793992429,5.4320796759,0,59.117976019,34.530745112,13.83750445,11.895041789,-0.383845042,7
0.489158,724839,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.9570779615,5.4131136837,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,1.3067786207,2
-0.479524,906824,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.3018233858,2.9956604313,5.9173867453,0,67.4144993,40.018278184,11.497666944,14.487923201,-0.62071163,2
-1.620956,906843,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.9478359226,5.5199455439,0,67.36996948,33.681930667,12.839859693,13.417610905,-0.603848576,10
-1.272292,907068,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.6321368395,5.6125055083,0,66.465517602,35.487811896,13.820833047,12.999983849,-0.617626525,4
0.289694,930297,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.8521131365,5.3820524088,0,47.802494887,34.755374895,19.154756444,12.104093275,1.3068696441,5
1.097452,930298,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.2284266226,5.0044916562,0,53.548462103,32.261758846,18.211828114,11.407227195,1.3079037143,5
-0.785506,1240212,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.1566702035,5.687384494,0.3,53.078990442,35.290054041,11.791803995,13.040814464,-0.620321371,7
