
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.2300
2    1 0.00036  9.3190
3    2 0.00076  8.4910
4    2 0.00123  7.7370
5    3 0.00176  7.0490
6    4 0.00272  6.4230
7    5 0.00390  5.8530
8    6 0.00532  5.3330
9    7 0.00697  4.8590
10   8 0.00886  4.4270
11   8 0.01094  4.0340
12   8 0.01313  3.6760
13   9 0.01551  3.3490
14  11 0.01815  3.0520
15  11 0.02101  2.7800
16  14 0.02406  2.5330
17  16 0.02753  2.3080
18  22 0.03146  2.1030
19  23 0.03574  1.9160
20  24 0.04026  1.7460
21  27 0.04507  1.5910
22  30 0.05017  1.4500
23  33 0.05564  1.3210
24  35 0.06134  1.2040
25  38 0.06724  1.0970
26  40 0.07340  0.9992
27  41 0.07973  0.9105
28  43 0.08620  0.8296
29  44 0.09279  0.7559
30  45 0.09950  0.6887
31  46 0.10630  0.6275
32  47 0.11300  0.5718
33  48 0.11990  0.5210
34  50 0.12670  0.4747
35  52 0.13370  0.4325
36  56 0.14060  0.3941
37  57 0.14760  0.3591
38  57 0.15450  0.3272
39  58 0.16140  0.2981
40  59 0.16820  0.2717
41  61 0.17500  0.2475
42  61 0.18170  0.2255
43  60 0.18830  0.2055
44  61 0.19480  0.1872
45  62 0.20130  0.1706
46  62 0.20760  0.1554
47  61 0.21370  0.1416
48  60 0.21960  0.1291
49  60 0.22540  0.1176
50  61 0.23090  0.1071
51  64 0.23650  0.0976
52  66 0.24190  0.0890
53  66 0.24720  0.0810
54  66 0.25230  0.0738
55  66 0.25730  0.0673
56  66 0.26200  0.0613
57  64 0.26660  0.0559
58  64 0.27090  0.0509
59  64 0.27510  0.0464
60  66 0.27910  0.0423
61  66 0.28290  0.0385
62  66 0.28650  0.0351
63  66 0.29000  0.0320
64  67 0.29330  0.0291
65  67 0.29630  0.0265
66  67 0.29920  0.0242
67  66 0.30190  0.0220
68  66 0.30450  0.0201
69  67 0.30680  0.0183
70  66 0.30900  0.0167
71  67 0.31110  0.0152
72  68 0.31300  0.0138
73  68 0.31470  0.0126
74  68 0.31640  0.0115
75  68 0.31790  0.0105
76  68 0.31930  0.0095
77  68 0.32050  0.0087
78  68 0.32170  0.0079
79  68 0.32270  0.0072
80  68 0.32370  0.0066
81  68 0.32450  0.0060
82  68 0.32530  0.0055
83  68 0.32600  0.0050
84  68 0.32660  0.0045
85  68 0.32710  0.0041
86  68 0.32760  0.0038
87  68 0.32810  0.0034
88  68 0.32850  0.0031
89  68 0.32880  0.0028
90  68 0.32910  0.0026
91  68 0.32940  0.0024
92  68 0.32960  0.0022
93  68 0.32980  0.0020
94  68 0.33000  0.0018
95  68 0.33020  0.0016
96  68 0.33030  0.0015
97  68 0.33040  0.0014
98  68 0.33050  0.0012
99  68 0.33060  0.0011
100 68 0.33070  0.0010
