
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.7800
2    1 0.003691  9.8200
3    1 0.006759  8.9480
4    1 0.009308  8.1530
5    1 0.011430  7.4290
6    1 0.013190  6.7690
7    1 0.014650  6.1680
8    1 0.015870  5.6200
9    1 0.016880  5.1200
10   1 0.017720  4.6650
11   1 0.018410  4.2510
12   1 0.018990  3.8730
13   3 0.019660  3.5290
14   3 0.022990  3.2160
15   4 0.025980  2.9300
16   5 0.029650  2.6700
17   5 0.032800  2.4330
18   5 0.035420  2.2160
19   5 0.037600  2.0200
20   5 0.039410  1.8400
21   5 0.040920  1.6770
22   5 0.042170  1.5280
23   5 0.043210  1.3920
24   5 0.044080  1.2680
25   6 0.045020  1.1560
26   7 0.046020  1.0530
27   8 0.047180  0.9595
28   8 0.048330  0.8742
29   8 0.049280  0.7966
30   9 0.050170  0.7258
31   9 0.051050  0.6613
32   9 0.051760  0.6026
33  10 0.052410  0.5490
34  10 0.052990  0.5003
35  10 0.053450  0.4558
36  11 0.053990  0.4153
37  10 0.054560  0.3784
38  10 0.054850  0.3448
39  11 0.055240  0.3142
40  14 0.056330  0.2863
41  15 0.062650  0.2608
42  16 0.071010  0.2377
43  17 0.079060  0.2166
44  18 0.087350  0.1973
45  19 0.097650  0.1798
46  19 0.106800  0.1638
47  19 0.114700  0.1493
48  20 0.122800  0.1360
49  20 0.130500  0.1239
50  22 0.137400  0.1129
51  22 0.144400  0.1029
52  24 0.151500  0.0937
53  26 0.159100  0.0854
54  28 0.166500  0.0778
55  27 0.173300  0.0709
56  28 0.179000  0.0646
57  29 0.184600  0.0589
58  33 0.190100  0.0536
59  34 0.196200  0.0489
60  36 0.203000  0.0445
61  37 0.209000  0.0406
62  41 0.215300  0.0370
63  44 0.221400  0.0337
64  45 0.228500  0.0307
65  45 0.234800  0.0280
66  47 0.240900  0.0255
67  48 0.246600  0.0232
68  48 0.251800  0.0212
69  47 0.256200  0.0193
70  49 0.260400  0.0176
71  50 0.264300  0.0160
72  50 0.267700  0.0146
73  51 0.270600  0.0133
74  51 0.273100  0.0121
75  52 0.275300  0.0110
76  53 0.277300  0.0100
77  54 0.279000  0.0092
78  54 0.280500  0.0083
79  54 0.281900  0.0076
80  55 0.283100  0.0069
81  56 0.284100  0.0063
82  56 0.284900  0.0058
83  55 0.285700  0.0052
84  57 0.286300  0.0048
85  57 0.286800  0.0044
86  58 0.287300  0.0040
87  58 0.287600  0.0036
88  58 0.288000  0.0033
89  58 0.288200  0.0030
90  58 0.288500  0.0027
91  58 0.288600  0.0025
92  59 0.288800  0.0023
93  58 0.288900  0.0021
94  58 0.289100  0.0019
95  58 0.289100  0.0017
96  58 0.289200  0.0016
97  58 0.289300  0.0014
98  58 0.289300  0.0013
99  57 0.289400  0.0012
100 59 0.289400  0.0011
