IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,MOT_2D_beta2strand,REC_R_HSA_5672972,REC_R_HSA_5672972_EXP,PWY_R_HSA_416482,PWY_R_HSA_416482_EXP,GO_0006357,GO_0006979,GO_0018105_CSV,GO_0035556_CSV,GO_0048010,GO_0051973_EXP,GO_2000145_EXP,EXP_BRDT,PKA_270_CSV_X_Fingerprint_776,PKA_54_HYD_X_Fingerprint_685,PKA_54_HYD_X_Fingerprint_776,PKA_54_POL_X_Fingerprint_776,EXP_CDK13_X_EXP_UBXN7,EXP_CDK15_X_EXP_CCNA1,EXP_NTRK3_X_EXP_SHC3,EXP_PLK2_X_EXP_CCNF,EXP_PRKACA_X_EXP_HAUS2,EXP_PRKACG_X_EXP_CACNA2D4,EXP_PRKG1_X_EXP_LIPE,EXP_PRKG1_X_EXP_PRKAR1B,EXP_RIOK1_X_EXP_UTP15,EXP_RIOK1_X_EXP_UTP3,EXP_RIOK1_X_EXP_WDR36,PWY_R_HSA_1430728_X_PWY_R_HSA_168898,PWY_R_HSA_168138_EXP_X_PWY_R_HSA_9006934_EXP,PWY_R_HSA_2672351_X_PWY_R_HSA_74751,GO_0035556_EXP_X_GO_0043507_EXP,Predicted IC50,Validation
3.445537,949164,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1941634071,0,0,0,0,33.33989106,12.032301858,8.3086968497,20.793253443,20.62812756,9.6354531193,10.372834112,12.098228524,40.197034732,66.442457496,61.087107443,0,0,0,0,2.1863729812,4
1.489525,949165,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,4.6977843984,0,0,0,1.373047,0,0,0,2.7228380038,0,0,0,0,28.39740213,11.313559294,9.1206759932,20.997731019,19.889241117,9.8348683936,10.327204653,10.532556832,34.945078756,61.213092099,56.058785613,0,0,0,24.685635707,1.5704498857,7
3.667798,949166,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.662468,0,0,0,3.0941834172,0,0,0,0,27.798543169,25.743298542,10.635525405,19.350757965,21.771014815,9.5817967987,12.820972861,13.250195583,30.963682448,59.685857295,51.721987271,0,0,0,0,2.7792464634,9
-0.809599,949168,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2428884457,0,0,0,0,26.878998992,17.324493575,13.937776899,19.281919244,21.510423207,10.198319322,11.996572041,15.133509489,34.776034645,56.288668737,55.278663599,0,0,0,107.39675299,2.0749501064,4
2.704578,1240221,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5293102072,2.9104851548,0,0,0,0,27.508434475,29.335741825,9.2688434107,17.253949081,23.1855917,11.069400868,9.4728606273,10.442583758,42.005927286,73.374862967,63.95234828,0,0,0,0,2.0871240866,7
3.248511,684057,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3.6524762055,0,0,0,0,0,7.0634850795,0,2.9417306795,0,0,0,0,37.7518021,15.255574203,8.5429282835,18.311755346,23.421523515,9.1117252354,9.9325293684,10.613455181,40.542570543,73.067310145,62.936821248,0,0,0,0,3.4654704901,4
2.976401,684059,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,7.7419780697,0,0,0.792229,0.792229,0,0,0,3.0196608111,0,0,0,0,39.589256879,12.392245848,8.2306219347,15.089954865,21.274815729,9.6144764242,10.847635479,12.229593065,44.628075318,71.633589187,64.736529026,0,0,0,0,3.3388593378,2
0.82703,684072,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.719164,0.719164,0,0,0,2.8120230414,0,0,0,0,34.349183998,14.847303626,9.0052370897,18.209939189,20.110892585,9.9214544172,10.188591636,12.294260547,37.502075792,65.874090874,58.81610126,0,0,0,0,1.9482033713,1
1.362865,907290,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.808822,0.808822,0,0,0,3.0519680987,0,0,0,0,26.540855409,11.097131508,10.184566407,36.629645354,21.789258991,10.804519206,9.3369333412,11.522895365,34.934751965,59.401788109,56.821495714,0,0,0,15.861240325,2.6454752849,5
2.240674,909717,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.676585,0.676585,0,0,2.8216909392,2.8853078362,0,0,0,0,26.394592694,11.651586588,11.401136223,28.150214215,23.366112791,10.400456682,9.951128449,10.77562335,30.600268578,53.406060786,53.270873983,0,0,0,0,1.8563962325,1
