IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_830,Fingerprint_826,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_797,Fingerprint_791,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_698,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,Fingerprint_363,GO_0000278,GO_0016477,SFAM_RIPK,FAM_TKL_CSV,PKA_172_ASA_X_Fingerprint_644,PKA_280_CSV_X_Fingerprint_644,EXP_COQ8A_X_EXP_PDSS1,EXP_PRKAA2_X_EXP_TP53,EXP_SRC_X_EXP_ARRB2,EXP_SRC_X_EXP_CASP8,EXP_SRC_X_EXP_FN1,EXP_STK11_X_EXP_ATIC,GO_0032212_X_GO_0043066,Predicted IC50,Validation
4.041297,907057,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.774233,0,0.657761,26.467730223,14.239302059,20.159938621,19.596252605,20.258527143,43.203902665,0,3.7532683673,2
3.18768,907071,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,-0.9,0,37.041244236,17.060561481,25.724939949,19.803250978,55.128921423,46.635788079,0,3.0076334358,10
2.572306,909719,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.751916,0,0.812509,29.836462018,14.588292222,17.13390608,21.87263279,39.709051639,42.97009888,0,3.7599288457,6
0.667026,909736,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,48.426000129,34.842582549,0,1.2721406937,3
1.289884,909737,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,44.743552962,44.092020957,0,1.5621342488,1
2.049962,909738,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,39.590958794,43.327022001,0,2.1409269253,5
2.575443,909739,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,52.941626042,40.241192902,0,3.1359244916,9
5.550508,910850,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1.542071,0,0,48.41287936,19.382278659,37.993831391,31.328445838,75.637160421,50.301901257,1,4.9733799707,7
4.02739,1240159,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0.545751,0,0,38.983090682,15.327107304,32.033418446,33.434750632,41.551917754,49.802783963,0,4.4584417571,9
2.760966,1240160,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,32.839071169,17.598660957,26.639947184,21.195096258,53.002906618,40.544845663,0,2.489505539,9
1.227423,1240216,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0.824209,0,0,24.595890283,14.349956727,17.323213801,16.791871412,44.065694115,39.34022505,0,0.3245320551,7
1.758518,1240217,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,22.2,0,25.878621649,13.612986655,16.062063195,11.559611023,14.401147454,44.420501462,0,2.0427671255,10
6.114122,1298146,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1.351098,0,0,51.964453804,21.931007996,34.888751606,29.775278758,68.934333258,52.923173282,2,5.797842605,9
2.934731,1298151,152,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,35.654114125,11.077290122,21.523076267,22.133894318,17.038066282,38.593229433,0,3.2652033695,7
-1.221342,907057,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0.774233,0,0,26.467730223,14.239302059,20.159938621,19.596252605,20.258527143,43.203902665,0,-1.128275164,7
0.391291,907071,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,37.041244236,17.060561481,25.724939949,19.803250978,55.128921423,46.635788079,0,-0.300896549,7
-0.731322,909719,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0.751916,0,0,29.836462018,14.588292222,17.13390608,21.87263279,39.709051639,42.97009888,0,-1.133576646,8
-2.063511,909736,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,24.37841374,13.199343784,16.106706893,20.436149802,48.426000129,34.842582549,0,-1.238309413,5
-1.495836,909737,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,24.800556685,15.118687946,17.943254587,21.035808844,44.743552962,44.092020957,0,-1.259428169,7
-2.004559,909738,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,27.977022855,13.381234536,24.885413353,24.704479382,39.590958794,43.327022001,0,-1.250867758,9
1.002013,909739,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30.935673215,19.16600935,20.643411577,23.832930548,52.941626042,40.241192902,0,0.6424518195,4
-0.230984,910850,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1.542071,0,0,48.41287936,19.382278659,37.993831391,31.328445838,75.637160421,50.301901257,1,1.1007925479,5
0.185988,1240159,153,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0.545751,0,0,38.983090682,15.327107304,32.033418446,33.434750632,41.551917754,49.802783963,0,0.6992834978,7
