IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_819,Fingerprint_818,Fingerprint_812,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_710,Fingerprint_709,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_363,PKA_172_POL,GO_0000278,GO_0002092_EXP,GO_0030216_EXP,SFAM_RIPK,FAM_TKL_CSV,EXP_STK11,EXP_MINK1,EXP_PRKAA2,EXP_COQ8A,Predicted IC50,Validation
-0.230984,910850,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1.542071,4.9165007295,4.5968517913,5.6696333176,6.0148787457,0.1558560357,5
0.185988,1240159,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,5.515984999,1,0.545751,5.0743099292,4.499931728,4.7197931064,4.7750008063,-0.565206725,7
-1.037204,1240160,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4.1458535006,4.2661795988,5.6212954534,4.8106072183,-0.864748917,6
-0.486356,1240216,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.824209,4.2966753417,4.0292462286,4.6347398091,3.5469761573,-0.910558067,9
-2.217538,1240217,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,3.4,1,0,0,0,0,4.3404963863,4.0057155155,4.5103533148,3.6861513287,-1.093924313,10
2.659946,1298146,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,6.2455097843,5.7848448009,1,1.351098,5.1618382712,4.9808139029,5.9430674931,5.7880929929,1.7197394382,3
-0.589828,1298151,153,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4.3799625385,4.5614981665,3.2181308247,5.4396592085,-0.262916929,9
-0.927075,907057,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0.774233,4.5916888441,4.2665401327,4.5516709671,3.8563793125,-0.022228549,3
-1.23139,907071,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,-0.7,0,3.0077900337,0,0,0,5.1328455593,4.3345117821,5.2770439499,5.5957524556,-0.164345349,5
-0.850851,909719,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,3.1913423018,0,0.751916,4.20550008,4.5165206597,4.274811652,4.7180704388,-0.028213985,6
0.189601,909736,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3.9973462327,4.4083220489,4.3883275971,3.9345420585,0.9162309771,5
1.511673,909737,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,4.6719036156,4.2225308745,4.4932321023,4.1900492418,1.1559974782,10
-0.829143,909738,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4.372803455,4.7684705454,3.9772374709,4.6046310923,0.740391302,2
0.921073,909739,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4.4982782715,4.3499802798,5.8052630655,4.0897420848,0.5221432973,3
0.05142,910850,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1.542071,4.9165007295,4.5968517913,5.6696333176,6.0148787457,0.6191092074,9
1.892969,1240159,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,5.515984999,1,0.545751,5.0743099292,4.499931728,4.7197931064,4.7750008063,0.4770027053,7
-1.417734,1240160,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,4.1458535006,4.2661795988,5.6212954534,4.8106072183,0.4357851992,10
1.456102,1240216,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0.824209,4.2966753417,4.0292462286,4.6347398091,3.5469761573,0.6494045396,2
-1.35291,1240217,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,3.4,1,0,0,0,0,4.3404963863,4.0057155155,4.5103533148,3.6861513287,-0.613864894,2
0.73324,1298146,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,6.2455097843,5.7848448009,1,1.351098,5.1618382712,4.9808139029,5.9430674931,5.7880929929,-0.15395511,10
1.408391,1298151,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,4.3799625385,4.5614981665,3.2181308247,5.4396592085,0.5318880507,8
-0.949347,907057,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774233,4.5916888441,4.2665401327,4.5516709671,3.8563793125,-0.930299592,10
-0.734693,907071,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.7,0,3.0077900337,0,0,0,5.1328455593,4.3345117821,5.2770439499,5.5957524556,-0.099951556,10
