
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 104.300
2    2 0.004888  95.000
3    2 0.009191  86.560
4    2 0.012810  78.870
5    2 0.015840  71.860
6    2 0.018390  65.480
7    2 0.020520  59.660
8    2 0.022300  54.360
9    2 0.023800  49.530
10   2 0.025050  45.130
11   3 0.026090  41.120
12   3 0.027050  37.470
13   5 0.029380  34.140
14   4 0.033760  31.110
15   4 0.037380  28.340
16   4 0.040480  25.830
17   3 0.043110  23.530
18   4 0.045370  21.440
19   5 0.047660  19.540
20   5 0.049830  17.800
21   6 0.052400  16.220
22   6 0.054720  14.780
23   7 0.056720  13.470
24   7 0.058410  12.270
25   8 0.060040  11.180
26  10 0.062030  10.190
27  11 0.063890   9.281
28  12 0.065630   8.457
29  12 0.067390   7.706
30  12 0.068850   7.021
31  13 0.070170   6.397
32  13 0.071550   5.829
33  16 0.073030   5.311
34  16 0.074460   4.839
35  16 0.075660   4.409
36  16 0.077010   4.018
37  18 0.078590   3.661
38  19 0.080540   3.336
39  21 0.082760   3.039
40  21 0.084790   2.769
41  21 0.086440   2.523
42  21 0.087860   2.299
43  22 0.089050   2.095
44  22 0.090070   1.909
45  22 0.090920   1.739
46  25 0.091790   1.585
47  25 0.092620   1.444
48  26 0.093320   1.316
49  27 0.093890   1.199
50  27 0.094370   1.092
51  29 0.094820   0.995
52  31 0.095440   0.907
53  33 0.096250   0.826
54  36 0.097100   0.753
55  36 0.097900   0.686
56  37 0.098500   0.625
57  40 0.099020   0.570
58  40 0.099620   0.519
59  42 0.100100   0.473
60  44 0.100700   0.431
61  44 0.101100   0.392
62  45 0.101300   0.358
63  44 0.101700   0.326
64  47 0.102000   0.297
65  48 0.102200   0.271
66  46 0.102500   0.246
67  47 0.102600   0.225
68  47 0.102800   0.205
69  48 0.102900   0.186
70  48 0.103000   0.170
71  51 0.103100   0.155
72  52 0.103200   0.141
73  52 0.103300   0.128
74  56 0.103400   0.117
75  53 0.103500   0.107
76  54 0.103600   0.097
77  57 0.103600   0.089
78  58 0.103700   0.081
79  59 0.103700   0.074
80  61 0.103700   0.067
81  68 0.103700   0.061
82  67 0.103800   0.056
83  68 0.103800   0.051
84  69 0.103900   0.046
85  69 0.103900   0.042
86  69 0.103900   0.038
87  69 0.103900   0.035
88  72 0.103900   0.032
89  75 0.103900   0.029
90  75 0.103900   0.026
91  76 0.104000   0.024
92  80 0.104000   0.022
93  82 0.104000   0.020
94  85 0.104000   0.018
95  86 0.104000   0.017
96  90 0.104000   0.015
97  90 0.104000   0.014
98  91 0.104000   0.013
99  95 0.104000   0.011
100 99 0.104000   0.010
