
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.4300
2    2 0.005124  9.5000
3    2 0.009571  8.6560
4    2 0.013260  7.8870
5    2 0.016330  7.1860
6    2 0.018870  6.5480
7    2 0.020990  5.9660
8    2 0.022740  5.4360
9    2 0.024200  4.9530
10   2 0.025410  4.5130
11   2 0.026410  4.1120
12   3 0.027310  3.7470
13   5 0.029770  3.4140
14   4 0.034580  3.1110
15   3 0.038400  2.8340
16   3 0.041550  2.5830
17   3 0.044160  2.3530
18   3 0.046330  2.1440
19   4 0.048480  1.9540
20   4 0.050330  1.7800
21   6 0.052610  1.6220
22   6 0.055130  1.4780
23   6 0.057240  1.3470
24   6 0.058990  1.2270
25   6 0.060450  1.1180
26   9 0.062440  1.0190
27  10 0.064310  0.9281
28  11 0.066060  0.8457
29  12 0.067720  0.7706
30  12 0.069200  0.7021
31  13 0.070790  0.6397
32  14 0.072210  0.5829
33  15 0.073700  0.5311
34  14 0.075010  0.4839
35  15 0.076190  0.4409
36  16 0.077540  0.4018
37  18 0.079210  0.3661
38  19 0.081280  0.3336
39  21 0.083580  0.3039
40  21 0.085550  0.2769
41  21 0.087180  0.2523
42  21 0.088540  0.2299
43  21 0.089660  0.2095
44  21 0.090590  0.1909
45  22 0.091380  0.1739
46  25 0.092180  0.1585
47  25 0.092980  0.1444
48  24 0.093640  0.1316
49  27 0.094150  0.1199
50  27 0.094630  0.1092
51  28 0.095040  0.0995
52  32 0.095670  0.0907
53  34 0.096490  0.0826
54  34 0.097480  0.0753
55  34 0.098170  0.0686
56  36 0.098800  0.0625
57  37 0.099430  0.0570
58  38 0.100000  0.0519
59  39 0.100500  0.0473
60  38 0.100900  0.0431
61  40 0.101200  0.0392
62  41 0.101600  0.0358
63  45 0.101800  0.0326
64  45 0.102100  0.0297
65  46 0.102300  0.0271
66  47 0.102500  0.0246
67  46 0.102800  0.0225
68  47 0.102800  0.0205
69  47 0.103000  0.0186
70  49 0.103100  0.0170
71  50 0.103200  0.0155
72  52 0.103300  0.0141
73  51 0.103400  0.0128
74  52 0.103500  0.0117
75  55 0.103500  0.0107
76  56 0.103600  0.0097
77  58 0.103600  0.0089
78  59 0.103700  0.0081
79  61 0.103700  0.0074
80  61 0.103800  0.0067
81  63 0.103800  0.0061
82  64 0.103800  0.0056
83  64 0.103900  0.0051
84  65 0.103900  0.0046
85  67 0.103900  0.0042
86  71 0.103900  0.0038
87  71 0.103900  0.0035
88  74 0.103900  0.0032
89  76 0.103900  0.0029
90  77 0.104000  0.0026
91  79 0.104000  0.0024
92  81 0.104000  0.0022
93  82 0.104000  0.0020
94  84 0.104000  0.0018
95  87 0.104000  0.0017
96  92 0.104000  0.0015
97  93 0.104000  0.0014
98  95 0.104000  0.0013
99  97 0.104000  0.0011
100 97 0.104000  0.0010
