
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

    Df     %Dev Lambda
1    0 0.000000 8.3940
2    2 0.002260 7.6490
3   10 0.006565 6.9690
4   15 0.012580 6.3500
5   20 0.018540 5.7860
6   23 0.024840 5.2720
7   27 0.031180 4.8030
8   31 0.037040 4.3770
9   35 0.042370 3.9880
10  37 0.047290 3.6340
11  40 0.051760 3.3110
12  42 0.055840 3.0170
13  44 0.059470 2.7490
14  45 0.062720 2.5050
15  45 0.065640 2.2820
16  45 0.068220 2.0790
17  45 0.070500 1.8950
18  45 0.072510 1.7260
19  47 0.074330 1.5730
20  47 0.075960 1.4330
21  45 0.077380 1.3060
22  44 0.078650 1.1900
23  45 0.079810 1.0840
24  45 0.080880 0.9878
25  44 0.081860 0.9001
26  42 0.082770 0.8201
27  41 0.083630 0.7473
28  42 0.084540 0.6809
29  39 0.085520 0.6204
30  40 0.086580 0.5653
31  43 0.087760 0.5151
32  43 0.088930 0.4693
33  45 0.089990 0.4276
34  45 0.090970 0.3896
35  51 0.091960 0.3550
36  53 0.092940 0.3235
37  54 0.093910 0.2947
38  57 0.094790 0.2686
39  57 0.095700 0.2447
40  59 0.096510 0.2230
41  61 0.097320 0.2032
42  61 0.098030 0.1851
43  61 0.098730 0.1687
44  62 0.099320 0.1537
45  65 0.099870 0.1400
46  67 0.100300 0.1276
47  68 0.100800 0.1163
48  68 0.101200 0.1059
49  68 0.101600 0.0965
50  69 0.101900 0.0879
51  70 0.102200 0.0801
52  70 0.102400 0.0730
53  71 0.102600 0.0665
54  73 0.102800 0.0606
55  73 0.103000 0.0552
56  73 0.103100 0.0503
57  73 0.103300 0.0458
58  73 0.103400 0.0418
59  75 0.103500 0.0381
60  75 0.103500 0.0347
61  76 0.103600 0.0316
62  78 0.103700 0.0288
63  80 0.103700 0.0262
64  80 0.103800 0.0239
65  81 0.103800 0.0218
66  81 0.103800 0.0198
67  84 0.103900 0.0181
68  85 0.103900 0.0165
69  85 0.103900 0.0150
70  86 0.103900 0.0137
71  89 0.103900 0.0125
72  89 0.104000 0.0114
73  92 0.104000 0.0104
74  92 0.104000 0.0094
75  92 0.104000 0.0086
76  93 0.104000 0.0078
77  95 0.104000 0.0071
78  97 0.104000 0.0065
79  97 0.104000 0.0059
80  97 0.104000 0.0054
81  97 0.104000 0.0049
82  97 0.104000 0.0045
83  98 0.104000 0.0041
84  98 0.104000 0.0037
85  98 0.104000 0.0034
86  98 0.104000 0.0031
87  99 0.104000 0.0028
88  99 0.104000 0.0026
89 100 0.104000 0.0023
