
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 1043.00
2     2 0.003344  950.00
3     2 0.006580  865.60
4     2 0.009524  788.70
5     3 0.012260  718.60
6     3 0.014900  654.80
7     3 0.017190  596.60
8     5 0.019240  543.60
9     5 0.021120  495.30
10    6 0.022730  451.30
11    6 0.024150  411.20
12    6 0.025420  374.70
13    8 0.027480  341.40
14    7 0.030630  311.10
15    7 0.033410  283.40
16    7 0.035930  258.30
17    7 0.038210  235.30
18    9 0.040530  214.40
19    9 0.042750  195.40
20   11 0.044990  178.00
21   11 0.047450  162.20
22   11 0.049780  147.80
23   12 0.052050  134.70
24   12 0.054320  122.70
25   13 0.056510  111.80
26   15 0.058600  101.90
27   15 0.060740   92.81
28   15 0.062540   84.57
29   17 0.064380   77.06
30   17 0.065930   70.21
31   17 0.067290   63.97
32   18 0.068490   58.29
33   18 0.069560   53.11
34   20 0.070660   48.39
35   21 0.071940   44.09
36   22 0.073340   40.18
37   22 0.074660   36.61
38   24 0.076120   33.36
39   25 0.077780   30.39
40   28 0.079330   27.69
41   30 0.081150   25.23
42   30 0.082850   22.99
43   30 0.084330   20.95
44   31 0.085720   19.09
45   32 0.086970   17.39
46   32 0.088100   15.85
47   35 0.089190   14.44
48   35 0.090240   13.16
49   36 0.091120   11.99
50   36 0.091990   10.92
51   35 0.092710    9.95
52   38 0.093410    9.07
53   40 0.094170    8.26
54   42 0.094880    7.53
55   44 0.095640    6.86
56   46 0.096320    6.25
57   46 0.096970    5.70
58   47 0.097570    5.19
59   49 0.098120    4.73
60   52 0.098700    4.31
61   52 0.099260    3.92
62   54 0.099740    3.58
63   54 0.100200    3.26
64   54 0.100600    2.97
65   55 0.100900    2.71
66   56 0.101200    2.46
67   55 0.101500    2.25
68   56 0.101800    2.05
69   56 0.102100    1.86
70   58 0.102300    1.70
71   59 0.102500    1.55
72   61 0.102700    1.41
73   61 0.102800    1.28
74   62 0.103000    1.17
75   64 0.103100    1.07
76   68 0.103200    0.97
77   71 0.103300    0.89
78   72 0.103400    0.81
79   74 0.103400    0.74
80   77 0.103500    0.67
81   79 0.103600    0.61
82   81 0.103600    0.56
83   81 0.103700    0.51
84   81 0.103700    0.46
85   82 0.103700    0.42
86   86 0.103800    0.38
87   83 0.103800    0.35
88   85 0.103800    0.32
89   86 0.103900    0.29
90   86 0.103900    0.26
91   88 0.103900    0.24
92   89 0.103900    0.22
93   90 0.103900    0.20
94   91 0.103900    0.18
95   91 0.103900    0.17
96   92 0.104000    0.15
97   97 0.104000    0.14
98  100 0.104000    0.13
99  101 0.104000    0.11
100 103 0.104000    0.10
