
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1   141 0.00000 10430.0
2   141 0.03686  9500.0
3   141 0.03797  8656.0
4   141 0.03908  7887.0
5   141 0.04018  7186.0
6   141 0.04127  6548.0
7   141 0.04236  5966.0
8   141 0.04343  5436.0
9   141 0.04449  4953.0
10  141 0.04554  4513.0
11  141 0.04659  4112.0
12  141 0.04762  3747.0
13  141 0.04865  3414.0
14  141 0.04967  3111.0
15  141 0.05068  2834.0
16  141 0.05169  2583.0
17  141 0.05269  2353.0
18  141 0.05369  2144.0
19  141 0.05468  1954.0
20  141 0.05566  1780.0
21  141 0.05664  1622.0
22  141 0.05762  1478.0
23  141 0.05860  1347.0
24  141 0.05957  1227.0
25  141 0.06053  1118.0
26  141 0.06150  1019.0
27  141 0.06246   928.1
28  141 0.06342   845.7
29  141 0.06438   770.6
30  141 0.06534   702.1
31  141 0.06630   639.7
32  141 0.06726   582.9
33  141 0.06822   531.1
34  141 0.06918   483.9
35  141 0.07014   440.9
36  141 0.07110   401.8
37  141 0.07207   366.1
38  141 0.07304   333.6
39  141 0.07401   303.9
40  141 0.07498   276.9
41  141 0.07595   252.3
42  141 0.07692   229.9
43  141 0.07789   209.5
44  141 0.07887   190.9
45  141 0.07984   173.9
46  141 0.08080   158.5
47  141 0.08176   144.4
48  141 0.08271   131.6
49  141 0.08365   119.9
50  141 0.08457   109.2
51  141 0.08549    99.5
52  141 0.08638    90.7
53  141 0.08726    82.6
54  141 0.08812    75.3
55  141 0.08895    68.6
56  141 0.08977    62.5
57  141 0.09055    57.0
58  141 0.09132    51.9
59  141 0.09206    47.3
60  141 0.09277    43.1
61  141 0.09345    39.2
62  141 0.09411    35.8
63  141 0.09474    32.6
64  141 0.09534    29.7
65  141 0.09591    27.1
66  141 0.09646    24.6
67  141 0.09699    22.5
68  141 0.09749    20.5
69  141 0.09796    18.6
70  141 0.09841    17.0
71  141 0.09884    15.5
72  141 0.09924    14.1
73  141 0.09962    12.8
74  141 0.09998    11.7
75  141 0.10030    10.7
76  141 0.10060     9.7
77  141 0.10090     8.9
78  141 0.10120     8.1
79  141 0.10150     7.4
80  141 0.10170     6.7
81  141 0.10190     6.1
82  141 0.10210     5.6
83  141 0.10230     5.1
84  141 0.10250     4.6
85  141 0.10260     4.2
86  141 0.10280     3.8
87  141 0.10290     3.5
88  141 0.10300     3.2
89  141 0.10310     2.9
90  141 0.10320     2.6
91  141 0.10330     2.4
92  141 0.10340     2.2
93  141 0.10340     2.0
94  141 0.10350     1.8
95  141 0.10350     1.7
96  141 0.10360     1.5
97  141 0.10360     1.4
98  141 0.10370     1.3
99  141 0.10370     1.1
100 141 0.10370     1.0
