
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 109.200
2     2 0.00054  99.470
3     2 0.00119  90.640
4     2 0.00180  82.580
5     2 0.00237  75.250
6     2 0.00290  68.560
7     2 0.00340  62.470
8     2 0.00386  56.920
9     4 0.00436  51.870
10    4 0.00504  47.260
11    4 0.00566  43.060
12    4 0.00624  39.230
13    4 0.00678  35.750
14    4 0.00728  32.570
15    5 0.00784  29.680
16    5 0.00838  27.040
17    5 0.00888  24.640
18    5 0.00934  22.450
19    5 0.00980  20.460
20    7 0.01029  18.640
21    9 0.01087  16.980
22   10 0.01155  15.470
23   11 0.01221  14.100
24   12 0.01297  12.850
25   13 0.01379  11.710
26   14 0.01468  10.670
27   16 0.01563   9.719
28   18 0.01677   8.855
29   21 0.01804   8.069
30   22 0.01954   7.352
31   24 0.02115   6.699
32   27 0.02286   6.104
33   31 0.02480   5.561
34   32 0.02695   5.067
35   34 0.02924   4.617
36   38 0.03172   4.207
37   41 0.03440   3.833
38   42 0.03730   3.493
39   46 0.04038   3.182
40   47 0.04369   2.900
41   51 0.04720   2.642
42   52 0.05093   2.407
43   55 0.05485   2.194
44   62 0.05902   1.999
45   65 0.06344   1.821
46   72 0.06810   1.659
47   78 0.07299   1.512
48   82 0.07810   1.378
49   86 0.08340   1.255
50   87 0.08888   1.144
51   88 0.09453   1.042
52   91 0.10030   0.950
53   94 0.10620   0.865
54   97 0.11230   0.788
55   98 0.11850   0.718
56   99 0.12480   0.654
57   99 0.13120   0.596
58   99 0.13770   0.543
59  102 0.14410   0.495
60  103 0.15060   0.451
61  107 0.15710   0.411
62  111 0.16370   0.374
63  115 0.17020   0.341
64  117 0.17670   0.311
65  118 0.18320   0.283
66  121 0.18970   0.258
67  125 0.19620   0.235
68  129 0.20270   0.214
69  130 0.20910   0.195
70  131 0.21550   0.178
71  133 0.22190   0.162
72  136 0.22820   0.148
73  140 0.23450   0.135
74  140 0.24080   0.123
75  145 0.24700   0.112
76  144 0.25300   0.102
77  147 0.25910   0.093
78  147 0.26510   0.085
79  149 0.27110   0.077
80  150 0.27710   0.070
81  150 0.28300   0.064
82  155 0.28880   0.058
83  159 0.29460   0.053
84  159 0.30030   0.048
85  160 0.30600   0.044
86  161 0.31150   0.040
87  165 0.31710   0.037
88  166 0.32250   0.033
89  168 0.32780   0.030
90  167 0.33310   0.028
91  169 0.33820   0.025
92  169 0.34330   0.023
93  173 0.34820   0.021
94  175 0.35300   0.019
95  174 0.35770   0.017
96  176 0.36230   0.016
97  180 0.36670   0.014
98  183 0.37110   0.013
99  184 0.37530   0.012
100 183 0.37930   0.011
