
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 10.7700
2     1 0.00134  9.8160
3     1 0.00274  8.9440
4     1 0.00420  8.1490
5     1 0.00570  7.4250
6     2 0.00766  6.7660
7     3 0.01017  6.1650
8     3 0.01318  5.6170
9     7 0.01806  5.1180
10   14 0.02477  4.6630
11   20 0.03439  4.2490
12   25 0.04536  3.8720
13   29 0.05748  3.5280
14   33 0.07001  3.2140
15   36 0.08332  2.9290
16   39 0.09725  2.6690
17   47 0.11150  2.4320
18   56 0.12610  2.2160
19   60 0.14050  2.0190
20   67 0.15460  1.8390
21   70 0.16880  1.6760
22   76 0.18260  1.5270
23   79 0.19590  1.3910
24   86 0.20870  1.2680
25   90 0.22120  1.1550
26   93 0.23360  1.0530
27   96 0.24540  0.9590
28  100 0.25660  0.8738
29  100 0.26740  0.7962
30  102 0.27770  0.7255
31  106 0.28730  0.6610
32  113 0.29650  0.6023
33  116 0.30580  0.5488
34  118 0.31470  0.5000
35  120 0.32320  0.4556
36  122 0.33120  0.4151
37  124 0.33870  0.3783
38  127 0.34580  0.3447
39  130 0.35260  0.3140
40  131 0.35900  0.2861
41  136 0.36500  0.2607
42  138 0.37080  0.2376
43  139 0.37620  0.2165
44  138 0.38120  0.1972
45  140 0.38600  0.1797
46  139 0.39030  0.1637
47  141 0.39440  0.1492
48  144 0.39820  0.1359
49  145 0.40190  0.1239
50  147 0.40540  0.1129
51  148 0.40860  0.1028
52  151 0.41170  0.0937
53  154 0.41470  0.0854
54  156 0.41710  0.0778
55  158 0.41970  0.0709
56  161 0.42190  0.0646
57  162 0.42380  0.0588
58  164 0.42570  0.0536
59  168 0.42750  0.0488
60  170 0.42930  0.0445
61  172 0.43090  0.0406
62  172 0.43240  0.0370
63  174 0.43380  0.0337
64  173 0.43490  0.0307
65  173 0.43590  0.0280
66  177 0.43690  0.0255
67  179 0.43790  0.0232
68  178 0.43870  0.0212
69  178 0.43950  0.0193
70  177 0.44020  0.0176
71  179 0.44080  0.0160
72  181 0.44140  0.0146
73  182 0.44190  0.0133
74  182 0.44240  0.0121
75  183 0.44280  0.0110
76  184 0.44320  0.0100
77  185 0.44350  0.0092
78  185 0.44380  0.0083
79  187 0.44400  0.0076
80  187 0.44430  0.0069
81  187 0.44450  0.0063
82  187 0.44470  0.0057
83  192 0.44480  0.0052
84  190 0.44500  0.0048
85  190 0.44510  0.0043
86  192 0.44520  0.0040
87  192 0.44530  0.0036
88  192 0.44540  0.0033
89  192 0.44550  0.0030
90  192 0.44550  0.0027
91  193 0.44560  0.0025
92  193 0.44560  0.0023
93  194 0.44570  0.0021
94  195 0.44570  0.0019
95  196 0.44580  0.0017
96  196 0.44580  0.0016
97  197 0.44580  0.0014
98  197 0.44590  0.0013
99  197 0.44590  0.0012
100 197 0.44590  0.0011
