
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1   207 0.000000 1092.00
2   207 0.003048  994.70
3   207 0.003274  906.40
4   207 0.003511  825.80
5   207 0.003761  752.50
6   207 0.004022  685.60
7   207 0.004294  624.70
8   207 0.004578  569.20
9   207 0.004873  518.70
10  207 0.005178  472.60
11  207 0.005494  430.60
12  207 0.005820  392.30
13  207 0.006156  357.50
14  207 0.006502  325.70
15  207 0.006856  296.80
16  207 0.007220  270.40
17  207 0.007593  246.40
18  207 0.007974  224.50
19  207 0.008364  204.60
20  207 0.008763  186.40
21  207 0.009172  169.80
22  207 0.009589  154.70
23  207 0.010020  141.00
24  207 0.010450  128.50
25  207 0.010900  117.10
26  207 0.011360  106.70
27  207 0.011840   97.19
28  207 0.012320   88.55
29  207 0.012820   80.69
30  207 0.013340   73.52
31  207 0.013870   66.99
32  207 0.014420   61.04
33  207 0.014990   55.61
34  207 0.015580   50.67
35  207 0.016190   46.17
36  207 0.016830   42.07
37  207 0.017490   38.33
38  207 0.018180   34.93
39  207 0.018910   31.82
40  207 0.019660   29.00
41  207 0.020450   26.42
42  207 0.021280   24.07
43  207 0.022160   21.94
44  207 0.023080   19.99
45  207 0.024050   18.21
46  207 0.025070   16.59
47  207 0.026150   15.12
48  207 0.027300   13.78
49  207 0.028510   12.55
50  207 0.029800   11.44
51  207 0.031170   10.42
52  207 0.032620    9.49
53  207 0.034170    8.65
54  207 0.035820    7.88
55  207 0.037580    7.18
56  207 0.039450    6.54
57  207 0.041440    5.96
58  207 0.043570    5.43
59  207 0.045830    4.95
60  207 0.048240    4.51
61  207 0.050800    4.11
62  207 0.053520    3.75
63  207 0.056410    3.41
64  207 0.059460    3.11
65  207 0.062700    2.83
66  207 0.066110    2.58
67  207 0.069710    2.35
68  207 0.073500    2.14
69  207 0.077470    1.95
70  207 0.081630    1.78
71  207 0.085980    1.62
72  207 0.090500    1.48
73  207 0.095200    1.35
74  207 0.100100    1.23
75  207 0.105100    1.12
76  207 0.110300    1.02
77  207 0.115600    0.93
78  207 0.121100    0.85
79  207 0.126700    0.77
80  207 0.132400    0.70
81  207 0.138200    0.64
82  207 0.144000    0.58
83  207 0.150000    0.53
84  207 0.156000    0.48
85  207 0.162000    0.44
86  207 0.168100    0.40
87  207 0.174200    0.37
88  207 0.180300    0.33
89  207 0.186400    0.30
90  207 0.192500    0.28
91  207 0.198700    0.25
92  207 0.204700    0.23
93  207 0.210800    0.21
94  207 0.216900    0.19
95  207 0.222900    0.17
96  207 0.228900    0.16
97  207 0.234900    0.14
98  207 0.240800    0.13
99  207 0.246800    0.12
100 207 0.252600    0.11
