
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.4000
2    1 0.002374  9.4770
3    1 0.004349  8.6350
4    1 0.005991  7.8680
5    1 0.007357  7.1690
6    1 0.008493  6.5320
7    3 0.011200  5.9520
8    3 0.014680  5.4230
9    3 0.017580  4.9420
10   4 0.020710  4.5030
11   4 0.023300  4.1030
12   5 0.026090  3.7380
13   6 0.028500  3.4060
14   6 0.030900  3.1030
15   6 0.032910  2.8280
16   6 0.034570  2.5770
17   6 0.035960  2.3480
18   7 0.037250  2.1390
19   7 0.038590  1.9490
20   9 0.039980  1.7760
21   9 0.041500  1.6180
22  10 0.042790  1.4740
23  12 0.043910  1.3430
24  12 0.045060  1.2240
25  11 0.046010  1.1150
26  11 0.046770  1.0160
27  11 0.047400  0.9260
28  10 0.047870  0.8437
29  10 0.048260  0.7687
30  11 0.048650  0.7004
31  11 0.048970  0.6382
32  11 0.049230  0.5815
33  12 0.049510  0.5299
34  12 0.049750  0.4828
35  13 0.049950  0.4399
36  14 0.052260  0.4008
37  14 0.057370  0.3652
38  15 0.064390  0.3328
39  16 0.071580  0.3032
40  17 0.078110  0.2763
41  17 0.084040  0.2517
42  17 0.089320  0.2294
43  17 0.094000  0.2090
44  18 0.098140  0.1904
45  18 0.101800  0.1735
46  19 0.105100  0.1581
47  22 0.110800  0.1440
48  22 0.116100  0.1313
49  22 0.121000  0.1196
50  22 0.125300  0.1090
51  22 0.129300  0.0993
52  22 0.132900  0.0905
53  22 0.136100  0.0824
54  22 0.139000  0.0751
55  24 0.141800  0.0684
56  28 0.145100  0.0624
57  29 0.148400  0.0568
58  29 0.151400  0.0518
59  30 0.154000  0.0472
60  31 0.156400  0.0430
61  32 0.158600  0.0392
62  32 0.160500  0.0357
63  32 0.162200  0.0325
64  32 0.163600  0.0296
65  32 0.164900  0.0270
66  32 0.166100  0.0246
67  32 0.167100  0.0224
68  34 0.168000  0.0204
69  34 0.168700  0.0186
70  34 0.169400  0.0170
71  35 0.170000  0.0154
72  36 0.170500  0.0141
73  38 0.170900  0.0128
74  39 0.171200  0.0117
75  40 0.171600  0.0106
76  43 0.171800  0.0097
77  43 0.172000  0.0088
78  42 0.172200  0.0081
79  45 0.172400  0.0073
80  47 0.172600  0.0067
81  47 0.172700  0.0061
82  49 0.172800  0.0056
83  49 0.172900  0.0051
84  50 0.172900  0.0046
85  51 0.173000  0.0042
86  51 0.173000  0.0038
87  52 0.173100  0.0035
88  53 0.173100  0.0032
89  53 0.173200  0.0029
90  53 0.173200  0.0026
91  53 0.173200  0.0024
92  53 0.173200  0.0022
93  53 0.173200  0.0020
94  53 0.173300  0.0018
95  53 0.173300  0.0017
96  53 0.173300  0.0015
97  53 0.173300  0.0014
98  53 0.173300  0.0013
99  54 0.173300  0.0011
100 54 0.173300  0.0010
