
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 103.300
2     2 0.003087  94.090
3     2 0.005889  85.730
4     3 0.008301  78.110
5     4 0.011470  71.170
6     5 0.014280  64.850
7     6 0.017330  59.090
8     7 0.020370  53.840
9     7 0.022950  49.060
10    7 0.025130  44.700
11    8 0.027040  40.730
12    9 0.029010  37.110
13   10 0.031140  33.810
14   13 0.033680  30.810
15   13 0.035950  28.070
16   15 0.038330  25.580
17   15 0.040690  23.310
18   15 0.042700  21.240
19   18 0.044550  19.350
20   21 0.046670  17.630
21   23 0.049300  16.060
22   22 0.051630  14.640
23   23 0.053690  13.340
24   23 0.055530  12.150
25   27 0.057400  11.070
26   29 0.059550  10.090
27   31 0.061780   9.193
28   33 0.063840   8.376
29   34 0.065820   7.632
30   36 0.067580   6.954
31   38 0.069230   6.336
32   39 0.070730   5.773
33   44 0.072490   5.260
34   49 0.074430   4.793
35   51 0.076960   4.367
36   48 0.079870   3.979
37   50 0.082910   3.626
38   53 0.086160   3.304
39   56 0.089800   3.010
40   59 0.094030   2.743
41   62 0.098540   2.499
42   64 0.103100   2.277
43   67 0.107800   2.075
44   71 0.112500   1.890
45   73 0.117700   1.723
46   73 0.122900   1.569
47   80 0.128100   1.430
48   86 0.133700   1.303
49   89 0.139500   1.187
50   92 0.145200   1.082
51   94 0.151000   0.986
52  101 0.156800   0.898
53  102 0.162600   0.818
54  110 0.168500   0.746
55  114 0.174300   0.679
56  114 0.180200   0.619
57  117 0.186000   0.564
58  122 0.191600   0.514
59  126 0.197000   0.468
60  131 0.202400   0.427
61  137 0.207700   0.389
62  139 0.212900   0.354
63  142 0.217900   0.323
64  145 0.222700   0.294
65  143 0.227400   0.268
66  142 0.231900   0.244
67  144 0.236200   0.222
68  143 0.240300   0.203
69  144 0.244300   0.185
70  146 0.248000   0.168
71  151 0.251600   0.153
72  153 0.255000   0.140
73  158 0.258300   0.127
74  160 0.261400   0.116
75  163 0.264400   0.106
76  166 0.267300   0.096
77  164 0.270000   0.088
78  169 0.272500   0.080
79  174 0.274900   0.073
80  176 0.277200   0.066
81  181 0.279400   0.060
82  183 0.281500   0.055
83  188 0.283500   0.050
84  190 0.285500   0.046
85  192 0.287400   0.042
86  193 0.289200   0.038
87  196 0.290900   0.035
88  196 0.292500   0.032
89  199 0.294100   0.029
90  200 0.295600   0.026
91  205 0.297100   0.024
92  206 0.298500   0.022
93  209 0.299800   0.020
94  214 0.301000   0.018
95  219 0.302200   0.016
96  224 0.303300   0.015
97  224 0.304400   0.014
98  227 0.305400   0.012
99  227 0.306300   0.011
100 233 0.307200   0.010
