
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 1.11400
2     1 0.005882 1.01500
3     2 0.013510 0.92520
4     3 0.023900 0.84300
5     4 0.035470 0.76810
6     7 0.049360 0.69990
7    11 0.064770 0.63770
8    14 0.081230 0.58110
9    16 0.096660 0.52940
10   18 0.110200 0.48240
11   23 0.124400 0.43960
12   26 0.138000 0.40050
13   32 0.152000 0.36490
14   41 0.168300 0.33250
15   44 0.185200 0.30300
16   46 0.199800 0.27610
17   54 0.212500 0.25150
18   60 0.223800 0.22920
19   67 0.233700 0.20880
20   72 0.242800 0.19030
21   78 0.251000 0.17340
22   83 0.258000 0.15800
23   85 0.264200 0.14390
24   92 0.269900 0.13110
25   98 0.275100 0.11950
26  101 0.279500 0.10890
27  110 0.283400 0.09921
28  114 0.286800 0.09040
29  123 0.289600 0.08237
30  124 0.292100 0.07505
31  126 0.294300 0.06838
32  127 0.296200 0.06231
33  126 0.297800 0.05677
34  129 0.299400 0.05173
35  127 0.300700 0.04713
36  129 0.302000 0.04295
37  128 0.303000 0.03913
38  130 0.303900 0.03565
39  132 0.304800 0.03249
40  133 0.305600 0.02960
41  136 0.306300 0.02697
42  140 0.307100 0.02457
43  144 0.307900 0.02239
44  147 0.308600 0.02040
45  149 0.309200 0.01859
46  149 0.309800 0.01694
47  150 0.310300 0.01543
48  154 0.310800 0.01406
49  155 0.311300 0.01281
50  159 0.311700 0.01168
51  165 0.312100 0.01064
52  169 0.312500 0.00969
53  168 0.312800 0.00883
54  167 0.313100 0.00805
55  168 0.313300 0.00733
56  172 0.313500 0.00668
57  175 0.313700 0.00609
58  178 0.313900 0.00555
59  183 0.314000 0.00505
60  187 0.314200 0.00460
61  193 0.314300 0.00420
62  195 0.314500 0.00382
63  201 0.314500 0.00348
64  205 0.314600 0.00317
65  207 0.314800 0.00289
66  212 0.314900 0.00264
67  213 0.315000 0.00240
68  213 0.315100 0.00219
69  215 0.315200 0.00199
70  218 0.315300 0.00182
71  218 0.315300 0.00166
72  220 0.315400 0.00151
73  220 0.315400 0.00137
74  223 0.315500 0.00125
75  224 0.315500 0.00114
76  226 0.315500 0.00104
77  228 0.315500 0.00095
78  230 0.315600 0.00086
79  231 0.315600 0.00079
80  235 0.315600 0.00072
81  241 0.315600 0.00065
82  240 0.315600 0.00059
83  246 0.315600 0.00054
84  247 0.315700 0.00049
85  248 0.315700 0.00045
86  254 0.315700 0.00041
87  257 0.315700 0.00037
88  260 0.315700 0.00034
89  264 0.315700 0.00031
90  268 0.315700 0.00028
91  268 0.315700 0.00026
92  268 0.315700 0.00023
93  272 0.315700 0.00021
94  272 0.315700 0.00019
95  275 0.315700 0.00018
96  277 0.315700 0.00016
97  279 0.315700 0.00015
98  279 0.315700 0.00013
99  280 0.315700 0.00012
100 280 0.315700 0.00011
