
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 2.22900
2     1 0.004329 2.03100
3     2 0.010100 1.85000
4     3 0.018710 1.68600
5     4 0.028450 1.53600
6     8 0.041030 1.40000
7    13 0.055690 1.27500
8    16 0.071450 1.16200
9    16 0.086270 1.05900
10   22 0.100300 0.96480
11   25 0.114700 0.87910
12   29 0.128800 0.80100
13   36 0.143000 0.72990
14   46 0.158600 0.66500
15   52 0.175200 0.60590
16   55 0.189900 0.55210
17   64 0.203000 0.50310
18   72 0.215000 0.45840
19   75 0.225600 0.41770
20   83 0.235400 0.38050
21   89 0.244300 0.34670
22   90 0.252000 0.31590
23   99 0.258800 0.28790
24  107 0.265200 0.26230
25  110 0.270900 0.23900
26  126 0.275900 0.21780
27  130 0.280300 0.19840
28  134 0.284100 0.18080
29  135 0.287300 0.16470
30  132 0.290000 0.15010
31  133 0.292300 0.13680
32  136 0.294400 0.12460
33  135 0.296200 0.11350
34  135 0.297900 0.10350
35  136 0.299400 0.09426
36  135 0.300700 0.08589
37  139 0.301900 0.07826
38  143 0.303000 0.07131
39  143 0.303900 0.06497
40  143 0.304900 0.05920
41  142 0.305700 0.05394
42  146 0.306400 0.04915
43  146 0.307200 0.04478
44  150 0.308000 0.04080
45  150 0.308600 0.03718
46  151 0.309200 0.03388
47  156 0.309800 0.03087
48  156 0.310400 0.02813
49  163 0.311000 0.02563
50  168 0.311400 0.02335
51  172 0.311900 0.02128
52  174 0.312300 0.01939
53  173 0.312600 0.01766
54  172 0.312900 0.01609
55  173 0.313200 0.01466
56  174 0.313400 0.01336
57  176 0.313500 0.01217
58  179 0.313700 0.01109
59  184 0.313900 0.01011
60  188 0.314100 0.00921
61  195 0.314200 0.00839
62  197 0.314300 0.00765
63  200 0.314500 0.00697
64  201 0.314600 0.00635
65  209 0.314700 0.00578
66  210 0.314800 0.00527
67  212 0.314900 0.00480
68  215 0.315000 0.00438
69  216 0.315100 0.00399
70  215 0.315200 0.00363
71  216 0.315300 0.00331
72  223 0.315300 0.00302
73  223 0.315400 0.00275
74  221 0.315400 0.00250
75  225 0.315500 0.00228
76  227 0.315500 0.00208
77  229 0.315500 0.00189
78  231 0.315500 0.00173
79  234 0.315600 0.00157
80  236 0.315600 0.00143
81  242 0.315600 0.00130
82  246 0.315600 0.00119
83  247 0.315600 0.00108
84  251 0.315600 0.00099
85  256 0.315700 0.00090
86  258 0.315700 0.00082
87  259 0.315700 0.00075
88  261 0.315700 0.00068
89  263 0.315700 0.00062
90  268 0.315700 0.00057
91  269 0.315700 0.00051
92  269 0.315700 0.00047
93  270 0.315700 0.00043
94  273 0.315700 0.00039
95  274 0.315700 0.00035
96  277 0.315700 0.00032
97  278 0.315700 0.00029
98  278 0.315700 0.00027
99  279 0.315700 0.00024
100 281 0.315700 0.00022
