
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 0.44580
2     1 0.007493 0.40620
3     2 0.016940 0.37010
4     3 0.028660 0.33720
5     4 0.041600 0.30730
6     6 0.056250 0.28000
7    10 0.072210 0.25510
8    13 0.088740 0.23240
9    15 0.104200 0.21180
10   17 0.117500 0.19300
11   21 0.131000 0.17580
12   27 0.144400 0.16020
13   30 0.158800 0.14600
14   38 0.174600 0.13300
15   42 0.191800 0.12120
16   42 0.206400 0.11040
17   48 0.218800 0.10060
18   51 0.229600 0.09167
19   57 0.239000 0.08353
20   65 0.247500 0.07611
21   66 0.255100 0.06935
22   71 0.261600 0.06319
23   79 0.267500 0.05757
24   83 0.272700 0.05246
25   91 0.277500 0.04780
26   95 0.281600 0.04355
27   97 0.285100 0.03968
28  104 0.288200 0.03616
29  110 0.290900 0.03295
30  112 0.293300 0.03002
31  114 0.295400 0.02735
32  116 0.297200 0.02492
33  114 0.298700 0.02271
34  114 0.300200 0.02069
35  113 0.301500 0.01885
36  115 0.302600 0.01718
37  113 0.303700 0.01565
38  115 0.304500 0.01426
39  115 0.305300 0.01299
40  117 0.306000 0.01184
41  121 0.306800 0.01079
42  129 0.307500 0.00983
43  128 0.308300 0.00896
44  133 0.308900 0.00816
45  132 0.309400 0.00744
46  134 0.310000 0.00678
47  138 0.310500 0.00617
48  140 0.311000 0.00562
49  141 0.311500 0.00512
50  143 0.311900 0.00467
51  151 0.312300 0.00426
52  151 0.312700 0.00388
53  156 0.313000 0.00353
54  153 0.313300 0.00322
55  158 0.313400 0.00293
56  160 0.313600 0.00267
57  165 0.313800 0.00244
58  165 0.314000 0.00222
59  173 0.314100 0.00202
60  182 0.314200 0.00184
61  183 0.314300 0.00168
62  185 0.314500 0.00153
63  188 0.314600 0.00139
64  191 0.314700 0.00127
65  193 0.314800 0.00116
66  198 0.314900 0.00105
67  201 0.315000 0.00096
68  206 0.315100 0.00088
69  207 0.315200 0.00080
70  207 0.315300 0.00073
71  209 0.315300 0.00066
72  211 0.315400 0.00060
73  215 0.315400 0.00055
74  217 0.315500 0.00050
75  217 0.315500 0.00046
76  216 0.315500 0.00042
77  218 0.315500 0.00038
78  220 0.315600 0.00035
79  221 0.315600 0.00031
80  226 0.315600 0.00029
81  231 0.315600 0.00026
82  234 0.315600 0.00024
83  239 0.315600 0.00022
84  244 0.315600 0.00020
85  247 0.315600 0.00018
86  250 0.315700 0.00016
87  253 0.315700 0.00015
88  255 0.315700 0.00014
89  257 0.315700 0.00012
90  260 0.315700 0.00011
91  261 0.315700 0.00010
92  262 0.315700 0.00009
93  265 0.315700 0.00009
94  267 0.315700 0.00008
95  269 0.315700 0.00007
96  270 0.315700 0.00006
97  270 0.315700 0.00006
98  270 0.315700 0.00005
99  270 0.315700 0.00005
100 270 0.315700 0.00004
