
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 10.3300
2     2 0.003433  9.4090
3     2 0.006457  8.5730
4     2 0.008973  7.8110
5     4 0.011990  7.1170
6     4 0.014770  6.4850
7     6 0.017770  5.9090
8     7 0.020890  5.3840
9     7 0.023600  4.9060
10    7 0.025840  4.4700
11    8 0.027720  4.0730
12    9 0.029710  3.7110
13    9 0.031840  3.3810
14   12 0.034160  3.0810
15   12 0.036510  2.8070
16   14 0.038910  2.5580
17   13 0.041430  2.3310
18   13 0.043510  2.1240
19   14 0.045240  1.9350
20   17 0.047250  1.7630
21   21 0.049990  1.6060
22   21 0.052460  1.4640
23   22 0.054550  1.3340
24   22 0.056440  1.2150
25   24 0.058300  1.1070
26   26 0.060550  1.0090
27   30 0.062920  0.9193
28   30 0.065030  0.8376
29   32 0.067190  0.7632
30   32 0.069020  0.6954
31   33 0.070550  0.6336
32   35 0.072010  0.5773
33   39 0.073820  0.5260
34   45 0.075810  0.4793
35   46 0.082400  0.4367
36   44 0.091720  0.3979
37   48 0.100600  0.3626
38   48 0.110300  0.3304
39   50 0.119000  0.3010
40   52 0.128300  0.2743
41   57 0.137100  0.2499
42   61 0.145900  0.2277
43   62 0.153700  0.2075
44   64 0.160600  0.1890
45   69 0.167900  0.1723
46   72 0.175800  0.1569
47   77 0.183000  0.1430
48   82 0.190200  0.1303
49   86 0.197600  0.1187
50   89 0.204600  0.1082
51   92 0.210800  0.0986
52   95 0.216600  0.0898
53   96 0.222300  0.0818
54   99 0.227900  0.0746
55  102 0.233300  0.0679
56  104 0.238200  0.0619
57  105 0.242500  0.0564
58  108 0.246700  0.0514
59  114 0.251000  0.0468
60  115 0.255200  0.0427
61  119 0.259100  0.0389
62  121 0.262600  0.0354
63  125 0.266800  0.0323
64  127 0.270800  0.0294
65  128 0.274600  0.0268
66  129 0.278100  0.0244
67  129 0.281200  0.0222
68  133 0.284100  0.0203
69  132 0.286700  0.0185
70  139 0.289100  0.0168
71  145 0.291500  0.0153
72  147 0.293800  0.0140
73  148 0.295800  0.0127
74  154 0.297700  0.0116
75  157 0.299500  0.0106
76  157 0.301100  0.0096
77  160 0.302500  0.0088
78  164 0.303800  0.0080
79  170 0.304900  0.0073
80  176 0.306000  0.0066
81  180 0.307000  0.0060
82  188 0.307900  0.0055
83  189 0.308800  0.0050
84  192 0.309500  0.0046
85  195 0.310100  0.0042
86  196 0.310700  0.0038
87  196 0.311200  0.0035
88  200 0.311700  0.0032
89  200 0.312100  0.0029
90  201 0.312500  0.0026
91  201 0.312900  0.0024
92  200 0.313200  0.0022
93  201 0.313400  0.0020
94  203 0.313700  0.0018
95  209 0.313900  0.0016
96  211 0.314200  0.0015
97  214 0.314400  0.0014
98  216 0.314500  0.0012
99  220 0.314700  0.0011
100 226 0.314800  0.0010
