IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_118_ASA,PKA_137_N_EXP,PKA_219,PKA_219_ASA,PKA_44,PKA_44_ASA,PKA_44_CHA,PKA_44_ENG,PKA_44_EXP,DOM_FAT,MUT_PAK5,MUT_STK19,MUT_STK19_EXP,REC_R_HSA_428531,REC_R_HSA_5672950_EXP,REC_R_HSA_5692755_EXP,PWY_R_HSA_373755_CSV,PWY_R_HSA_75035_EXP,GO_0007010,GO_0007030,GO_0007548,GO_0007568,GO_0043154,GO_0043154_EXP,GO_0051402,GO_2000379,EXP_FAM20A,EXP_BRDT,EXP_STK16,EXP_CAMK2D,PKA_109_I_CSV_X_Fingerprint_617,PKA_109_I_X_Fingerprint_617,PKA_190_ENG_X_Fingerprint_694,PKA_190_EXP_X_Fingerprint_644,PKA_190_E_EXP_X_Fingerprint_860,PKA_190_VOL_X_Fingerprint_860,PKA_192_ASA_X_Fingerprint_576,PKA_192_B62_X_Fingerprint_576,PKA_192_CSV_X_Fingerprint_576,PKA_192_VOL_X_Fingerprint_576,PKA_194_CSV_X_Fingerprint_709,PKA_249_ENG_X_Fingerprint_576,PKA_294_CSV_X_Fingerprint_576,PKA_59_ENG_X_Fingerprint_702,PKA_89_ASA_X_Fingerprint_702,EXP_COL4A3BP_X_EXP_COL4A3,EXP_CSNK1E_X_EXP_DIEXF,EXP_CSNK1E_X_EXP_HEATR1,EXP_CSNK1E_X_EXP_RPP40,EXP_CSNK2A1_X_EXP_HDAC1,EXP_CSNK2A1_X_EXP_HDAC4,EXP_CSNK2A1_X_EXP_SIN3A,EXP_CSNK2A1_X_EXP_SUPT5H,EXP_INSRR_X_EXP_GRB2,EXP_INSRR_X_EXP_SOS2,EXP_MAP2K1_X_EXP_DNM1,EXP_MAP2K1_X_EXP_PIK3CD,EXP_MAP2K1_X_EXP_RPS27A,EXP_PAK3_X_EXP_CTNNA1,EXP_TBK1_X_EXP_TRAF3,PWY_R_HSA_1280218_CSV_X_PWY_R_HSA_442742_CSV,PWY_R_HSA_187687_EXP_X_PWY_R_HSA_6804758_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_388841_EXP,GO_0001666_X_GO_0006469,GO_0001933_EXP_X_GO_0006914_EXP,GO_0007049_CSV_X_GO_0035019_CSV,GO_0007249_X_GO_0097190,GO_0010507_X_GO_0023014
2.967693,905955,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01943214869592,3.07947144857691,5.30169564964115,4.74366879746525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0918755827585,55.0498795568016,47.3432639381038,58.218767243515,68.2329020320461,25.9314668397443,46.5453466290239,50.0400763053424,24.4925759750843,12.823429102508,25.5912206001868,30.9960784971359,28.1923744148336,35.5655140013546,42.7415488323411,0,0,0,0,0,0,2,0
3.877899,905975,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02433267402562,0,0,0,0,1,0,0,0,0,0,0,2.93936122171441,3.03319776778163,6.33132056921315,5.51791246856757,0,0,0,0,0,0,0,0,0,0,0,0,0.859148,0,0,19.3637640887996,56.5169416594664,49.3582724277987,61.2905970828876,70.1030796348161,25.4077372899072,43.2307285464758,47.2552552790161,23.4319868435361,13.075051813405,30.3796080932478,32.7940053555952,33.3670778664077,32.0693995324318,42.5444137309465,0,0,0,0,47.2771833498582,0,0,0
4.091642,905976,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-44,-1,-1.325,4.13995676875213,0,0,0,0,0,4.66673676321995,0,0,0,2,0,0,0,0,0,0,0,2.99252444176808,3.0291194102941,5.97987923197272,6.36821322613376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9336868864416,41.0540258980094,43.5240302518689,50.7963203752072,67.2786664727276,25.7274289281542,39.7430154042698,52.2703357716745,24.9655569462035,14.0538199730245,32.5854782480671,27.3703682420684,28.9438831967209,42.7723575253401,49.8025859086059,0,0,0,0,0,0,0,0
4.732419,905977,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83198198987409,0,0,0,1,1,0,0,0,0,0,0,2.94101406665926,3.34409032424932,6.67602924769113,4.13459335657722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5700269200657,52.7904026411945,47.1696528687453,52.5396897718737,70.1490170236426,28.7815181287098,40.0445346232917,56.4906699515298,23.0204948037426,11.1945578417669,31.9821990189158,37.8708919792571,33.1563791254028,40.641451100026,38.7615012400315,0,0,0,0,0,0,0,0
3.081019,906792,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99665709390583,0,0,0,0,0,0,0,0,0,0,0,2.93361950862567,3.00756385793769,6.30785443411722,4.69569226010081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4507965144617,55.1658252595686,49.7112104392744,50.0409428019321,64.748389274496,27.0329408404013,37.4293775161396,47.5721231545398,22.9895536976993,14.3285796546618,49.5286339800733,32.2774917510046,30.4108986922172,29.4490273219168,46.5883277934926,0.559118722272,0,0,0,0,0,0,0
4.226503,906793,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2512862114828,0,0,0,0,0,0,0,0,0,0,0,6.06722612069025,2.97337861948578,6.33340861828647,5.966254788261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1600744369083,57.3226351066867,56.7253354202602,55.9723541131149,68.319046770634,25.9186899893455,44.7204322545938,54.8918958526829,21.6806990745726,11.8094272343631,62.6671933193558,29.0299808432668,41.7181464469565,32.8587360043,43.9192821378962,0,0,34.3979346161936,0,0,0,0,0
3.823289,906818,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.192028869134,0,0,0,0,0,0,0,0,0,1,0,2.9159680907945,2.9224205155377,6.75648720141766,5.12551147702175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9957347957763,41.8013045548508,41.1890541873578,42.7747466727893,66.1198167612811,25.3845112770941,37.5051882775593,51.2757861444891,25.1546297741155,14.1303389893648,29.196191056713,29.4334698575776,30.9487291845017,32.771596307311,42.238830789621,0,0,0,0,0,0,0,0
5.35003,906830,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4.40804745065501,0,0,3.23774933279881,1,0,0,0,0,0,0,0,2.86862879013972,2.99932026803747,7.53799946855904,5.58005648209641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8139889775113,49.4236743784401,45.9587618113611,45.3275497416783,58.4345066477105,21.8280954693986,37.3614766436656,45.8386758606553,22.6570944212517,13.9432915313638,29.123666473353,29.2427884211266,26.2161136228709,29.9339266363786,41.438621832899,0,0,0,0,57.1841847795321,0,0,2
3.154447,906865,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94273042564585,0,0.776117,0,1,0,0,0,0,0,0,0,3.02636323449318,3.25722101598111,6.7865879180184,4.42418245121782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9809169686982,50.6297375881672,46.3306477728094,56.1543765639042,69.8776111696922,27.4145967739518,44.847347152179,59.4221421975871,24.6725053483688,11.47422596266,36.3886821479754,35.6774102032371,30.5067684533371,30.4486576305384,42.7845832051604,0,0,0,0,0,0,0,0
3.822373,907058,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59599005844969,0,0,0,0,0,0,0,0,0,0,0,2.98902795121519,2.90472525786113,6.39105350657432,5.55169575413132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0255059239308,54.4979020405586,56.9753911425733,59.2908265188061,89.8493819520988,33.8161470284191,56.8281974014605,71.3681407068752,24.9065545655345,14.8947166486121,31.2759421967134,41.0516998528548,29.3006880771308,29.6661907103464,39.9664472960879,0,0,0,0,0,0,0,0
3.833864,907169,1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9760866548073,0,0.771885,0,1,0,1,0,0,0,0,0,3.01604624367344,3.40843260009744,6.29201979420198,5.72149333999291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.430724358212,46.2735073828401,45.7941101207428,54.7854864183966,67.94254879937,27.7597254386817,41.2874636876089,52.2211548285928,21.983376409618,14.0307357502352,27.4158744976376,42.2789668076144,31.6411182746868,31.2599720905886,40.6599932813497,0,0,0,0,0,0,0,0
