
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 106.400
2    1 0.003685  96.970
3    1 0.006774  88.360
4    2 0.010350  80.510
5    2 0.015160  73.350
6    2 0.019190  66.840
7    2 0.022570  60.900
8    2 0.025410  55.490
9    2 0.027790  50.560
10   2 0.029770  46.070
11   2 0.031430  41.980
12   2 0.032820  38.250
13   2 0.033980  34.850
14   2 0.034950  31.750
15   3 0.035810  28.930
16   3 0.038430  26.360
17   3 0.040640  24.020
18   3 0.042510  21.890
19   4 0.044110  19.940
20   5 0.046580  18.170
21   5 0.048740  16.560
22   5 0.050660  15.090
23   5 0.052350  13.750
24   6 0.053990  12.520
25   5 0.055500  11.410
26   6 0.056910  10.400
27   6 0.058130   9.474
28   6 0.059150   8.632
29   7 0.060020   7.866
30   7 0.060950   7.167
31   7 0.061720   6.530
32   8 0.062360   5.950
33   8 0.062910   5.421
34   8 0.063370   4.940
35   8 0.063760   4.501
36   8 0.064080   4.101
37   8 0.064350   3.737
38   8 0.064570   3.405
39   8 0.064760   3.102
40   8 0.064920   2.827
41   9 0.065100   2.576
42   9 0.065700   2.347
43  12 0.066830   2.138
44  13 0.068130   1.948
45  15 0.069470   1.775
46  17 0.073240   1.618
47  19 0.077290   1.474
48  19 0.081390   1.343
49  19 0.085380   1.224
50  22 0.090150   1.115
51  22 0.095570   1.016
52  24 0.101100   0.926
53  26 0.106900   0.843
54  27 0.112800   0.768
55  28 0.118700   0.700
56  29 0.124400   0.638
57  30 0.129900   0.581
58  31 0.135600   0.530
59  31 0.141200   0.483
60  31 0.146400   0.440
61  31 0.151200   0.401
62  32 0.155800   0.365
63  33 0.160100   0.333
64  35 0.164300   0.303
65  37 0.168400   0.276
66  36 0.172500   0.252
67  36 0.176200   0.229
68  38 0.179800   0.209
69  38 0.183100   0.190
70  39 0.186200   0.173
71  39 0.189100   0.158
72  39 0.191700   0.144
73  40 0.194100   0.131
74  40 0.196300   0.120
75  40 0.198400   0.109
76  41 0.200300   0.099
77  41 0.202000   0.090
78  41 0.203600   0.082
79  42 0.205000   0.075
80  42 0.206300   0.068
81  42 0.207500   0.062
82  45 0.208700   0.057
83  45 0.209900   0.052
84  46 0.210900   0.047
85  46 0.211900   0.043
86  47 0.212800   0.039
87  47 0.213600   0.036
88  46 0.214300   0.032
89  46 0.215000   0.030
90  46 0.215600   0.027
91  47 0.216200   0.025
92  47 0.216700   0.022
93  47 0.217100   0.020
94  47 0.217500   0.019
95  47 0.217900   0.017
96  47 0.218200   0.015
97  48 0.218500   0.014
98  48 0.218800   0.013
99  48 0.219000   0.012
100 49 0.219200   0.011
