
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 1064.00
2    1 0.002744  969.70
3    1 0.005214  883.60
4    2 0.008614  805.10
5    2 0.012430  733.50
6    2 0.015840  668.40
7    2 0.018890  609.00
8    2 0.021600  554.90
9    2 0.024000  505.60
10   2 0.026120  460.70
11   2 0.027980  419.80
12   2 0.029610  382.50
13   3 0.031170  348.50
14   3 0.032720  317.50
15   5 0.034690  289.30
16   5 0.036990  263.60
17   5 0.038990  240.20
18   6 0.040980  218.90
19   6 0.042910  199.40
20   6 0.044640  181.70
21   8 0.046340  165.60
22   8 0.047930  150.90
23   9 0.049420  137.50
24  10 0.050850  125.20
25  10 0.052310  114.10
26  10 0.053620  104.00
27  11 0.054870   94.74
28  11 0.056130   86.32
29  12 0.057280   78.66
30  12 0.058370   71.67
31  11 0.059380   65.30
32  11 0.060280   59.50
33  11 0.061110   54.21
34  10 0.061810   49.40
35   9 0.062360   45.01
36   9 0.062810   41.01
37   9 0.063210   37.37
38   9 0.063560   34.05
39   9 0.063870   31.02
40   8 0.064130   28.27
41   9 0.064460   25.76
42   9 0.064820   23.47
43  11 0.065280   21.38
44  11 0.065760   19.48
45  13 0.066330   17.75
46  19 0.067580   16.18
47  20 0.069060   14.74
48  23 0.070590   13.43
49  25 0.072160   12.24
50  26 0.073890   11.15
51  27 0.075710   10.16
52  27 0.077540    9.26
53  28 0.079370    8.43
54  29 0.081330    7.68
55  31 0.083330    7.00
56  31 0.085440    6.38
57  32 0.087590    5.81
58  33 0.089840    5.30
59  34 0.092200    4.83
60  36 0.094670    4.40
61  37 0.097200    4.01
62  37 0.099870    3.65
63  38 0.102600    3.33
64  39 0.105500    3.03
65  39 0.108400    2.76
66  40 0.111500    2.52
67  41 0.114700    2.29
68  42 0.117900    2.09
69  42 0.121200    1.90
70  46 0.124600    1.73
71  48 0.128100    1.58
72  50 0.131600    1.44
73  50 0.135100    1.31
74  50 0.138700    1.20
75  50 0.142300    1.09
76  51 0.145800    0.99
77  51 0.149400    0.90
78  51 0.152900    0.82
79  51 0.156300    0.75
80  52 0.159700    0.68
81  53 0.163100    0.62
82  53 0.166300    0.57
83  53 0.169400    0.52
84  53 0.172400    0.47
85  53 0.175400    0.43
86  54 0.178200    0.39
87  54 0.180800    0.36
88  55 0.183400    0.32
89  56 0.185800    0.30
90  55 0.188200    0.27
91  55 0.190300    0.25
92  55 0.192400    0.22
93  56 0.194400    0.20
94  55 0.196200    0.19
95  56 0.197900    0.17
96  57 0.199600    0.15
97  57 0.201100    0.14
98  57 0.202600    0.13
99  58 0.204000    0.12
100 59 0.205200    0.11
