
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.6400
2    1 0.003815  9.6970
3    1 0.006983  8.8360
4    2 0.010540  8.0510
5    2 0.015510  7.3350
6    2 0.019630  6.6840
7    2 0.023050  6.0900
8    2 0.025890  5.5490
9    2 0.028250  5.0560
10   2 0.030210  4.6070
11   2 0.031840  4.1980
12   2 0.033190  3.8250
13   2 0.034310  3.4850
14   2 0.035240  3.1750
15   2 0.036010  2.8930
16   3 0.038680  2.6360
17   3 0.041040  2.4020
18   3 0.043000  2.1890
19   3 0.044620  1.9940
20   4 0.046390  1.8170
21   5 0.049680  1.6560
22   4 0.052320  1.5090
23   4 0.053830  1.3750
24   4 0.055100  1.2520
25   4 0.056150  1.1410
26   5 0.057070  1.0400
27   6 0.058250  0.9474
28   6 0.059330  0.8632
29   6 0.060200  0.7866
30   7 0.061020  0.7167
31   7 0.061820  0.6530
32   7 0.062480  0.5950
33   7 0.063020  0.5421
34   7 0.063470  0.4940
35   7 0.063840  0.4501
36   7 0.064160  0.4101
37   7 0.064410  0.3737
38   7 0.064620  0.3405
39   8 0.064800  0.3102
40   8 0.064960  0.2827
41   9 0.065100  0.2576
42  11 0.065970  0.2347
43  11 0.067370  0.2138
44  12 0.068820  0.1948
45  14 0.070160  0.1775
46  18 0.082530  0.1618
47  17 0.093880  0.1474
48  19 0.103400  0.1343
49  19 0.111500  0.1224
50  19 0.118200  0.1115
51  20 0.123800  0.1016
52  22 0.132300  0.0926
53  22 0.140300  0.0843
54  22 0.147000  0.0768
55  25 0.152600  0.0700
56  26 0.157400  0.0638
57  27 0.163400  0.0581
58  27 0.168300  0.0530
59  29 0.172900  0.0483
60  29 0.177300  0.0440
61  29 0.180900  0.0401
62  30 0.183900  0.0365
63  30 0.186500  0.0333
64  31 0.188600  0.0303
65  33 0.190900  0.0276
66  34 0.195000  0.0252
67  35 0.198700  0.0229
68  35 0.201800  0.0209
69  35 0.204300  0.0190
70  34 0.206400  0.0173
71  34 0.208200  0.0158
72  36 0.209800  0.0144
73  36 0.211100  0.0131
74  38 0.212300  0.0120
75  38 0.213200  0.0109
76  40 0.214000  0.0099
77  40 0.214700  0.0090
78  41 0.215400  0.0082
79  41 0.216200  0.0075
80  41 0.216900  0.0068
81  43 0.217500  0.0062
82  46 0.218000  0.0057
83  45 0.218400  0.0052
84  45 0.218700  0.0047
85  45 0.219000  0.0043
86  44 0.219300  0.0039
87  44 0.219500  0.0036
88  43 0.219600  0.0032
89  45 0.219800  0.0030
90  45 0.219900  0.0027
91  45 0.220000  0.0025
92  45 0.220000  0.0022
93  47 0.220100  0.0020
94  48 0.220200  0.0019
95  48 0.220200  0.0017
96  49 0.220200  0.0015
97  49 0.220300  0.0014
98  50 0.220300  0.0013
99  51 0.220300  0.0012
100 51 0.220400  0.0011
