
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1   84 0.00000 10640.0
2   84 0.02477  9697.0
3   84 0.02626  8836.0
4   84 0.02777  8051.0
5   84 0.02931  7335.0
6   84 0.03086  6684.0
7   84 0.03242  6090.0
8   84 0.03398  5549.0
9   84 0.03552  5056.0
10  84 0.03704  4607.0
11  84 0.03854  4198.0
12  84 0.04000  3825.0
13  84 0.04142  3485.0
14  84 0.04279  3175.0
15  84 0.04411  2893.0
16  84 0.04538  2636.0
17  84 0.04658  2402.0
18  84 0.04773  2189.0
19  84 0.04880  1994.0
20  84 0.04982  1817.0
21  84 0.05077  1656.0
22  84 0.05167  1509.0
23  84 0.05250  1375.0
24  84 0.05328  1252.0
25  84 0.05401  1141.0
26  84 0.05469  1040.0
27  84 0.05533   947.4
28  84 0.05594   863.2
29  84 0.05650   786.6
30  84 0.05704   716.7
31  84 0.05756   653.0
32  84 0.05806   595.0
33  84 0.05854   542.1
34  84 0.05901   494.0
35  84 0.05947   450.1
36  84 0.05993   410.1
37  84 0.06040   373.7
38  84 0.06086   340.5
39  84 0.06133   310.2
40  84 0.06181   282.7
41  84 0.06230   257.6
42  84 0.06281   234.7
43  84 0.06333   213.8
44  84 0.06387   194.8
45  84 0.06442   177.5
46  84 0.06500   161.8
47  84 0.06559   147.4
48  84 0.06621   134.3
49  84 0.06685   122.4
50  84 0.06750   111.5
51  84 0.06818   101.6
52  84 0.06889    92.6
53  84 0.06959    84.3
54  84 0.07034    76.8
55  84 0.07110    70.0
56  84 0.07186    63.8
57  84 0.07265    58.1
58  84 0.07349    53.0
59  84 0.07427    48.3
60  84 0.07512    44.0
61  84 0.07602    40.1
62  84 0.07685    36.5
63  84 0.07775    33.3
64  84 0.07869    30.3
65  84 0.07958    27.6
66  84 0.08054    25.2
67  84 0.08155    22.9
68  84 0.08252    20.9
69  84 0.08354    19.0
70  84 0.08462    17.3
71  84 0.08572    15.8
72  84 0.08684    14.4
73  84 0.08800    13.1
74  84 0.08924    11.9
75  84 0.09052    10.9
76  84 0.09185     9.9
77  84 0.09324     9.0
78  84 0.09470     8.2
79  84 0.09623     7.5
80  84 0.09785     6.8
81  84 0.09954     6.2
82  84 0.10130     5.7
83  84 0.10320     5.2
84  84 0.10520     4.7
85  84 0.10720     4.3
86  84 0.10940     3.9
87  84 0.11160     3.6
88  84 0.11400     3.2
89  84 0.11650     3.0
90  84 0.11910     2.7
91  84 0.12170     2.5
92  84 0.12450     2.2
93  84 0.12730     2.0
94  84 0.13030     1.9
95  84 0.13330     1.7
96  84 0.13630     1.5
97  84 0.13940     1.4
98  84 0.14260     1.3
99  84 0.14580     1.2
100 84 0.14890     1.1
