
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 5.6530
2    1 0.00656 5.1510
3    1 0.01201 4.6930
4    1 0.01654 4.2760
5    1 0.02029 3.8960
6    1 0.02341 3.5500
7    1 0.02600 3.2350
8    1 0.02815 2.9470
9    1 0.02993 2.6860
10   1 0.03142 2.4470
11   1 0.03265 2.2300
12   2 0.03495 2.0320
13   3 0.03867 1.8510
14   3 0.04332 1.6870
15   3 0.04718 1.5370
16   3 0.05038 1.4000
17   3 0.05304 1.2760
18   3 0.05524 1.1630
19   3 0.05708 1.0590
20   4 0.05869 0.9651
21   4 0.06095 0.8794
22   5 0.06370 0.8013
23   5 0.06633 0.7301
24   5 0.06851 0.6652
25   5 0.07032 0.6061
26   5 0.07182 0.5523
27   5 0.07307 0.5032
28   5 0.07411 0.4585
29   5 0.07497 0.4178
30   5 0.07568 0.3807
31   5 0.07628 0.3469
32   5 0.07677 0.3160
33   6 0.07721 0.2880
34   6 0.07763 0.2624
35   7 0.07813 0.2391
36   7 0.07901 0.2178
37   8 0.08373 0.1985
38   8 0.09310 0.1809
39   9 0.10090 0.1648
40   9 0.10740 0.1501
41  11 0.11570 0.1368
42  12 0.12390 0.1247
43  12 0.13420 0.1136
44  14 0.14340 0.1035
45  15 0.15130 0.0943
46  15 0.15890 0.0859
47  16 0.16660 0.0783
48  16 0.17580 0.0713
49  18 0.18460 0.0650
50  20 0.19490 0.0592
51  22 0.20480 0.0540
52  23 0.21480 0.0492
53  24 0.22550 0.0448
54  26 0.23520 0.0408
55  27 0.24460 0.0372
56  28 0.25330 0.0339
57  29 0.26120 0.0309
58  31 0.26950 0.0281
59  32 0.27760 0.0256
60  36 0.28560 0.0234
61  39 0.29500 0.0213
62  43 0.30590 0.0194
63  47 0.31630 0.0177
64  50 0.32680 0.0161
65  54 0.33670 0.0147
66  54 0.34570 0.0134
67  56 0.35430 0.0122
68  59 0.36250 0.0111
69  59 0.36950 0.0101
70  61 0.37580 0.0092
71  63 0.38150 0.0084
72  64 0.38630 0.0076
73  64 0.39050 0.0070
74  64 0.39400 0.0064
75  64 0.39730 0.0058
76  66 0.40010 0.0053
77  66 0.40250 0.0048
78  66 0.40450 0.0044
79  67 0.40610 0.0040
80  66 0.40750 0.0036
81  66 0.40870 0.0033
82  67 0.40970 0.0030
83  68 0.41060 0.0027
84  68 0.41130 0.0025
85  70 0.41190 0.0023
86  70 0.41240 0.0021
87  69 0.41280 0.0019
88  69 0.41310 0.0017
89  69 0.41340 0.0016
90  69 0.41360 0.0014
91  69 0.41380 0.0013
92  70 0.41400 0.0012
93  70 0.41410 0.0011
94  70 0.41420 0.0010
95  71 0.41430 0.0009
96  70 0.41440 0.0008
97  71 0.41450 0.0007
98  71 0.41450 0.0007
99  71 0.41460 0.0006
100 71 0.41460 0.0006
