
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.2800
2    1 0.00650  9.3650
3    1 0.01190  8.5330
4    1 0.01641  7.7750
5    1 0.02015  7.0840
6    1 0.02327  6.4550
7    1 0.02587  5.8810
8    1 0.02803  5.3590
9    1 0.02982  4.8830
10   1 0.03132  4.4490
11   1 0.03256  4.0540
12   2 0.03488  3.6940
13   3 0.03861  3.3660
14   3 0.04321  3.0670
15   3 0.04705  2.7940
16   3 0.05024  2.5460
17   3 0.05290  2.3200
18   3 0.05511  2.1140
19   3 0.05695  1.9260
20   4 0.05859  1.7550
21   4 0.06084  1.5990
22   5 0.06359  1.4570
23   5 0.06620  1.3270
24   5 0.06837  1.2100
25   5 0.07018  1.1020
26   5 0.07169  1.0040
27   5 0.07295  0.9150
28   5 0.07400  0.8337
29   5 0.07487  0.7596
30   5 0.07560  0.6921
31   5 0.07620  0.6306
32   5 0.07670  0.5746
33   6 0.07716  0.5236
34   6 0.07759  0.4771
35   7 0.07812  0.4347
36   7 0.07898  0.3961
37   8 0.08244  0.3609
38   8 0.08944  0.3288
39   9 0.09574  0.2996
40   9 0.10140  0.2730
41  11 0.10870  0.2487
42  12 0.11580  0.2266
43  12 0.12520  0.2065
44  14 0.13410  0.1882
45  15 0.14260  0.1714
46  16 0.15050  0.1562
47  16 0.15730  0.1423
48  17 0.16450  0.1297
49  18 0.17390  0.1182
50  19 0.18380  0.1077
51  22 0.19450  0.0981
52  24 0.20440  0.0894
53  24 0.21480  0.0814
54  25 0.22420  0.0742
55  27 0.23400  0.0676
56  27 0.24280  0.0616
57  29 0.25120  0.0561
58  30 0.25920  0.0512
59  33 0.26770  0.0466
60  36 0.27610  0.0425
61  40 0.28460  0.0387
62  42 0.29420  0.0353
63  46 0.30430  0.0321
64  48 0.31350  0.0293
65  51 0.32260  0.0267
66  54 0.33130  0.0243
67  55 0.33920  0.0221
68  58 0.34720  0.0202
69  60 0.35470  0.0184
70  62 0.36180  0.0168
71  63 0.36810  0.0153
72  63 0.37370  0.0139
73  63 0.37860  0.0127
74  65 0.38310  0.0116
75  66 0.38710  0.0105
76  66 0.39100  0.0096
77  66 0.39430  0.0087
78  66 0.39710  0.0080
79  65 0.39960  0.0073
80  66 0.40170  0.0066
81  66 0.40360  0.0060
82  69 0.40530  0.0055
83  70 0.40670  0.0050
84  70 0.40790  0.0046
85  70 0.40890  0.0041
86  70 0.40990  0.0038
87  70 0.41060  0.0034
88  70 0.41130  0.0031
89  70 0.41180  0.0029
90  69 0.41230  0.0026
91  69 0.41270  0.0024
92  68 0.41300  0.0022
93  68 0.41330  0.0020
94  68 0.41350  0.0018
95  69 0.41370  0.0016
96  69 0.41390  0.0015
97  69 0.41400  0.0014
98  70 0.41420  0.0012
99  71 0.41430  0.0011
100 72 0.41440  0.0010
