IC50,Cancer,Drug,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
1.373537,930298,153,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,2
-0.958794,1240212,153,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,8
-0.504954,1298134,153,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,9
0.847503,687505,155,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,1
2.028872,687506,155,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,7
2.465655,724839,155,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,10
-0.861802,906824,155,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,6
-0.466301,906843,155,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,4
1.934443,907068,155,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,10
2.029619,930297,155,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,1
2.197377,930298,155,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,2
1.789628,1240212,155,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,8
0.269824,1298134,155,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,8
-1.373129,687505,157,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,1
-0.899222,687506,157,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,7
0.489158,724839,157,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,2
-0.479524,906824,157,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,2
-1.620956,906843,157,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,1
-1.272292,907068,157,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,4
0.289694,930297,157,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,5
1.097452,930298,157,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,5
-0.785506,1240212,157,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,7
-0.841781,1298134,157,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,2
0.658598,687505,158,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,6
1.252531,687506,158,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,5
3.347998,724839,158,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,5
2.171729,906824,158,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,4
0.959568,907068,158,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,9
3.687823,930297,158,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,8
2.559722,930298,158,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,6
0.898069,1240212,158,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,3
1.879747,1298134,158,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,8
-0.44278,687505,159,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,5
2.972042,687506,159,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,2
3.058838,724839,159,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,3
-0.738579,906824,159,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,6
-0.497923,906843,159,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,8
1.250975,930297,159,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,8
2.474396,930298,159,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,4
1.437116,1240212,159,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,4
0.755309,1298134,159,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,10
1.274886,687505,167,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,9
2.124014,687506,167,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,6
1.513059,724839,167,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,4
1.979126,906824,167,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,2
0.815804,906843,167,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,6
2.204883,907068,167,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,6
5.97431,930297,167,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,6
2.977512,930298,167,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,8
1.800241,1240212,167,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,4
0.963728,1298134,167,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,4
5.744272,687505,176,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,10
5.075152,687506,176,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,3
5.92998,724839,176,0,46.246534785,32.952153584,15.868346125,12.638631606,3.3811292572,10
6.242398,906824,176,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,6
2.130299,906843,176,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,3
4.363229,907068,176,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
6.714816,930297,176,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,10
6.931905,930298,176,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,2
5.592379,1240212,176,0,53.078990442,35.290054041,11.791803995,13.040814464,2.8049043971,3
3.437151,1298134,176,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,6
1.67813,687505,177,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,3
1.345497,687506,177,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,10
5.333935,724839,177,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,5
2.825075,906824,177,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,6
2.340457,906843,177,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,7
3.298554,907068,177,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,3
6.007434,930297,177,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,1
5.328039,930298,177,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,4
1.708434,1240212,177,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,4
1.553463,1298134,177,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,8
0.427361,687505,178,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,9
2.515127,687506,178,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,6
3.961515,724839,178,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,9
1.613414,906824,178,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,7
0.132745,906843,178,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,7
3.059804,907068,178,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
4.493201,930297,178,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,10
4.049449,930298,178,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,4
