IC50,Cancer,Drug,EXP_KDR_X_EXP_RHOA,EXP_KDR_X_EXP_RNF41,EXP_KDR_X_EXP_SH3GL2,EXP_KDR_X_EXP_WASF1,EXP_MAP3K9_X_EXP_RAC1,EXP_OXSR1_X_EXP_SLC22A14,EXP_RPS6KB1_X_EXP_EIF4B,EXP_RPS6KB1_X_EXP_MYC,EXP_TAF1_X_EXP_BRPF3,EXP_TAF1_X_EXP_HIST1H2BC,EXP_TAF1_X_EXP_SMARCC1,EXP_TAF1_X_EXP_TEX10,EXP_TAF1_X_EXP_WDR5,PWY_R_HSA_166058_X_PWY_R_HSA_397014,PWY_R_HSA_168138_X_PWY_R_HSA_397014,PWY_R_HSA_195258_X_PWY_R_HSA_2454202,GO_0006397_EXP_X_GO_0018105_EXP,Predicted IC50,Validation
2.692044,910546,1,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,7
0.538706,910546,5,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,9
1.041271,910546,6,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,3
-3.114914,910546,29,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,6
1.180256,910546,30,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,1
-2.130399,910546,32,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,2
2.679554,910546,34,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
-1.466481,910546,35,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,3
0.760745,910546,37,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,7
1.94773,910546,38,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
-2.937563,910546,51,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
2.080115,910546,52,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,7
-4.107221,910546,53,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,9
1.997079,910546,54,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,6
0.032222,910546,55,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,6
1.098185,910546,56,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,1
3.027887,910546,59,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,1
-4.554195,910546,60,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,6
0.965947,910546,63,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,3
0.559599,910546,64,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,8
-4.159919,910546,83,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
-2.926637,910546,86,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,5
-5.029127,910546,87,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
3.625863,910546,91,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,10
2.532117,910546,106,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
2.781123,910546,110,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,3
2.712074,910546,119,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
3.385524,724869,152,34.140020198,16.947395759,9.1978163973,14.946651807,34.9710385,19.748778738,48.939485112,62.278979421,25.997269682,18.843211161,39.801924547,32.901025525,33.334687605,0,0,0,0,2.67841328,8
5.391663,724870,152,36.412853238,15.765058663,10.484259313,16.401146787,32.989972803,19.758010692,43.85329185,56.910121814,24.052123944,15.640351329,38.418214313,37.677706658,38.740697289,0,0,0,0,2.7381631388,5
2.848449,753624,152,36.129247889,14.875654967,9.9676061597,13.644016574,35.338290997,22.524333905,48.809111499,67.664263878,21.439984666,15.65246043,36.241029363,29.565007744,32.603854389,2,2,0,0,2.9465764942,7
2.560153,906693,152,36.290855256,15.813467678,10.54314786,17.304177867,35.998233672,18.493601171,45.437104022,55.525404902,24.060302447,18.562573161,37.519025975,35.055525301,39.051595462,0,0,0,0,2.5265108989,1
3.163243,906821,152,35.40319048,16.339052445,10.174700011,14.317716438,34.084124723,16.816685831,49.60038251,63.404909482,24.789706294,15.258997451,32.374272811,27.435837129,28.427883253,0,0,0,0,2.9385247672,9
2.620787,907285,152,37.42296151,16.298466109,10.185856679,15.394722287,40.52045818,21.109366521,51.084151664,69.337612646,22.647656142,17.86625351,40.605235761,35.469711472,36.872804148,0,0,0,0,2.7520944923,1
1.267203,907286,152,34.372934212,15.108041581,9.846627172,15.758934336,32.492035568,23.39223781,66.39738673,84.369887679,28.113403673,17.434375276,47.049669957,38.604081135,42.656554267,0,0,0,15.892913955,1.9163568649,3
3.645215,909904,152,30.636253707,13.38411752,8.6936088431,15.223041164,36.188235107,16.01811223,50.417214596,63.846567065,24.165643781,14.278762314,36.902440614,33.769007695,37.636677685,4,4,1,0,3.7304585693,3
1.197593,910546,152,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,2
5.289386,910907,152,34.599801057,14.228240126,9.204128457,15.094739761,34.376229385,19.403872466,44.990283153,58.097962174,23.760444043,12.366397772,31.719616611,28.263865488,30.231801197,2,2,0,0,3.5537174975,6
3.230909,925347,152,35.079171289,14.830554996,9.2648189137,18.366210856,38.051194521,20.675910067,54.952398311,69.124436111,26.590906442,14.410724563,36.830947061,30.390076413,31.406225391,0,0,0,0,2.7892478985,4
2.255199,925348,152,34.5222059,16.560455796,10.391330802,16.483067979,35.442496222,17.516318568,55.323898171,64.779017833,28.178835196,16.598131692,35.571164107,34.129537708,38.778173347,1,1,0,0,2.642893936,10
2.744302,1240201,152,36.629360428,16.10033395,11.180374916,19.278398613,32.55571892,22.58675622,44.653218883,61.370952299,31.360716083,14.695381653,40.871734141,39.48826354,36.88619136,0,0,0,0,2.417289584,3
3.958135,1240208,152,31.402637146,15.571921477,9.3794075896,16.839996335,33.437772895,18.42081458,48.804166761,60.314571762,23.698130776,14.754543276,21.062657025,35.651058195,34.254217394,0,0,0,0,3.092103602,7
3.919718,1240218,152,31.449444129,13.198513647,9.0182513247,12.470505617,37.618956585,16.858397438,51.615323945,43.834453152,29.723474342,15.501634196,35.986175106,26.44518705,32.825127767,0,0,0,0,3.3327387238,2
1.395929,1240219,152,35.05088938,19.337050127,10.320548384,16.153103741,32.800291883,20.620253084,64.407491649,69.483460696,32.826930009,17.670769369,42.509032324,37.967063731,39.349020608,0,0,0,0,1.9785039733,6
2.894831,1290797,152,37.170694383,14.116669014,10.590246913,17.787715362,33.758587528,17.36284389,45.722838198,67.3378998,25.548405306,13.708047763,38.094921854,37.07839098,38.882533349,0,0,0,0,2.8180321934,7
4.356036,1298141,152,34.243274433,15.289266003,9.4202089883,14.366689146,32.719067209,19.725423133,44.092829319,61.028906651,22.414056824,16.234713425,37.65731574,37.247959452,38.220214937,1,1,1,0,3.7849594646,1
0.359843,1298216,152,36.719491798,15.946606386,10.692536922,21.160900365,33.789093307,19.132024499,50.832003375,59.561648667,24.07133652,16.398078648,38.32401051,34.014269015,36.439836023,0,0,0,0,2.1966188362,7
1.961785,1298219,152,33.168268217,14.354516598,9.6664315656,17.416128907,34.978941372,19.391364662,50.46840823,61.528517037,25.396163942,17.1982529,38.554581855,31.992708384,36.335990685,0,0,0,0,2.6228478467,1
3.732796,1298475,152,33.527751172,16.821898854,9.437454508,13.865360627,34.098755389,20.709819146,56.172685663,67.084194389,26.962153158,16.539433187,32.721681935,30.801707253,34.516186609,0,0,0,0,2.5525733821,5
5.164617,1298476,152,36.028861295,15.241738703,10.241511349,14.372316596,41.450553281,18.613782301,48.545736972,56.067683325,23.452659508,14.466252982,35.364018143,28.563535186,31.257976828,0,0,0,0,3.8112303395,7
2.610092,1298526,152,33.49022448,15.604598729,9.7516644623,16.685635861,33.101221307,18.63867371,57.103356855,66.706066889,26.599553928,15.18318369,40.337138468,36.614460851,41.203088108,1,0,0,0,2.5222464203,6
3.794483,1298533,152,30.508948538,13.234119661,8.4374417936,13.285503592,37.089906261,19.436834764,49.481177017,73.819758173,28.750151216,15.333096304,41.054182054,35.45005383,40.241346504,0,0,0,0,3.0110407081,10
4.483012,1298534,152,32.095175036,19.272340848,10.319165812,17.297529352,35.984117772,17.595033829,50.013562055,52.011273721,25.256551749,14.387910177,37.194687776,34.306510284,34.299040945,2,2,1,0,3.7644910137,6
2.418487,724869,153,34.140020198,16.947395759,9.1978163973,14.946651807,34.9710385,19.748778738,48.939485112,62.278979421,25.997269682,18.843211161,39.801924547,32.901025525,33.334687605,0,0,0,0,2.67841328,3
1.532442,724870,153,36.412853238,15.765058663,10.484259313,16.401146787,32.989972803,19.758010692,43.85329185,56.910121814,24.052123944,15.640351329,38.418214313,37.677706658,38.740697289,0,0,0,0,2.7381631388,10
0.17634,753624,153,36.129247889,14.875654967,9.9676061597,13.644016574,35.338290997,22.524333905,48.809111499,67.664263878,21.439984666,15.65246043,36.241029363,29.565007744,32.603854389,2,2,0,0,2.9465764942,6
-0.61915,906693,153,36.290855256,15.813467678,10.54314786,17.304177867,35.998233672,18.493601171,45.437104022,55.525404902,24.060302447,18.562573161,37.519025975,35.055525301,39.051595462,0,0,0,0,2.5265108989,4
-0.463931,906821,153,35.40319048,16.339052445,10.174700011,14.317716438,34.084124723,16.816685831,49.60038251,63.404909482,24.789706294,15.258997451,32.374272811,27.435837129,28.427883253,0,0,0,0,2.9385247672,9
0.694082,907285,153,37.42296151,16.298466109,10.185856679,15.394722287,40.52045818,21.109366521,51.084151664,69.337612646,22.647656142,17.86625351,40.605235761,35.469711472,36.872804148,0,0,0,0,2.7520944923,7
1.568339,907286,153,34.372934212,15.108041581,9.846627172,15.758934336,32.492035568,23.39223781,66.39738673,84.369887679,28.113403673,17.434375276,47.049669957,38.604081135,42.656554267,0,0,0,15.892913955,1.9163568649,3
2.423635,909904,153,30.636253707,13.38411752,8.6936088431,15.223041164,36.188235107,16.01811223,50.417214596,63.846567065,24.165643781,14.278762314,36.902440614,33.769007695,37.636677685,4,4,1,0,3.7304585693,6
1.291473,910546,153,43.460551715,21.437305615,11.277699877,23.190862664,30.192227155,20.633530971,61.406553662,82.290080626,30.757878917,15.403365523,46.399387209,41.651508411,42.231107827,0,0,0,23.366192859,1.2960509189,4
0.659437,910907,153,34.599801057,14.228240126,9.204128457,15.094739761,34.376229385,19.403872466,44.990283153,58.097962174,23.760444043,12.366397772,31.719616611,28.263865488,30.231801197,2,2,0,0,3.5537174975,8
1.049039,925347,153,35.079171289,14.830554996,9.2648189137,18.366210856,38.051194521,20.675910067,54.952398311,69.124436111,26.590906442,14.410724563,36.830947061,30.390076413,31.406225391,0,0,0,0,2.7892478985,10
-0.888168,925348,153,34.5222059,16.560455796,10.391330802,16.483067979,35.442496222,17.516318568,55.323898171,64.779017833,28.178835196,16.598131692,35.571164107,34.129537708,38.778173347,1,1,0,0,2.642893936,6
0.159313,1240201,153,36.629360428,16.10033395,11.180374916,19.278398613,32.55571892,22.58675622,44.653218883,61.370952299,31.360716083,14.695381653,40.871734141,39.48826354,36.88619136,0,0,0,0,2.417289584,10
-1.525489,1240208,153,31.402637146,15.571921477,9.3794075896,16.839996335,33.437772895,18.42081458,48.804166761,60.314571762,23.698130776,14.754543276,21.062657025,35.651058195,34.254217394,0,0,0,0,3.092103602,10
0.916356,1240218,153,31.449444129,13.198513647,9.0182513247,12.470505617,37.618956585,16.858397438,51.615323945,43.834453152,29.723474342,15.501634196,35.986175106,26.44518705,32.825127767,0,0,0,0,3.3327387238,10
