
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.2500
2     1 0.00181  9.3390
3     1 0.00332  8.5100
4     2 0.00737  7.7540
5     2 0.01291  7.0650
6     2 0.01753  6.4370
7     3 0.02191  5.8650
8     3 0.02765  5.3440
9     3 0.03242  4.8700
10    3 0.03640  4.4370
11    5 0.04222  4.0430
12    6 0.04825  3.6840
13    6 0.05351  3.3560
14    7 0.05812  3.0580
15    7 0.06248  2.7870
16    7 0.06612  2.5390
17    7 0.06915  2.3130
18    7 0.07167  2.1080
19    9 0.07427  1.9210
20   11 0.07715  1.7500
21   11 0.07965  1.5950
22   11 0.08173  1.4530
23   12 0.08351  1.3240
24   13 0.08512  1.2060
25   15 0.08675  1.0990
26   16 0.08855  1.0010
27   16 0.09012  0.9125
28   20 0.09221  0.8314
29   19 0.09400  0.7575
30   19 0.09549  0.6902
31   18 0.09668  0.6289
32   19 0.09765  0.5731
33   20 0.09862  0.5221
34   20 0.09946  0.4758
35   21 0.10030  0.4335
36   21 0.10110  0.3950
37   21 0.10190  0.3599
38   22 0.10260  0.3279
39   21 0.10330  0.2988
40   22 0.10390  0.2722
41   22 0.10440  0.2481
42   24 0.10820  0.2260
43   27 0.11380  0.2059
44   29 0.12180  0.1877
45   30 0.12970  0.1710
46   31 0.13880  0.1558
47   32 0.14920  0.1420
48   34 0.15990  0.1293
49   36 0.17170  0.1178
50   37 0.18200  0.1074
51   38 0.19170  0.0978
52   40 0.20220  0.0891
53   40 0.21220  0.0812
54   41 0.22160  0.0740
55   43 0.23100  0.0674
56   45 0.24070  0.0614
57   46 0.24960  0.0560
58   46 0.25730  0.0510
59   48 0.26420  0.0465
60   51 0.27160  0.0424
61   53 0.27860  0.0386
62   56 0.28560  0.0352
63   61 0.29300  0.0320
64   62 0.30170  0.0292
65   63 0.31060  0.0266
66   65 0.31890  0.0242
67   66 0.32630  0.0221
68   67 0.33320  0.0201
69   69 0.33930  0.0183
70   70 0.34460  0.0167
71   71 0.34940  0.0152
72   74 0.35370  0.0139
73   73 0.35770  0.0126
74   75 0.36110  0.0115
75   76 0.36420  0.0105
76   79 0.36700  0.0096
77   79 0.36950  0.0087
78   81 0.37160  0.0079
79   85 0.37360  0.0072
80   84 0.37530  0.0066
81   84 0.37700  0.0060
82   86 0.37830  0.0055
83   88 0.37950  0.0050
84   92 0.38060  0.0045
85   93 0.38150  0.0041
86   93 0.38240  0.0038
87   94 0.38310  0.0034
88   94 0.38380  0.0031
89   95 0.38430  0.0029
90   94 0.38480  0.0026
91   94 0.38510  0.0024
92   95 0.38540  0.0022
93   96 0.38580  0.0020
94   95 0.38600  0.0018
95   96 0.38620  0.0016
96   98 0.38640  0.0015
97   99 0.38650  0.0014
98  101 0.38670  0.0012
99  102 0.38680  0.0011
100 104 0.38690  0.0010
