
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 4.4360
2     2 0.00324 4.0420
3     2 0.00763 3.6830
4     5 0.01426 3.3560
5     9 0.02266 3.0580
6    11 0.03150 2.7860
7    17 0.04374 2.5390
8    21 0.05897 2.3130
9    22 0.07320 2.1080
10   27 0.08790 1.9200
11   37 0.10500 1.7500
12   55 0.12420 1.5940
13   62 0.14530 1.4530
14   73 0.16730 1.3240
15   77 0.18790 1.2060
16   84 0.20770 1.0990
17   89 0.22660 1.0010
18   90 0.24370 0.9123
19   94 0.25930 0.8313
20   95 0.27340 0.7574
21  101 0.28610 0.6901
22  104 0.29760 0.6288
23  106 0.30780 0.5730
24  106 0.31690 0.5221
25  106 0.32500 0.4757
26  106 0.33210 0.4334
27  105 0.33840 0.3949
28  105 0.34390 0.3598
29  107 0.34870 0.3279
30  110 0.35290 0.2987
31  111 0.35660 0.2722
32  110 0.35990 0.2480
33  110 0.36290 0.2260
34  108 0.36540 0.2059
35  109 0.36750 0.1876
36  106 0.36940 0.1710
37  107 0.37100 0.1558
38  107 0.37260 0.1419
39  107 0.37390 0.1293
40  107 0.37510 0.1178
41  107 0.37620 0.1074
42  106 0.37710 0.0978
43  107 0.37810 0.0891
44  109 0.37900 0.0812
45  110 0.37990 0.0740
46  110 0.38060 0.0674
47  109 0.38130 0.0614
48  107 0.38180 0.0560
49  107 0.38230 0.0510
50  109 0.38280 0.0465
51  109 0.38330 0.0424
52  110 0.38370 0.0386
53  110 0.38400 0.0352
54  112 0.38430 0.0320
55  113 0.38460 0.0292
56  113 0.38490 0.0266
57  116 0.38510 0.0242
58  117 0.38540 0.0221
59  118 0.38560 0.0201
60  119 0.38580 0.0183
61  120 0.38600 0.0167
62  122 0.38630 0.0152
63  122 0.38650 0.0139
64  122 0.38660 0.0126
65  124 0.38680 0.0115
66  125 0.38700 0.0105
67  124 0.38710 0.0096
68  126 0.38730 0.0087
69  125 0.38740 0.0079
70  126 0.38750 0.0072
71  126 0.38760 0.0066
72  125 0.38770 0.0060
73  123 0.38780 0.0055
74  122 0.38780 0.0050
75  124 0.38790 0.0045
76  123 0.38800 0.0041
77  125 0.38800 0.0038
78  125 0.38810 0.0034
79  126 0.38810 0.0031
80  127 0.38820 0.0029
81  128 0.38820 0.0026
82  128 0.38820 0.0024
83  134 0.38830 0.0022
84  135 0.38830 0.0020
85  137 0.38830 0.0018
86  138 0.38840 0.0016
87  138 0.38840 0.0015
88  139 0.38840 0.0014
89  140 0.38840 0.0012
90  140 0.38850 0.0011
91  139 0.38850 0.0010
92  140 0.38850 0.0009
93  141 0.38850 0.0009
94  141 0.38850 0.0008
95  141 0.38850 0.0007
96  141 0.38850 0.0006
97  140 0.38850 0.0006
98  140 0.38860 0.0005
99  139 0.38860 0.0005
100 140 0.38860 0.0004
