
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.3400
2    1 0.002994  9.4180
3    1 0.005492  8.5810
4    1 0.007574  7.8190
5    2 0.010710  7.1240
6    2 0.014950  6.4910
7    2 0.018490  5.9150
8    2 0.021450  5.3890
9    3 0.026360  4.9110
10   3 0.030520  4.4740
11   4 0.034020  4.0770
12   4 0.037880  3.7150
13   4 0.041100  3.3850
14   4 0.043790  3.0840
15   4 0.046030  2.8100
16   5 0.048300  2.5600
17   5 0.050490  2.3330
18   5 0.052310  2.1260
19   5 0.053840  1.9370
20   5 0.055120  1.7650
21   5 0.056180  1.6080
22   5 0.057070  1.4650
23   5 0.057810  1.3350
24   5 0.058430  1.2160
25   5 0.058940  1.1080
26   5 0.059370  1.0100
27   5 0.059720  0.9202
28   6 0.060220  0.8384
29   6 0.060730  0.7639
30   6 0.061160  0.6961
31   6 0.061510  0.6342
32   7 0.062150  0.5779
33   7 0.067690  0.5265
34   8 0.073200  0.4798
35   8 0.082030  0.4371
36   8 0.090340  0.3983
37  11 0.098260  0.3629
38  12 0.106300  0.3307
39  12 0.115300  0.3013
40  12 0.123500  0.2745
41  12 0.131000  0.2502
42  15 0.138800  0.2279
43  16 0.146200  0.2077
44  17 0.153600  0.1892
45  18 0.160800  0.1724
46  20 0.170000  0.1571
47  21 0.178800  0.1431
48  20 0.187200  0.1304
49  22 0.194900  0.1188
50  23 0.201800  0.1083
51  23 0.207900  0.0987
52  24 0.213300  0.0899
53  26 0.218100  0.0819
54  27 0.222800  0.0746
55  29 0.227400  0.0680
56  29 0.231500  0.0620
57  29 0.235400  0.0565
58  29 0.238900  0.0514
59  28 0.242000  0.0469
60  28 0.244700  0.0427
61  28 0.247000  0.0389
62  28 0.249000  0.0355
63  30 0.250800  0.0323
64  30 0.252400  0.0294
65  30 0.253700  0.0268
66  31 0.254900  0.0244
67  32 0.255900  0.0223
68  32 0.256800  0.0203
69  33 0.257500  0.0185
70  33 0.258200  0.0168
71  33 0.258800  0.0154
72  33 0.259300  0.0140
73  34 0.259700  0.0127
74  34 0.260100  0.0116
75  34 0.260400  0.0106
76  34 0.260600  0.0096
77  34 0.260900  0.0088
78  34 0.261100  0.0080
79  34 0.261200  0.0073
80  34 0.261400  0.0066
81  34 0.261500  0.0061
82  35 0.261600  0.0055
83  36 0.261600  0.0050
84  36 0.261700  0.0046
85  36 0.261800  0.0042
86  36 0.261800  0.0038
87  36 0.261900  0.0035
88  36 0.261900  0.0032
89  36 0.261900  0.0029
90  36 0.261900  0.0026
91  36 0.262000  0.0024
92  36 0.262000  0.0022
93  36 0.262000  0.0020
94  36 0.262000  0.0018
95  36 0.262000  0.0016
96  37 0.262000  0.0015
97  37 0.262000  0.0014
98  37 0.262000  0.0012
99  38 0.262000  0.0011
100 38 0.262100  0.0010
