
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 9.7370
2     1 0.00193 8.8720
3     1 0.00394 8.0840
4     1 0.00601 7.3660
5     1 0.00815 6.7120
6     6 0.01187 6.1150
7     8 0.01794 5.5720
8     8 0.02396 5.0770
9     9 0.03017 4.6260
10   10 0.03650 4.2150
11   14 0.04429 3.8410
12   16 0.05291 3.4990
13   18 0.06167 3.1890
14   24 0.07211 2.9050
15   27 0.08368 2.6470
16   33 0.09639 2.4120
17   35 0.10980 2.1980
18   39 0.12400 2.0020
19   43 0.13870 1.8250
20   45 0.15330 1.6630
21   49 0.16740 1.5150
22   52 0.18120 1.3800
23   53 0.19450 1.2580
24   56 0.20720 1.1460
25   63 0.21980 1.0440
26   66 0.23230 0.9513
27   69 0.24430 0.8668
28   74 0.25580 0.7898
29   77 0.26690 0.7197
30   79 0.27710 0.6557
31   79 0.28660 0.5975
32   86 0.29590 0.5444
33   97 0.30500 0.4960
34   99 0.31380 0.4520
35  102 0.32200 0.4118
36  105 0.32980 0.3752
37  106 0.33740 0.3419
38  109 0.34460 0.3115
39  107 0.35160 0.2838
40  110 0.35810 0.2586
41  110 0.36410 0.2357
42  111 0.36980 0.2147
43  111 0.37490 0.1956
44  113 0.37980 0.1783
45  112 0.38430 0.1624
46  112 0.38850 0.1480
47  113 0.39250 0.1349
48  113 0.39610 0.1229
49  115 0.39950 0.1120
50  117 0.40290 0.1020
51  116 0.40600 0.0930
52  115 0.40890 0.0847
53  115 0.41140 0.0772
54  115 0.41370 0.0703
55  117 0.41590 0.0641
56  116 0.41800 0.0584
57  115 0.41990 0.0532
58  114 0.42150 0.0485
59  112 0.42310 0.0442
60  113 0.42450 0.0402
61  114 0.42580 0.0367
62  115 0.42690 0.0334
63  117 0.42790 0.0304
64  117 0.42890 0.0277
65  116 0.42970 0.0253
66  116 0.43050 0.0230
67  117 0.43120 0.0210
68  118 0.43180 0.0191
69  118 0.43230 0.0174
70  118 0.43280 0.0159
71  118 0.43320 0.0145
72  118 0.43360 0.0132
73  117 0.43390 0.0120
74  115 0.43410 0.0109
75  118 0.43430 0.0100
76  118 0.43450 0.0091
77  120 0.43470 0.0083
78  120 0.43490 0.0075
79  120 0.43500 0.0069
80  120 0.43510 0.0063
81  120 0.43520 0.0057
82  120 0.43530 0.0052
83  120 0.43540 0.0047
84  120 0.43550 0.0043
85  120 0.43550 0.0039
86  120 0.43560 0.0036
87  120 0.43560 0.0033
88  120 0.43560 0.0030
89  120 0.43570 0.0027
90  120 0.43570 0.0025
91  120 0.43570 0.0022
92  121 0.43570 0.0020
93  120 0.43570 0.0019
94  120 0.43580 0.0017
95  120 0.43580 0.0016
96  120 0.43580 0.0014
97  120 0.43580 0.0013
98  120 0.43580 0.0012
99  121 0.43580 0.0011
100 121 0.43580 0.0010
