
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 1.98100
2    1 0.00416 1.80500
3    1 0.00761 1.64500
4    1 0.01048 1.49900
5    1 0.01286 1.36500
6    1 0.01484 1.24400
7    1 0.01648 1.13400
8    1 0.01784 1.03300
9    1 0.01897 0.94110
10   1 0.01991 0.85750
11   1 0.02069 0.78140
12   1 0.02134 0.71190
13   1 0.02187 0.64870
14   2 0.02242 0.59110
15   2 0.02314 0.53860
16   2 0.02373 0.49070
17   2 0.02423 0.44710
18   2 0.02464 0.40740
19   2 0.02498 0.37120
20   2 0.02526 0.33820
21   2 0.02550 0.30820
22   2 0.02570 0.28080
23   2 0.02586 0.25590
24   2 0.02599 0.23310
25   3 0.02612 0.21240
26   4 0.02737 0.19350
27   4 0.03669 0.17640
28   5 0.04445 0.16070
29   7 0.05237 0.14640
30   7 0.06149 0.13340
31   8 0.06913 0.12160
32   8 0.07550 0.11080
33   9 0.08163 0.10090
34   9 0.08751 0.09195
35  11 0.09842 0.08378
36  12 0.10980 0.07634
37  15 0.12130 0.06956
38  15 0.13130 0.06338
39  17 0.14060 0.05775
40  17 0.14850 0.05262
41  18 0.15520 0.04794
42  20 0.16160 0.04368
43  24 0.16880 0.03980
44  27 0.17680 0.03627
45  29 0.18590 0.03305
46  30 0.19450 0.03011
47  33 0.20380 0.02743
48  34 0.21250 0.02500
49  36 0.22110 0.02278
50  39 0.23090 0.02075
51  40 0.24200 0.01891
52  45 0.25250 0.01723
53  46 0.26480 0.01570
54  46 0.27670 0.01430
55  48 0.28800 0.01303
56  47 0.29830 0.01188
57  55 0.30790 0.01082
58  57 0.31780 0.00986
59  61 0.32680 0.00898
60  62 0.33540 0.00819
61  61 0.34440 0.00746
62  63 0.35290 0.00680
63  63 0.36020 0.00619
64  65 0.36690 0.00564
65  70 0.37360 0.00514
66  72 0.38100 0.00468
67  75 0.38750 0.00427
68  75 0.39270 0.00389
69  75 0.39710 0.00354
70  76 0.40090 0.00323
71  77 0.40420 0.00294
72  79 0.40730 0.00268
73  81 0.41070 0.00244
74  83 0.41370 0.00222
75  83 0.41650 0.00203
76  85 0.41900 0.00185
77  85 0.42140 0.00168
78  86 0.42340 0.00153
79  87 0.42520 0.00140
80  87 0.42670 0.00127
81  88 0.42800 0.00116
82  88 0.42920 0.00106
83  89 0.43010 0.00096
84  90 0.43100 0.00088
85  89 0.43170 0.00080
86  88 0.43230 0.00073
87  88 0.43280 0.00066
88  88 0.43320 0.00060
89  88 0.43350 0.00055
90  92 0.43380 0.00050
91  93 0.43410 0.00046
92  94 0.43430 0.00042
93  94 0.43450 0.00038
94  95 0.43470 0.00035
95  96 0.43490 0.00032
96  96 0.43500 0.00029
97  96 0.43520 0.00026
98  96 0.43530 0.00024
99  96 0.43540 0.00022
100 97 0.43540 0.00020
