
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.0700
2    1 0.005974  9.1760
3    1 0.010950  8.3610
4    1 0.015090  7.6180
5    1 0.018530  6.9410
6    1 0.021400  6.3240
7    1 0.023780  5.7630
8    1 0.025760  5.2510
9    1 0.027410  4.7840
10   1 0.028780  4.3590
11   1 0.029920  3.9720
12   1 0.030870  3.6190
13   1 0.031660  3.2980
14   2 0.033170  3.0050
15   2 0.034810  2.7380
16   2 0.036170  2.4950
17   2 0.037300  2.2730
18   3 0.038290  2.0710
19   3 0.040450  1.8870
20   3 0.042240  1.7190
21   4 0.044080  1.5670
22   4 0.045960  1.4270
23   4 0.047530  1.3010
24   4 0.048830  1.1850
25   4 0.049910  1.0800
26   4 0.050820  0.9839
27   6 0.052480  0.8965
28   6 0.054100  0.8168
29   6 0.055480  0.7443
30   6 0.056620  0.6782
31   7 0.057600  0.6179
32   8 0.059060  0.5630
33   9 0.060470  0.5130
34   9 0.061750  0.4674
35   9 0.062920  0.4259
36   9 0.063560  0.3881
37   9 0.064130  0.3536
38  10 0.064630  0.3222
39  10 0.065130  0.2936
40  11 0.065830  0.2675
41  12 0.067070  0.2437
42  12 0.068080  0.2221
43  12 0.068910  0.2023
44  13 0.069640  0.1844
45  15 0.070530  0.1680
46  17 0.073600  0.1531
47  18 0.076330  0.1395
48  19 0.078940  0.1271
49  18 0.081240  0.1158
50  22 0.083290  0.1055
51  22 0.085520  0.0961
52  22 0.087410  0.0876
53  24 0.089080  0.0798
54  27 0.090430  0.0727
55  29 0.092180  0.0663
56  28 0.093600  0.0604
57  30 0.094740  0.0550
58  32 0.095870  0.0501
59  34 0.096940  0.0457
60  35 0.097930  0.0416
61  36 0.098900  0.0379
62  37 0.099810  0.0346
63  40 0.100700  0.0315
64  40 0.101500  0.0287
65  40 0.102100  0.0261
66  39 0.102600  0.0238
67  40 0.103100  0.0217
68  42 0.103500  0.0198
69  43 0.103900  0.0180
70  44 0.104200  0.0164
71  44 0.104500  0.0150
72  45 0.104700  0.0136
73  44 0.104900  0.0124
74  43 0.105100  0.0113
75  46 0.105200  0.0103
76  51 0.105300  0.0094
77  51 0.105600  0.0086
78  51 0.105700  0.0078
79  51 0.105900  0.0071
80  50 0.106000  0.0065
81  52 0.106100  0.0059
82  55 0.106200  0.0054
83  56 0.106300  0.0049
84  56 0.106300  0.0045
85  57 0.106400  0.0041
86  60 0.106400  0.0037
87  62 0.106500  0.0034
88  66 0.106500  0.0031
89  70 0.106500  0.0028
90  70 0.106600  0.0026
91  72 0.106600  0.0023
92  77 0.106600  0.0021
93  78 0.106600  0.0019
94  78 0.106600  0.0018
95  78 0.106700  0.0016
96  78 0.106700  0.0015
97  80 0.106700  0.0013
98  84 0.106700  0.0012
99  84 0.106700  0.0011
100 86 0.106700  0.0010
